gamePk,home,away,home_goals,away_goals,gameState
2025020947,Pittsburgh Penguins,Vegas Golden Knights,,,FUT
2025020949,Utah Mammoth,Chicago Blackhawks,,,FUT
2025020950,San Jose Sharks,Winnipeg Jets,,,FUT
2025020951,Minnesota Wild,St. Louis Blues,,,FUT
2025020948,New York Islanders,Florida Panthers,,,FUT
2025020952,Anaheim Ducks,Calgary Flames,,,FUT
