event_id,team,period,clock_seconds,player_id,player_name,assist_player_id,assist_player_name,outcome,location,from_corner,field_position_x,field_position_y,text
740596,Liverpool,1,124.0,,Hugo Ekitike,,Cody Gakpo,saved,outside_box,False,0.464,0.313,Attempt saved. Hugo Ekitiké (Liverpool) right footed shot from outside the box is saved in the bottom left corner by Djordje Petrovic (Bournemouth). Assisted by Cody Gakpo.
740596,Liverpool,1,219.0,,Mohamed Salah,,Hugo Ekitike,saved,box,False,0.288,0.687,Attempt saved. Mohamed Salah (Liverpool) left footed shot from the right side of the box is saved in the top centre of the goal by Djordje Petrovic (Bournemouth). Assisted by Hugo Ekitiké.
740596,Liverpool,1,267.0,,Virgil van Dijk,,Mohamed Salah,off_target,box,True,0.172,0.495,Attempt missed. Virgil van Dijk (Liverpool) header from the centre of the box is too high. Assisted by Mohamed Salah with a cross following a corner.
740596,AFC Bournemouth,1,355.0,,Antoine Semenyo,,Adrien Truffert,off_target,box,False,0.178,0.55,Attempt missed. Antoine Semenyo (Bournemouth) right footed shot from the centre of the box is too high. Assisted by Adrien Truffert with a cross.
740596,AFC Bournemouth,1,584.0,,Evanilson,,David Brooks,off_target,six_yard_box,True,0.102,0.589,Attempt missed. Evanilson (Bournemouth) header from the right side of the six yard box misses to the left. Assisted by David Brooks with a cross following a corner.
740596,Liverpool,1,1852.0,,Virgil van Dijk,,Florian Wirtz,saved,box,False,0.176,0.468,Attempt saved. Virgil van Dijk (Liverpool) header from the centre of the box is saved in the top centre of the goal by Djordje Petrovic (Bournemouth). Assisted by Florian Wirtz with a cross.
740596,AFC Bournemouth,1,2067.0,,Marcus Tavernier,,Adam Smith,saved,box,False,0.26,0.479,Attempt saved. Marcus Tavernier (Bournemouth) right footed shot from the centre of the box is saved in the centre of the goal by Alisson Becker (Liverpool). Assisted by Adam Smith.
740596,Liverpool,1,2176.0,,Hugo Ekitike,,Alexis Mac Allister,goal,box,False,0.218,0.476,"Goal! Liverpool 1, Bournemouth 0. Hugo Ekitiké (Liverpool) right footed shot from the centre of the box to the bottom right corner. Assisted by Alexis Mac Allister."
740596,Liverpool,1,2295.0,,Hugo Ekitike,,Cody Gakpo,off_target,box,False,0.116,0.517,Attempt missed. Hugo Ekitiké (Liverpool) header from the centre of the box is too high. Assisted by Cody Gakpo with a cross.
740596,AFC Bournemouth,1,2500.0,,David Brooks,,,blocked,box,False,0.29,0.315,Attempt blocked. David Brooks (Bournemouth) right footed shot from the left side of the box is blocked.
740596,AFC Bournemouth,1,2700.0,,Marcus Tavernier,,,blocked,outside_box,False,0.492,0.679,Attempt blocked. Marcus Tavernier (Bournemouth) left footed shot from outside the box is blocked.
