league,season,team,match_index,date,home_away,xg_for,xg_against,npxg_for,npxg_against,ppda,ppda_allowed,deep_entries,deep_entries_allowed,goals_for,goals_against,expected_points,points,result
serie_a,2025,Verona,0,2025-08-25 16:30:00,a,0.7992,1.0506,0.7992,1.0506,19.0,7.7143,1.0,6.0,1.0,1.0,1.076,1.0,d
serie_a,2025,Verona,1,2025-08-31 18:45:00,a,0.6005,3.9665,0.6005,3.9665,23.1579,7.5385,6.0,13.0,0.0,4.0,0.0579,0.0,l
serie_a,2025,Verona,2,2025-09-15 16:30:00,h,1.8883,0.1663,1.8883,0.1663,11.7857,20.7273,3.0,1.0,0.0,0.0,2.6719,1.0,d
serie_a,2025,Verona,3,2025-09-20 16:00:00,h,1.6588,0.4704,0.8976,0.4704,15.55,5.4667,4.0,7.0,1.0,1.0,2.4185,1.0,d
serie_a,2025,Verona,4,2025-09-28 13:00:00,a,1.3535,1.3054,1.3535,1.3054,8.4074,7.3684,1.0,5.0,0.0,2.0,1.373,0.0,l
serie_a,2025,Verona,5,2025-10-03 18:45:00,h,0.811,1.5058,0.811,0.562,8.0435,11.2,8.0,2.0,0.0,1.0,0.6812,0.0,l
serie_a,2025,Verona,6,2025-10-18 13:00:00,a,1.6549,0.572,1.6549,0.572,10.5357,10.0769,9.0,5.0,0.0,0.0,2.2532,1.0,d
serie_a,2025,Verona,7,2025-10-26 13:00:00,h,2.0369,0.8373,2.0369,0.8373,15.7917,7.5238,2.0,2.0,2.0,2.0,2.3492,1.0,d
serie_a,2025,Verona,8,2025-10-29 16:30:00,a,1.6994,1.7428,1.6994,1.7428,12.2222,4.6818,7.0,4.0,1.0,3.0,1.3476,0.0,l
serie_a,2025,Verona,9,2025-11-02 11:30:00,h,0.3726,1.1502,0.3726,1.1502,20.0,9.2308,3.0,12.0,1.0,2.0,0.6393,0.0,l
serie_a,2025,Verona,10,2025-11-08 14:00:00,a,0.6919,0.555,0.6919,0.555,6.8929,5.4091,5.0,3.0,0.0,0.0,1.4964,1.0,d
serie_a,2025,Verona,11,2025-11-23 11:30:00,h,0.943,1.5163,0.943,1.5163,4.9444,14.75,6.0,5.0,1.0,2.0,0.8787,0.0,l
serie_a,2025,Verona,12,2025-11-29 14:00:00,a,2.6066,1.649,2.6066,1.649,9.5185,7.65,4.0,3.0,1.0,2.0,2.1438,0.0,l
serie_a,2025,Verona,13,2025-12-06 19:45:00,h,1.6024,1.7653,1.6024,1.004,11.5556,6.2632,9.0,10.0,3.0,1.0,1.2036,3.0,w
serie_a,2025,Verona,14,2025-12-14 14:00:00,a,1.5387,2.4178,1.5387,2.4178,8.7241,7.1667,7.0,6.0,2.0,1.0,0.789,3.0,w
serie_a,2025,Verona,15,2025-12-28 11:30:00,a,0.3278,2.8783,0.3278,2.117,8.6207,15.4,1.0,3.0,0.0,3.0,0.0379,0.0,l
serie_a,2025,Verona,16,2026-01-04 17:00:00,h,0.2606,1.7029,0.2606,1.7029,9.4828,8.1304,4.0,1.0,0.0,3.0,0.3147,0.0,l
serie_a,2025,Verona,17,2026-01-07 17:30:00,a,1.2918,1.5729,0.5305,1.5729,16.913,10.5714,2.0,5.0,2.0,2.0,1.1307,1.0,d
serie_a,2025,Verona,18,2026-01-11 17:00:00,h,0.5849,0.6445,0.5849,0.6445,19.2609,12.5294,6.0,5.0,0.0,1.0,1.2142,0.0,l
serie_a,2025,Verona,19,2026-01-15 17:30:00,h,1.6881,0.6907,1.6881,0.6907,16.0952,9.6,5.0,6.0,2.0,3.0,2.2207,0.0,l
serie_a,2025,Verona,20,2026-01-19 17:30:00,a,0.4875,0.4521,0.4875,0.4521,13.4762,10.125,5.0,2.0,0.0,0.0,1.2847,1.0,d
serie_a,2025,Verona,21,2026-01-26 19:45:00,h,0.5738,1.9365,0.5738,1.9365,10.7,12.7059,3.0,8.0,1.0,3.0,0.4361,0.0,l
serie_a,2025,Verona,22,2026-01-31 19:45:00,a,0.3748,1.9813,0.3748,1.9813,13.9375,23.7,1.0,7.0,0.0,4.0,0.1972,0.0,l
serie_a,2025,Verona,23,2026-02-06 19:45:00,h,0.0784,1.2614,0.0784,1.2614,7.0952,13.0455,1.0,6.0,0.0,0.0,0.2757,1.0,d
serie_a,2025,Verona,24,2026-02-15 14:00:00,a,0.8561,2.1671,0.0948,2.1671,14.8235,4.619,2.0,13.0,1.0,2.0,0.4092,0.0,l
serie_a,2025,Verona,25,2026-02-20 19:45:00,a,0.6157,1.5871,0.6157,0.6801,11.7083,18.3125,2.0,3.0,0.0,3.0,0.4829,0.0,l
serie_a,2025,Verona,26,2026-02-28 17:00:00,h,0.2778,1.2135,0.2778,1.2135,17.2,11.0588,3.0,10.0,1.0,2.0,0.4809,0.0,l
serie_a,2025,Verona,27,2026-03-08 14:00:00,a,2.0286,0.9037,2.0286,0.9037,6.8462,5.0,4.0,7.0,2.0,1.0,2.2171,3.0,w
serie_a,2025,Verona,28,2026-03-15 11:30:00,h,0.3708,0.5341,0.3708,0.5341,10.44,12.1429,0.0,6.0,0.0,2.0,1.0674,0.0,l
serie_a,2025,Verona,29,2026-03-22 14:00:00,a,0.7658,1.7425,0.7658,1.7425,12.0,9.0,5.0,8.0,0.0,1.0,0.6016,0.0,l
serie_a,2025,Verona,30,2026-04-04 16:00:00,h,0.9226,0.3087,0.9226,0.3087,13.1429,13.875,8.0,3.0,0.0,1.0,1.8713,0.0,l
serie_a,2025,Verona,31,2026-04-11 13:00:00,a,1.6755,1.1485,1.6755,1.1485,9.0455,12.1765,6.0,4.0,1.0,2.0,1.7539,0.0,l
serie_a,2025,Verona,32,2026-04-19 13:00:00,h,0.7097,0.8307,0.7097,0.8307,14.8947,27.125,2.0,5.0,0.0,1.0,1.148,0.0,l
serie_a,2025,Verona,33,2026-04-25 18:45:00,h,0.2493,1.206,0.2493,1.206,9.35,6.0,4.0,3.0,0.0,0.0,0.4761,1.0,d
serie_a,2025,Verona,34,2026-05-03 16:00:00,a,0.1972,2.6862,0.1972,2.6862,16.0,7.7333,0.0,17.0,1.0,1.0,0.0924,1.0,d
serie_a,2025,Verona,35,2026-05-10 10:30:00,h,1.2905,1.0607,1.2905,1.0607,10.5,5.2143,7.0,7.0,0.0,1.0,1.5478,0.0,l
serie_a,2025,Verona,36,2026-05-17 13:00:00,a,0.9118,2.8414,0.9118,2.8414,19.3529,6.3529,1.0,15.0,1.0,1.0,0.2712,1.0,d
serie_a,2025,Verona,37,2026-05-24 18:45:00,h,0.5977,3.5551,0.5977,2.7938,17.8421,8.375,5.0,17.0,0.0,2.0,0.0681,0.0,l
serie_a,2025,Roma,0,2025-08-23 18:45:00,h,1.4769,0.4435,1.4769,0.4435,7.9688,12.2,5.0,0.0,1.0,0.0,2.2535,3.0,w
serie_a,2025,Roma,1,2025-08-30 18:45:00,a,0.9539,0.6627,0.9539,0.6627,4.5862,24.6667,12.0,3.0,1.0,0.0,1.5916,3.0,w
serie_a,2025,Roma,2,2025-09-14 10:30:00,h,1.0294,0.8051,1.0294,0.8051,5.3684,22.2143,6.0,2.0,0.0,1.0,1.5003,0.0,l
serie_a,2025,Roma,3,2025-09-21 10:30:00,a,1.2264,0.667,1.2264,0.667,6.1389,10.7778,8.0,3.0,1.0,0.0,1.839,3.0,w
serie_a,2025,Roma,4,2025-09-28 13:00:00,h,1.3054,1.3535,1.3054,1.3535,7.3684,8.4074,5.0,1.0,2.0,0.0,1.3046,3.0,w
serie_a,2025,Roma,5,2025-10-05 13:00:00,a,1.2251,1.1172,1.2251,1.1172,7.2903,13.0476,8.0,2.0,2.0,1.0,1.4862,3.0,w
serie_a,2025,Roma,6,2025-10-18 18:45:00,h,2.1538,0.9639,2.1538,0.9639,8.7917,8.7429,4.0,5.0,0.0,1.0,2.23,0.0,l
serie_a,2025,Roma,7,2025-10-26 13:00:00,a,2.2597,0.9494,2.2597,0.9494,9.7222,12.0455,9.0,9.0,1.0,0.0,2.2989,3.0,w
serie_a,2025,Roma,8,2025-10-29 16:30:00,h,1.1568,1.178,1.1568,1.178,8.1923,19.4,8.0,4.0,2.0,1.0,1.2966,3.0,w
serie_a,2025,Roma,9,2025-11-02 19:45:00,a,1.9544,3.7642,1.1931,3.7642,9.4,33.125,9.0,8.0,0.0,1.0,0.3686,0.0,l
serie_a,2025,Roma,10,2025-11-09 17:00:00,h,1.7573,0.9287,0.996,0.9287,8.96,10.4583,8.0,5.0,2.0,0.0,2.0496,3.0,w
serie_a,2025,Roma,11,2025-11-23 14:00:00,a,1.7318,1.2562,1.7318,1.2562,12.75,9.8636,12.0,6.0,3.0,1.0,1.7217,3.0,w
serie_a,2025,Roma,12,2025-11-30 19:45:00,h,0.6118,1.3311,0.6118,1.3311,9.56,18.2941,5.0,2.0,0.0,1.0,0.7202,0.0,l
serie_a,2025,Roma,13,2025-12-07 14:00:00,a,0.4517,1.4036,0.4517,1.4036,9.9,9.5,7.0,4.0,0.0,1.0,0.5702,0.0,l
serie_a,2025,Roma,14,2025-12-15 19:45:00,h,1.6556,0.6359,1.6556,0.6359,6.1818,12.2778,17.0,5.0,1.0,0.0,2.1713,3.0,w
serie_a,2025,Roma,15,2025-12-20 19:45:00,a,1.2842,3.0959,1.2842,3.0959,8.2917,17.0,13.0,9.0,1.0,2.0,0.347,0.0,l
serie_a,2025,Roma,16,2025-12-29 19:45:00,h,1.8612,0.5109,1.8612,0.5109,9.8571,9.9032,13.0,3.0,3.0,1.0,2.4275,3.0,w
serie_a,2025,Roma,17,2026-01-03 19:45:00,a,1.0102,2.7364,1.0102,2.7364,6.8333,12.0909,12.0,3.0,0.0,1.0,0.2421,0.0,l
serie_a,2025,Roma,18,2026-01-06 17:00:00,a,1.8916,0.6047,1.8916,0.6047,6.0606,8.6818,5.0,2.0,2.0,0.0,2.4491,3.0,w
serie_a,2025,Roma,19,2026-01-10 17:00:00,h,2.9584,0.8585,2.9584,0.8585,5.4167,12.32,21.0,4.0,2.0,0.0,2.6377,3.0,w
serie_a,2025,Roma,20,2026-01-18 17:00:00,a,2.0274,0.3944,2.0274,0.3944,9.7857,8.7586,10.0,7.0,2.0,0.0,2.589,3.0,w
serie_a,2025,Roma,21,2026-01-25 19:45:00,h,2.1357,0.5832,1.3744,0.5832,8.8125,16.2,10.0,1.0,1.0,1.0,2.5371,1.0,d
serie_a,2025,Roma,22,2026-02-02 19:45:00,a,0.6688,0.6426,0.6688,0.6426,5.1515,13.7083,7.0,1.0,0.0,1.0,1.2421,0.0,l
serie_a,2025,Roma,23,2026-02-09 19:45:00,h,2.2043,0.6131,2.2043,0.6131,9.7059,27.2,4.0,1.0,2.0,0.0,2.5781,3.0,w
serie_a,2025,Roma,24,2026-02-15 19:45:00,a,1.9544,0.5247,1.1931,0.5247,14.0,12.8235,4.0,6.0,2.0,2.0,2.5388,1.0,d
serie_a,2025,Roma,25,2026-02-22 19:45:00,h,2.5819,0.2807,2.5819,0.2807,9.0476,18.0769,7.0,0.0,3.0,0.0,2.7865,3.0,w
serie_a,2025,Roma,26,2026-03-01 19:45:00,h,2.3306,1.8583,2.3306,1.8583,10.5172,13.4706,9.0,4.0,3.0,3.0,1.7189,1.0,d
serie_a,2025,Roma,27,2026-03-08 17:00:00,a,0.2826,2.5591,0.2826,1.7978,5.2778,8.5556,7.0,7.0,1.0,2.0,0.0631,0.0,l
serie_a,2025,Roma,28,2026-03-15 17:00:00,a,0.9,2.4691,0.1387,2.4691,11.0323,9.4444,2.0,15.0,1.0,2.0,0.3273,0.0,l
serie_a,2025,Roma,29,2026-03-22 17:00:00,h,1.0936,0.807,1.0936,0.807,7.7368,10.5806,10.0,4.0,1.0,0.0,1.5568,3.0,w
serie_a,2025,Roma,30,2026-04-05 18:45:00,a,0.94,2.2544,0.94,2.2544,14.0909,11.4,6.0,14.0,2.0,5.0,0.4864,0.0,l
serie_a,2025,Roma,31,2026-04-10 18:45:00,h,1.4508,1.0632,1.4508,1.0632,7.7742,18.8947,6.0,3.0,3.0,0.0,1.7222,3.0,w
serie_a,2025,Roma,32,2026-04-18 18:45:00,h,1.7094,0.6602,1.7094,0.6602,17.9375,16.0,9.0,5.0,1.0,1.0,2.1949,1.0,d
serie_a,2025,Roma,33,2026-04-25 16:00:00,a,1.6563,0.4791,1.6563,0.4791,14.5652,10.3333,1.0,6.0,2.0,0.0,2.3745,3.0,w
serie_a,2025,Roma,34,2026-05-04 18:45:00,h,2.8432,0.1322,2.8432,0.1322,8.5185,18.45,8.0,4.0,4.0,0.0,2.9556,3.0,w
serie_a,2025,Roma,35,2026-05-10 16:00:00,a,3.0208,0.6362,2.2595,0.6362,7.0952,13.3889,12.0,6.0,3.0,2.0,2.7858,3.0,w
serie_a,2025,Roma,36,2026-05-17 10:30:00,h,1.318,0.7666,1.318,0.7666,10.4583,12.5,4.0,3.0,2.0,0.0,1.7861,3.0,w
serie_a,2025,Roma,37,2026-05-24 18:45:00,a,3.5551,0.5977,2.7938,0.5977,8.375,17.8421,17.0,5.0,2.0,0.0,2.8932,3.0,w
serie_a,2025,Lazio,0,2025-08-24 16:30:00,a,0.203,1.2848,0.203,1.2848,13.0385,5.7714,2.0,5.0,0.0,2.0,0.4194,0.0,l
serie_a,2025,Lazio,1,2025-08-31 18:45:00,h,3.9665,0.6005,3.9665,0.6005,7.5385,23.1579,13.0,6.0,4.0,0.0,2.9103,3.0,w
serie_a,2025,Lazio,2,2025-09-14 16:00:00,a,0.8582,1.2156,0.8582,1.2156,13.4762,17.8421,5.0,5.0,0.0,1.0,0.9591,0.0,l
serie_a,2025,Lazio,3,2025-09-21 10:30:00,h,0.667,1.2264,0.667,1.2264,10.7778,6.1389,3.0,8.0,0.0,1.0,0.8502,0.0,l
serie_a,2025,Lazio,4,2025-09-29 18:45:00,a,3.5406,1.4766,3.5406,1.4766,15.75,5.6296,4.0,3.0,3.0,0.0,2.6393,3.0,w
serie_a,2025,Lazio,5,2025-10-04 13:00:00,h,1.4507,2.1811,0.6895,2.1811,10.875,7.0,3.0,9.0,3.0,3.0,0.8232,1.0,d
serie_a,2025,Lazio,6,2025-10-19 16:00:00,a,0.2203,2.3809,0.2203,2.3809,20.0,11.7727,0.0,10.0,0.0,0.0,0.0752,1.0,d
