league,season,match_id,date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,odds_over_2_5,odds_under_2_5
eredivisie,2023,eredivisie_2023_0_volendam_vitesse,11/08/2023,Volendam,Vitesse,1,2,1,0,4,13,4,9,3,7,12,10,3,1,1,0,3.37,3.74,2.04,1.56,2.39
eredivisie,2023,eredivisie_2023_1_psv_eindhoven_utrecht,12/08/2023,PSV Eindhoven,Utrecht,2,0,1,0,23,7,8,1,4,2,15,14,2,1,0,0,1.36,5.21,7.94,1.49,2.58
eredivisie,2023,eredivisie_2023_2_heerenveen_waalwijk,12/08/2023,Heerenveen,Waalwijk,3,1,3,0,19,13,9,5,7,2,9,8,0,1,0,0,1.75,4.03,4.26,1.57,2.36
eredivisie,2023,eredivisie_2023_3_ajax_heracles,12/08/2023,Ajax,Heracles,4,1,1,1,31,7,13,2,13,4,11,14,2,5,0,0,1.18,7.73,13.26,1.34,3.2
eredivisie,2023,eredivisie_2023_4_zwolle_sparta_rotterdam,12/08/2023,Zwolle,Sparta Rotterdam,1,2,0,1,20,9,7,4,7,1,8,15,2,4,0,0,2.47,3.43,2.78,1.76,2.04
eredivisie,2023,eredivisie_2023_5_nijmegen_excelsior,13/08/2023,Nijmegen,Excelsior,3,4,2,1,8,6,6,6,2,7,4,10,1,2,0,0,1.51,4.49,5.79,1.55,2.4
eredivisie,2023,eredivisie_2023_6_az_alkmaar_go_ahead_eagles,13/08/2023,AZ Alkmaar,Go Ahead Eagles,5,1,2,0,13,9,8,4,5,4,8,13,2,3,0,0,1.36,5.03,8.25,1.59,2.31
eredivisie,2023,eredivisie_2023_7_feyenoord_for_sittard,13/08/2023,Feyenoord,For Sittard,0,0,0,0,22,14,6,5,8,3,4,21,0,6,1,0,1.15,8.2,16.29,1.31,3.36
eredivisie,2023,eredivisie_2023_8_almere_city_twente,13/08/2023,Almere City,Twente,1,4,0,0,12,20,4,8,2,11,15,10,4,0,1,0,5.38,4.27,1.57,1.61,2.3
eredivisie,2023,eredivisie_2023_9_heracles_nijmegen,18/08/2023,Heracles,Nijmegen,2,1,0,1,16,17,7,4,5,9,10,10,2,2,0,0,2.42,3.61,2.74,1.61,2.3
eredivisie,2023,eredivisie_2023_10_excelsior_ajax,19/08/2023,Excelsior,Ajax,2,2,1,1,13,15,2,8,4,10,7,7,0,0,0,0,10.24,6.55,1.24,1.29,3.53
eredivisie,2023,eredivisie_2023_11_vitesse_psv_eindhoven,19/08/2023,Vitesse,PSV Eindhoven,1,3,1,0,12,19,2,7,4,7,7,2,0,1,0,0,5.7,4.43,1.53,1.55,2.42
eredivisie,2023,eredivisie_2023_12_for_sittard_almere_city,19/08/2023,For Sittard,Almere City,2,1,2,1,21,8,7,5,5,6,8,13,3,2,0,0,1.93,3.81,3.64,1.6,2.3
eredivisie,2023,eredivisie_2023_13_go_ahead_eagles_volendam,19/08/2023,Go Ahead Eagles,Volendam,4,1,3,0,8,19,6,5,4,12,3,8,1,3,1,0,1.65,4.17,4.73,1.59,2.31
eredivisie,2023,eredivisie_2023_14_utrecht_heerenveen,20/08/2023,Utrecht,Heerenveen,0,2,0,0,12,12,6,6,9,2,11,10,0,1,0,0,1.78,3.85,4.22,1.63,2.25
eredivisie,2023,eredivisie_2023_15_sparta_rotterdam_feyenoord,20/08/2023,Sparta Rotterdam,Feyenoord,2,2,1,0,10,24,5,8,3,12,9,5,2,0,0,0,5.27,4.39,1.56,1.57,2.36
eredivisie,2023,eredivisie_2023_16_twente_zwolle,20/08/2023,Twente,Zwolle,3,1,1,1,18,9,3,4,8,3,6,15,2,5,0,0,1.34,5.18,8.34,1.54,2.45
eredivisie,2023,eredivisie_2023_17_waalwijk_az_alkmaar,20/08/2023,Waalwijk,AZ Alkmaar,1,3,1,0,7,15,5,7,1,10,9,12,2,1,0,0,5.02,4.26,1.6,1.53,2.45
eredivisie,2023,eredivisie_2023_18_nijmegen_waalwijk,26/08/2023,Nijmegen,Waalwijk,3,0,1,0,13,10,10,1,2,4,10,9,1,2,0,0,1.78,4.01,4.09,1.58,2.37
eredivisie,2023,eredivisie_2023_19_excelsior_for_sittard,26/08/2023,Excelsior,For Sittard,2,2,1,0,9,13,6,5,0,6,5,9,1,1,0,0,2.37,3.64,2.79,1.64,2.25
eredivisie,2023,eredivisie_2023_20_zwolle_utrecht,27/08/2023,Zwolle,Utrecht,1,0,0,0,9,10,2,1,2,8,13,8,2,3,0,0,2.8,3.69,2.34,1.61,2.3
eredivisie,2023,eredivisie_2023_21_feyenoord_almere_city,27/08/2023,Feyenoord,Almere City,6,1,3,0,31,6,18,1,8,2,8,15,0,1,0,0,1.15,8.25,15.35,1.32,3.3
eredivisie,2023,eredivisie_2023_22_heerenveen_sparta_rotterdam,27/08/2023,Heerenveen,Sparta Rotterdam,1,3,0,1,19,16,6,7,6,7,4,8,0,0,1,0,2.28,3.66,2.89,1.66,2.21
eredivisie,2023,eredivisie_2023_23_sparta_rotterdam_nijmegen,01/09/2023,Sparta Rotterdam,Nijmegen,1,1,0,0,15,13,6,6,10,1,11,10,1,4,0,0,1.88,3.78,3.88,1.67,2.17
eredivisie,2023,eredivisie_2023_24_almere_city_zwolle,02/09/2023,Almere City,Zwolle,1,2,0,1,10,13,3,6,7,4,12,10,3,4,0,1,3.15,3.63,2.16,1.65,2.23
eredivisie,2023,eredivisie_2023_25_go_ahead_eagles_heerenveen,02/09/2023,Go Ahead Eagles,Heerenveen,3,2,2,1,21,13,7,3,9,8,10,9,3,0,0,1,2.2,3.64,3.06,1.62,2.27
eredivisie,2023,eredivisie_2023_26_waalwijk_psv_eindhoven,02/09/2023,Waalwijk,PSV Eindhoven,0,4,0,1,10,22,3,9,4,8,1,13,0,0,0,0,7.93,5.61,1.33,1.36,3.08
eredivisie,2023,eredivisie_2023_27_heracles_excelsior,02/09/2023,Heracles,Excelsior,3,1,0,1,15,9,5,3,8,1,6,11,1,4,0,1,1.81,3.85,4.1,1.59,2.34
eredivisie,2023,eredivisie_2023_28_utrecht_feyenoord,03/09/2023,Utrecht,Feyenoord,1,5,1,2,5,21,1,11,5,8,13,13,1,0,0,0,4.69,4.36,1.63,1.48,2.62
eredivisie,2023,eredivisie_2023_29_for_sittard_ajax,03/09/2023,For Sittard,Ajax,0,0,0,0,12,12,4,4,3,7,20,7,3,2,0,0,6.89,5.25,1.39,1.39,2.95
eredivisie,2023,eredivisie_2023_30_volendam_twente,03/09/2023,Volendam,Twente,0,2,0,1,7,12,2,4,1,5,10,7,1,2,0,0,5.05,4.47,1.57,1.45,2.72
eredivisie,2023,eredivisie_2023_31_vitesse_az_alkmaar,03/09/2023,Vitesse,AZ Alkmaar,0,2,0,0,4,16,2,7,0,9,12,10,3,0,0,0,3.56,3.72,1.97,1.64,2.22
eredivisie,2023,eredivisie_2023_32_feyenoord_heerenveen,16/09/2023,Feyenoord,Heerenveen,6,1,3,1,21,7,9,1,6,3,8,9,1,0,0,0,1.22,6.63,11.54,1.37,3.05
eredivisie,2023,eredivisie_2023_33_vitesse_waalwijk,16/09/2023,Vitesse,Waalwijk,0,2,0,1,16,18,2,9,8,6,9,9,1,5,1,0,1.51,4.53,5.75,1.52,2.5
eredivisie,2023,eredivisie_2023_34_for_sittard_volendam,16/09/2023,For Sittard,Volendam,3,1,0,1,27,7,11,2,15,3,9,6,1,0,0,0,1.63,4.25,4.86,1.52,2.49
eredivisie,2023,eredivisie_2023_35_psv_eindhoven_nijmegen,16/09/2023,PSV Eindhoven,Nijmegen,4,0,2,0,28,3,11,0,8,3,11,11,1,2,0,0,1.16,7.98,14.84,1.31,3.35
eredivisie,2023,eredivisie_2023_36_heracles_utrecht,16/09/2023,Heracles,Utrecht,1,3,0,2,11,11,1,7,4,4,12,13,3,3,0,0,2.52,3.52,2.67,1.69,2.15
eredivisie,2023,eredivisie_2023_37_zwolle_go_ahead_eagles,17/09/2023,Zwolle,Go Ahead Eagles,1,1,0,0,27,9,11,2,11,4,9,6,1,4,0,1,2.39,3.54,2.81,1.64,2.24
eredivisie,2023,eredivisie_2023_38_excelsior_almere_city,17/09/2023,Excelsior,Almere City,0,0,0,0,14,16,2,3,4,5,7,13,2,3,0,0,2.06,3.79,3.23,1.57,2.37
eredivisie,2023,eredivisie_2023_39_twente_ajax,17/09/2023,Twente,Ajax,3,1,2,1,24,11,9,2,5,9,13,9,1,2,0,0,2.55,3.56,2.62,1.59,2.32
eredivisie,2023,eredivisie_2023_40_az_alkmaar_sparta_rotterdam,17/09/2023,AZ Alkmaar,Sparta Rotterdam,2,0,2,0,18,10,7,3,9,4,8,5,0,3,0,0,1.52,4.37,5.83,1.61,2.28
eredivisie,2023,eredivisie_2023_41_go_ahead_eagles_for_sittard,22/09/2023,Go Ahead Eagles,For Sittard,3,0,1,0,20,21,9,2,2,5,2,14,0,4,0,0,2.2,3.63,3.08,1.7,2.15
eredivisie,2023,eredivisie_2023_42_volendam_heracles,23/09/2023,Volendam,Heracles,2,2,0,0,16,15,6,5,5,7,14,14,1,1,0,0,2.77,3.7,2.35,1.58,2.35
eredivisie,2023,eredivisie_2023_43_nijmegen_utrecht,23/09/2023,Nijmegen,Utrecht,3,0,2,0,9,17,5,4,4,4,8,11,1,2,0,0,2.59,3.6,2.55,1.64,2.24
