player_id,player_name,origin_team_id,destination_team_id,transfer_date,season,position,eligibility,source_system,source_snapshot_date
4431531,George Rooks,103,183,2025-04-25,2025,DL,Immediate,cfbd,2026-07-13
4684454,Jalon Williams,103,2046,2025-04-29,2025,CB,Immediate,cfbd,2026-07-13
4683510,Otto Hess,103,2050,2025-05-09,2025,IOL,Immediate,cfbd,2026-07-13
5222674,Ryan Boultwood,103,23,2025-04-25,2025,TE,Immediate,cfbd,2026-07-13
4565184,Jerand Bradley,103,2306,2024-12-21,2025,WR,Immediate,cfbd,2026-07-13
4883774,Jayden McGowan,103,2429,2025-01-10,2025,WR,Immediate,cfbd,2026-07-13
4794110,Ryan Turner,103,2509,2025-01-07,2025,CB,Immediate,cfbd,2026-07-13
4949488,Jacobe Robinson,103,2572,2025-05-20,2025,QB,Immediate,cfbd,2026-07-13
4685379,Sione Hala,103,2692,2024-12-25,2025,LB,Immediate,cfbd,2026-07-13
4683498,Ilija Krajnovic,103,2717,2025-04-17,2025,OT,Immediate,cfbd,2026-07-13
4683914,Cole Batson,103,302,2025-01-17,2025,S,Immediate,cfbd,2026-07-13
4870585,Kahlil Ali,103,48,2024-12-26,2025,S,Immediate,cfbd,2026-07-13
4596663,Jalen Cheek,103,5,2025-01-08,2025,S,Immediate,cfbd,2026-07-13
4683502,Nigel Tate,103,5,2025-01-13,2025,DL,Immediate,cfbd,2026-07-13
4695891,Christo Kelly,107,153,2024-12-16,2025,IOL,Immediate,cfbd,2026-07-13
4879058,Joe Pesansky,107,2229,2025-04-08,2025,QB,Immediate,cfbd,2026-07-13
4879072,Cam McNair,107,256,2025-02-14,2025,OT,Immediate,cfbd,2026-07-13
4879061,Curtis Harris-Lopez,107,256,2024-12-29,2025,S,Immediate,cfbd,2026-07-13
4879060,Jordan Fuller,107,256,2025-05-02,2025,RB,Immediate,cfbd,2026-07-13
4879055,Ryan Ruane,107,2619,2025-03-30,2025,S,Immediate,cfbd,2026-07-13
4879073,Jacob Petersen,107,2649,2025-01-16,2025,TE,Immediate,cfbd,2026-07-13
4879057,Jake Jarmolowich,107,36,2025-01-23,2025,S,Immediate,cfbd,2026-07-13
4804878,Cooper Barkate,108,150,2024-12-29,2025,WR,Immediate,cfbd,2026-07-13
4695746,Mitchell Gonser,108,2084,2025-01-08,2025,LB,Immediate,cfbd,2026-07-13
4431282,Austin Gentle,108,235,2024-12-19,2025,IOL,Immediate,cfbd,2026-07-13
4878236,Gavin Shipman,108,2429,2025-01-04,2025,CB,Immediate,cfbd,2026-07-13
4878254,Jacob Psyk,108,302,2025-01-17,2025,DL,Immediate,cfbd,2026-07-13
