event_id,commence_time,home,away,bookmaker_key,bookmaker,book_last_update,market,outcome_name,outcome_price,outcome_point,date
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,lowvig,LowVig.ag,,totals,Over,-108,5.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,lowvig,LowVig.ag,,totals,Under,-108,5.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,williamhill_us,Caesars,,h2h,Carolina Hurricanes,-250,,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,williamhill_us,Caesars,,h2h,Montréal Canadiens,205,,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,williamhill_us,Caesars,,spreads,Carolina Hurricanes,105,-1.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,williamhill_us,Caesars,,spreads,Montréal Canadiens,-125,1.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,williamhill_us,Caesars,,totals,Over,-115,5.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,williamhill_us,Caesars,,totals,Under,-105,5.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betmgm,BetMGM,,h2h,Carolina Hurricanes,-250,,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betmgm,BetMGM,,h2h,Montréal Canadiens,200,,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betmgm,BetMGM,,spreads,Carolina Hurricanes,105,-1.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betmgm,BetMGM,,spreads,Montréal Canadiens,-125,1.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betmgm,BetMGM,,totals,Over,-110,5.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betmgm,BetMGM,,totals,Under,-110,5.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,bovada,Bovada,,h2h,Carolina Hurricanes,-250,,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,bovada,Bovada,,h2h,Montréal Canadiens,210,,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,bovada,Bovada,,spreads,Carolina Hurricanes,-110,-1.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,bovada,Bovada,,spreads,Montréal Canadiens,-110,1.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,bovada,Bovada,,totals,Over,-112,5.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,bovada,Bovada,,totals,Under,-108,5.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betrivers,BetRivers,,h2h,Carolina Hurricanes,-286,,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betrivers,BetRivers,,h2h,Montréal Canadiens,225,,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betrivers,BetRivers,,spreads,Carolina Hurricanes,-107,-1.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betrivers,BetRivers,,spreads,Montréal Canadiens,-118,1.5,2026-05-29
6f06d715bb29b056553a7410b6d72a1d,2026-05-30T00:15:00Z,Carolina Hurricanes,Montréal Canadiens,betrivers,BetRivers,,totals,Over,-121,5.5,2026-05-29
