league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
championship,134929,Ryan Allsop,Birmingham City,Goalkeeper,True,8,8,720.0,0.0,0.0,0.0,,0.8889,espn_true_per90
championship,263133,Christoph Klarer,Birmingham City,Center Left Defender,False,9,9,810.0,0.3333,0.0,0.0,0.0,1.0,espn_true_per90
championship,238884,Phil Neumann,Birmingham City,Center Right Defender,False,5,5,435.9,0.0,0.0,0.0,,0.5382,espn_true_per90
championship,251627,Alex Cochrane,Birmingham City,Left Back,False,7,6,516.3,0.8716,0.0,0.0,0.2,0.6374,espn_true_per90
championship,217071,Bright Osayi-Samuel,Birmingham City,Right Back,False,8,7,596.6,0.1509,0.0,0.0,0.0,0.7365,espn_true_per90
championship,301248,Jay Stansfield,Birmingham City,Attacking Midfielder,False,8,8,654.1,2.6142,0.4128,0.1376,0.2632,0.8075,espn_true_per90
championship,256598,Paik Seung-Ho,Birmingham City,Left Midfielder,False,9,8,748.2,0.8421,0.1203,0.0,0.1429,0.9236,espn_true_per90
championship,286056,Tomoki Iwata,Birmingham City,Right Midfielder,False,9,9,796.1,0.6783,0.0,0.0,0.1667,0.9829,espn_true_per90
championship,276904,Kyogo Furuhashi,Birmingham City,Forward,False,9,5,468.1,2.1152,0.0,0.0,0.2727,0.5778,espn_true_per90
championship,216186,Keshi Anderson,Birmingham City,Attacking Midfielder Left,False,5,2,219.3,1.2311,0.0,0.0,0.3333,0.2708,espn_true_per90
championship,194403,Demarai Gray,Birmingham City,Attacking Midfielder Right,False,9,9,745.8,2.0515,0.1207,0.1207,0.2353,0.9208,espn_true_per90
championship,284641,Tommy Doyle,Birmingham City,Substitute,False,9,2,210.3,1.7122,0.0,0.0,0.0,0.2596,espn_true_per90
championship,207538,Lyndon Dykes,Birmingham City,Substitute,False,8,2,200.0,3.15,0.9,0.0,0.2857,0.2469,espn_true_per90
championship,282892,Taylor Gardner-Hickman,Blackburn Rovers,Substitute,False,5,3,282.4,0.3186,0.0,0.0,0.0,0.3923,espn_true_per90
championship,291434,Ethan Laird,Birmingham City,Substitute,False,7,4,373.3,1.4467,0.0,0.2411,0.1667,0.4608,espn_true_per90
championship,219390,Alex Palmer,Ipswich Town,Goalkeeper,True,7,7,630.0,0.0,0.0,0.0,,1.0,espn_true_per90
