date,game_id,game_id_raw,home_tri,away_tri,side,team_tri,opp_tri,player_id,player_name,sim_min,sim_pts,sim_reb,sim_ast,sim_3pm,sim_pra,sim_stl,sim_blk,sim_tov,actual_min,actual_pts,actual_reb,actual_ast,actual_3pm,actual_3pa,actual_fgm,actual_fga,actual_ftm,actual_fta,actual_2pm,actual_2pa,actual_stl,actual_blk,actual_tov,actual_pf,actual_oreb,actual_dreb,actual_pm,actual_pra,err_min,err_pts,err_reb,err_ast,err_3pm,err_pra,err_stl,err_blk,err_tov,abs_err_pts,abs_err_pra,missing_actual
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4432816,LaMelo Ball,30.985769215172592,21.13,6.166,4.404,3.482,31.7,1.168,0.274,1.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4433287,Brandon Miller,29.727806060916652,18.452,5.386,2.454,3.038,26.292,0.826,0.326,0.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,5061575,Kon Knueppel,29.14228339723472,12.878,6.32,2.928,1.998,22.126,0.8,0.178,1.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4066383,Miles Bridges,28.795738460467227,15.974,6.716,2.914,2.344,25.604,0.71,0.458,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4433249,Moussa Diabate,26.461102238257155,7.686,7.876,2.934,0.796,18.496,0.764,0.44,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4066218,Grant Williams,18.110925232113942,9.642,4.104,1.25,1.84,14.996,0.784,0.414,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4395651,Coby White,17.721721967813494,13.52,3.384,2.042,2.45,18.946,0.452,0.046,1.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4602025,Sion James,15.931386952031461,6.474,4.1,2.198,1.052,12.772,0.648,0.05,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4576060,Ryan Kalkbrenner,15.870844222029174,5.342,4.158,1.206,0.466,10.706,0.202,0.474,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4432811,Josh Green,7.3689151374217206,2.336,0.904,0.468,0.466,3.708,0.278,0.062,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,5239590,Liam McNeeley,5.496642592313273,3.206,2.186,0.322,0.502,5.714,0.184,0.084,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4597865,Tosan Evbuomwan,5.496642592313273,0.402,0.102,0.064,0.046,0.568,0.238,0.084,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,2578239,Pat Connaughton,2.0552663606040933,0.766,0.638,0.094,0.154,1.498,0.086,0.002,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4592686,Antonio Reeves,1.8162819000687336,0.12,0.008,0.562,0.004,0.69,0.096,0.056,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,5211176,Tidjane Salaun,1.8162819000687336,0.064,0.006,0.006,0.0,0.076,0.134,0.054,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4432819,Tre Mann,1.6059755747976172,0.91,0.326,0.208,0.122,1.444,0.104,0.002,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,away,CHA,ORL,4277964,Xavier Tillman,1.5964161963762025,0.542,0.44,0.124,0.054,1.106,0.1,0.06,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4432573,Paolo Banchero,31.273640326499354,11.292,7.754,3.494,0.712,22.54,0.584,0.168,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4432165,Jalen Suggs,29.16258976157229,14.594,4.982,3.5,2.048,23.076,0.932,0.278,1.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4066320,Desmond Bane,26.771827837395808,14.778,3.976,2.27,1.962,21.024,0.63,0.276,1.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4277847,Wendell Carter Jr.,25.262695882065206,8.038,6.472,1.53,0.546,16.04,0.338,0.4,1.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4566434,Franz Wagner,22.569320729268064,11.728,3.87,1.824,0.852,17.422,0.268,0.164,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4702382,Tristan da Silva,20.084166172603304,8.648,3.844,1.874,0.798,14.366,0.384,0.118,1.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4712849,Anthony Black,17.46756705856696,8.416,4.182,1.694,0.88,14.292,0.612,0.366,1.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4278572,Jamal Cain,16.15042763967704,8.056,3.492,1.21,0.95,12.758,0.166,0.112,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4348700,Goga Bitadze,16.000149987857384,6.432,5.646,1.378,0.298,13.456,0.458,0.364,1.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,3133635,Jevon Carter,13.463574886554724,6.296,1.838,1.262,0.84,9.396,0.432,0.05,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,5105806,Jett Howard,8.441602831627927,4.044,0.824,0.504,0.5,5.372,0.03,0.072,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,5239561,Jase Richardson,3.292615919280801,1.024,0.636,0.242,0.06,1.902,0.142,0.002,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
