team,pace,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,ft_rate,fg3a_rate,fg3_pct,ts_pct,ast_per_100,games,source
ATL,103.74341463414635,114.10408209290495,111.94451241316985,0.5537064049860027,0.11653748746450582,0.2435064935064276,0.23365601379124337,0.4292534146664329,0.3710225517453287,0.5840351695709749,29.02524056532511,82,player_logs
BKN,99.13,106.6368748004878,117.17324628446568,0.5203375162266666,0.13678217161156792,0.23619631901833904,0.27188807154186184,0.454637242175039,0.34041878172578033,0.5594919097186077,25.16757924717937,82,player_logs
BOS,97.27780487804878,117.85817974309496,110.3534021550611,0.5528521221951131,0.1045923007644106,0.2916903813317326,0.207353338740172,0.46715328467146966,0.366898148148042,0.5833052560646539,25.291078919175504,82,player_logs
CHA,99.49658536585366,115.85395557286195,112.4689128375039,0.5524547449258704,0.12787281838602385,0.30518345952233394,0.24410312671417386,0.4866977509598893,0.37841645533942564,0.5890256588071757,26.305533904907158,82,player_logs
CHI,104.72268292682926,111.2762759959546,115.80713996809425,0.5474585411890862,0.12739448551735671,0.23114620201463895,0.2459215316165234,0.4431710934339432,0.3556434438696819,0.5801405428027425,27.244427435310268,82,player_logs
CLE,102.19292682926829,117.04139976783777,112.8590645004206,0.5609673485976749,0.11697961212473144,0.2686608890130644,0.26541119089550663,0.4418100528383089,0.35970561177541865,0.594507312906978,27.716874692495814,82,player_logs
DAL,104.48804878048782,109.07115849933226,114.65209342332747,0.5269481401031052,0.12146923767726657,0.23211403980628506,0.2868585392342809,0.3550095031224063,0.3437858508602892,0.5640257867912271,24.149972260164184,82,player_logs
DEN,101.45219512195122,120.25410738053633,115.32188614067208,0.5767787659810204,0.10936938358625173,0.23621350634024293,0.29405225125065393,0.4077265147303491,0.3957055214722578,0.615845375438006,28.531818684193183,82,player_logs
DET,102.01024390243903,115.33004671958264,107.55930840368636,0.5464577656675005,0.12311620560722615,0.3089547941260268,0.29209809264301195,0.3452316076293807,0.35595895816876244,0.5829156284405975,27.2411552829417,82,player_logs
GSW,101.6809756097561,112.69828326384773,113.28359283159641,0.5494505494504739,0.13256276507158468,0.2577433628317871,0.23791208791205523,0.49670329670322844,0.35564159292025566,0.5843015737221848,28.408409560763488,82,player_logs
HOU,99.30756097560976,115.9176002394515,110.89175607500087,0.5424534709957148,0.12573951886517679,0.34810841332570636,0.2604265724765303,0.35049585654118315,0.3643410852711766,0.5758439291703694,25.553641792652922,82,player_logs
IND,103.1568292682927,109.18483847890808,116.51782342721984,0.5332009857611537,0.12270960097214949,0.21719213150088462,0.252190580503799,0.42223439211385233,0.3557068741892491,0.5680585816958963,26.872805999418855,82,player_logs
LAC,98.81487804878049,115.52941176469157,113.59499375201538,0.5587720577511216,0.12540918839596732,0.23664352550551263,0.29531865247188344,0.4042584220504004,0.367604617604485,0.6020263293752838,24.111455108356147,82,player_logs
LAL,100.15024390243902,116.56378751666391,114.02525156910758,0.5730730001456253,0.12613915939969747,0.23881518049977205,0.31968526883282533,0.39355966778371065,0.3591262495370755,0.609323025512329,25.92750074532084,82,player_logs
MEM,103.86121951219513,110.15078814685793,116.46792424405108,0.5331045619700534,0.12695081079249818,0.24703344120813187,0.25124478535859895,0.436145875386834,0.3526689293426866,0.5697075303423595,26.744044383630403,82,player_logs
MIA,105.56341463414635,114.49279380436823,112.29257066805852,0.5417756276149919,0.11177548501833369,0.2535947712417638,0.26817468619243356,0.4062499999999469,0.36144190537484344,0.5795608179227864,27.424668801490284,82,player_logs
MIL,99.49487804878049,111.24245263120389,117.38544474392093,0.565459212778014,0.13346597405401955,0.2108451110469539,0.22304620650310567,0.4570735881345611,0.38689547581891204,0.5890786684951619,25.946762540523306,82,player_logs
MIN,103.00073170731707,114.88029938213076,110.99907431895012,0.559090909090832,0.12412001269066847,0.2569405099149414,0.28539944903577336,0.41997245179057574,0.36995736306973764,0.5920447203022761,25.38384457203344,82,player_logs
NOP,103.03609756097562,112.14951058155881,116.45738573164908,0.5272237196764787,0.1167348943141622,0.2695722356738581,0.28355795148244156,0.3551212938004912,0.34686907020859703,0.5675336937558372,24.36437166439861,82,player_logs
NYK,99.13341463414633,117.773732350576,110.79808980656213,0.5573144104802733,0.11510813387085642,0.29337094499286503,0.2378548034934173,0.4275382096069285,0.3728056176187766,0.589814352705117,27.75064381493308,82,player_logs
OKC,101.92268292682927,116.96747441335094,105.67283708749775,0.561311071575125,0.10768826274620322,0.22298065984066467,0.2607089092650526,0.4257561242643457,0.36483445837339606,0.5991258655404043,25.322978835595343,82,player_logs
ORL,102.82170731707316,112.19418779492351,112.32465263727761,0.5305770292655259,0.12001145612473924,0.2499999999999304,0.31073992269460093,0.38638873550519237,0.343336906037748,0.5762990561592181,25.734563990048304,82,player_logs
PHI,102.67487804878049,113.16754799674703,112.73021032231662,0.5304565099945259,0.1136339363906152,0.26205962059613497,0.2748514316585258,0.39113992436515516,0.3491022099446308,0.5724510205556683,24.022199990469247,82,player_logs
PHX,99.58195121951219,113.0441597115962,111.6021125035382,0.5368791446744435,0.12025064133674075,0.289287656334886,0.22506428474756732,0.45310596833124195,0.3614097968935599,0.5684225044084411,24.746777163901204,82,player_logs
POR,103.25512195121951,111.48709109232252,112.46990692471134,0.5336310732168719,0.13999477739689087,0.312956451176545,0.28001082690482065,0.46853430775470717,0.34257654534941,0.5704656744616108,24.277788766751403,82,player_logs
SAC,101.58682926829269,109.61246658155187,118.73477222356424,0.5246609124536888,0.1216637106890901,0.2594222833561872,0.256199479380702,0.33922455130835194,0.34046849757659914,0.5603437661601762,25.22941303981006,82,player_logs
SAS,102.03804878048781,117.5353227974845,109.20446132166543,0.5589472256138164,0.11156487761213381,0.26190476190468853,0.2735042735042364,0.42165242165236444,0.35907335907324356,0.5949353599643138,27.535753417444464,82,player_logs
TOR,100.64390243902439,113.86100236441892,111.12835033550493,0.5463448275861315,0.11529197830105355,0.2546955036994153,0.2651034482758255,0.3631724137930533,0.3539688568171842,0.5805565437368707,29.276813054766016,82,player_logs
UTA,105.11512195121952,111.76227855025341,119.98875940005388,0.5364841344222069,0.12807920726148467,0.26156299840503416,0.2772794216092814,0.4024635158655238,0.344644045242733,0.575281853502968,28.15500669970603,82,player_logs
WAS,103.81536585365855,108.71658532688855,120.32902467683662,0.5348899986502179,0.13190706605547614,0.24051309460175294,0.23457956539340874,0.4026184370359829,0.3586992960106072,0.5663272047488435,24.120097889547317,82,player_logs
