gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,date
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1630183,Jaden,McDaniels,J. McDaniels,jaden-mcdaniels,F,,,33:56,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,3,2,2,2,3,5,1.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203944,Julius,Randle,J. Randle,julius-randle,F,,,38:52,10,17,0.588,2,6,0.333,1,1,1.0,3,7,10,4,1,0,3,2,23,5.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203497,Rudy,Gobert,R. Gobert,rudy-gobert,C,,,32:04,5,7,0.714,0,1,0.0,3,3,1.0,4,8,12,1,1,0,2,5,13,4.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1630162,Anthony,Edwards,A. Edwards,anthony-edwards,G,,,38:17,10,19,0.526,2,8,0.25,11,14,0.786,0,3,3,5,1,0,2,0,33,-2.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1628978,Donte,DiVincenzo,D. DiVincenzo,donte-divincenzo,G,,,30:58,5,13,0.385,1,8,0.125,0,0,0.0,2,6,8,4,2,1,2,5,11,24.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,201144,Mike,Conley,M. Conley,mike-conley,,,,14:40,1,2,0.5,1,2,0.5,2,2,1.0,0,1,1,3,1,0,1,3,5,-3.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629675,Naz,Reid,N. Reid,naz-reid,,,,25:04,10,15,0.667,4,7,0.571,5,5,1.0,1,3,4,3,0,2,2,1,29,11.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1641740,Jaylen,Clark,J. Clark,jaylen-clark,,,,5:16,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-6.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1630538,Bones,Hyland,B. Hyland,bones-hyland,,,,20:53,2,6,0.333,0,4,0.0,0,0,0.0,0,0,0,3,1,0,0,1,4,16.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1642265,Rob,Dillingham,R. Dillingham,rob-dillingham,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,204060,Joe,Ingles,J. Ingles,joe-ingles,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1630548,Johnny,Juzang,J. Juzang,johnny-juzang,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022500486,2026-01-03
0022500486,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1631159,Leonard,Miller,L. Miller,leonard-miller,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022500486,2026-01-03
0022500486,1610612748,Miami,Heat,MIA,heat,203952,Andrew,Wiggins,A. Wiggins,andrew-wiggins,F,,,28:01,4,12,0.333,2,7,0.286,2,2,1.0,1,1,2,3,2,0,1,6,12,-7.0,0022500486,2026-01-03
0022500486,1610612748,Miami,Heat,MIA,heat,1628389,Bam,Adebayo,B. Adebayo,bam-adebayo,F,,,34:13,5,13,0.385,1,3,0.333,1,2,0.5,2,7,9,4,0,1,4,2,12,-9.0,0022500486,2026-01-03
