market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,San Antonio Spurs,San Antonio Spurs,New York Knicks,2026-06-03,0.096717,-110.0,0.52381,9.671658,5.0,4.671658,-5.0,,High
TOTAL,Over,San Antonio Spurs,New York Knicks,2026-06-03,0.0216,-110.0,0.52381,2.16003,216.5,,,218.66003,Medium
