date,team_tri,player_id,player_id,player_name,stat,line,line_n_books,sim_mu,expected_min,game_id,actual_min,actual,pace_proj_final,sim_vs_line,actual_vs_line,pace_vs_line
2026-05-26,OKC,2991350,2991350,Alex Caruso,ast,1.5,4,1.572655586592179,22.1,,,,,0.07265558659217897,,
2026-05-26,OKC,2991350,2991350,Alex Caruso,pra,13.0,4,11.299250558659216,22.1,,,,,-1.7007494413407844,,
2026-05-26,OKC,2991350,2991350,Alex Caruso,pts,8.5,5,7.429275977653631,22.1,,,,,-1.0707240223463694,,
2026-05-26,OKC,2991350,2991350,Alex Caruso,reb,2.5,3,2.297318994413408,22.1,,,,,-0.2026810055865922,,
2026-05-26,OKC,2991350,2991350,Alex Caruso,threes,1.5,4,1.5793209497206706,22.1,,,,,0.07932094972067061,,
2026-05-26,OKC,4683692,4683692,Cason Wallace,ast,1.5,1,1.8492408163265304,25.0,,,,,0.34924081632653037,,
2026-05-26,OKC,4683692,4683692,Cason Wallace,pra,13.5,5,13.374995918367343,25.0,,,,,-0.12500408163265675,,
2026-05-26,OKC,4683692,4683692,Cason Wallace,pts,7.5,5,7.825583673469387,25.0,,,,,0.3255836734693869,,
2026-05-26,OKC,4683692,4683692,Cason Wallace,reb,3.5,6,3.700171428571428,25.0,,,,,0.20017142857142778,,
2026-05-26,OKC,4683692,4683692,Cason Wallace,threes,1.5,5,1.7768183673469389,25.0,,,,,0.2768183673469389,,
2026-05-26,OKC,4433255,4433255,Chet Holmgren,ast,1.5,5,1.380642857142857,28.4,,,,,-0.11935714285714294,,
2026-05-26,OKC,4433255,4433255,Chet Holmgren,pra,21.0,4,21.46952857142857,28.4,,,,,0.46952857142856885,,
2026-05-26,OKC,4433255,4433255,Chet Holmgren,pts,12.5,7,12.834035714285717,28.4,,,,,0.3340357142857169,,
2026-05-26,OKC,4433255,4433255,Chet Holmgren,threes,1.5,7,0.6373142857142856,28.4,,,,,-0.8626857142857144,,
2026-05-26,OKC,4222252,4222252,Isaiah Hartenstein,ast,2.5,5,2.843942857142857,21.0,,,,,0.3439428571428569,,
2026-05-26,OKC,4222252,4222252,Isaiah Hartenstein,pra,17.5,4,18.52013095238095,21.0,,,,,1.0201309523809492,,
2026-05-26,OKC,4222252,4222252,Isaiah Hartenstein,pts,6.5,7,8.303847619047618,21.0,,,,,1.8038476190476178,,
2026-05-26,OKC,4593803,4593803,Jalen Williams,ast,3.5,7,0.8866666666666667,22.33333333333333,,,,,-2.6133333333333333,,
2026-05-26,OKC,4593803,4593803,Jalen Williams,pra,22.5,11,12.673333333333334,22.33333333333333,,,,,-9.826666666666666,,
2026-05-26,OKC,4593803,4593803,Jalen Williams,pts,14.5,11,9.546666666666669,22.33333333333333,,,,,-4.953333333333331,,
2026-05-26,OKC,4593803,4593803,Jalen Williams,reb,3.5,7,2.24,22.33333333333333,,,,,-1.2599999999999998,,
2026-05-26,OKC,4593803,4593803,Jalen Williams,threes,0.5,4,0.3399999999999999,22.33333333333333,,,,,-0.1600000000000001,,
2026-05-26,OKC,4683778,4683778,Jared McCain,ast,1.5,4,0.8683896103896104,24.9,,,,,-0.6316103896103896,,
2026-05-26,OKC,4683778,4683778,Jared McCain,pra,14.5,3,15.169295454545455,24.9,,,,,0.6692954545454555,,
2026-05-26,OKC,4683778,4683778,Jared McCain,pts,11.5,7,11.651029220779222,24.9,,,,,0.15102922077922187,,
2026-05-26,OKC,4683778,4683778,Jared McCain,reb,2.5,2,2.649876623376623,24.9,,,,,0.1498766233766231,,
2026-05-26,OKC,4683778,4683778,Jared McCain,threes,2.5,6,1.8338766233766235,24.9,,,,,-0.6661233766233765,,
2026-05-26,OKC,4432823,4432823,Jaylin Williams,ast,2.5,1,1.3741065573770488,17.5,,,,,-1.1258934426229512,,
2026-05-26,OKC,4432823,4432823,Jaylin Williams,pra,13.5,1,11.697231147540982,17.5,,,,,-1.8027688524590175,,
2026-05-26,OKC,4432823,4432823,Jaylin Williams,pts,6.5,1,6.280426229508196,17.5,,,,,-0.21957377049180415,,
2026-05-26,OKC,4432823,4432823,Jaylin Williams,reb,4.5,3,4.042698360655738,17.5,,,,,-0.45730163934426216,,
2026-05-26,OKC,4432823,4432823,Jaylin Williams,threes,1.5,3,1.8857278688524588,17.5,,,,,0.3857278688524588,,
2026-05-26,OKC,4397020,4397020,Luguentz Dort,pra,7.5,3,7.840289999999999,19.0,,,,,0.34028999999999865,,
2026-05-26,OKC,4397020,4397020,Luguentz Dort,pts,5.0,4,3.4388,19.0,,,,,-1.5612,,
2026-05-26,OKC,4397020,4397020,Luguentz Dort,reb,2.5,6,3.22648,19.0,,,,,0.72648,,
2026-05-26,OKC,4397020,4397020,Luguentz Dort,threes,1.5,6,0.62393,19.0,,,,,-0.87607,,
2026-05-26,OKC,4278073,4278073,Shai Gilgeous-Alexander,ast,9.0,2,7.853311855670103,36.6,,,,,-1.1466881443298966,,
2026-05-26,OKC,4278073,4278073,Shai Gilgeous-Alexander,pra,41.5,11,33.13090103092784,36.6,,,,,-8.369098969072162,,
2026-05-26,OKC,4278073,4278073,Shai Gilgeous-Alexander,pts,29.5,16,22.30040670103093,36.6,,,,,-7.19959329896907,,
2026-05-26,OKC,4278073,4278073,Shai Gilgeous-Alexander,reb,3.5,7,2.9771824742268045,36.6,,,,,-0.5228175257731955,,
