date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2026-06-03,2026-06-03T23:51:19.872216+00:00,1641705,Victor Wembanyama,SAS,ast,OVER,3.5,135,0.425531914893617,0.4756825322143144,0.7598693636982661,0.050150617320697366,0.1178539507036388,williamhill_us,Caesars,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1628404,Josh Hart,NYK,ast,UNDER,4.5,-113,0.5305164319248826,0.591874935008704,0.9395731191503585,0.0613585030838214,0.11565806333499085,fanduel,FanDuel,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1628404,Josh Hart,NYK,ast,UNDER,4.5,-120,0.5454545454545454,0.6045723315089173,0.9395731191503585,0.0591177860543719,0.10838260776634845,williamhill_us,Caesars,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1628404,Josh Hart,NYK,ast,UNDER,4.5,-127,0.5594713656387665,0.6164866286655053,0.9395731191503585,0.05701526302673876,0.10190917092180873,betrivers,BetRivers,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1642264,Stephon Castle,SAS,ast,OVER,6.5,-128,0.5614035087719298,0.6126033130684028,0.9027355374150827,0.05119980429647297,0.09119965140309244,fanduel,FanDuel,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1642264,Stephon Castle,SAS,ast,OVER,6.5,-134,0.5726495726495726,0.6221624673643992,0.9027355374150827,0.04951289471482656,0.08646281614380158,williamhill_us,Caesars,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1642264,Stephon Castle,SAS,ast,OVER,6.5,-143,0.588477366255144,0.6356160919291348,0.9027355374150827,0.0471387256739908,0.08010286950195633,betrivers,BetRivers,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1641705,Victor Wembanyama,SAS,ast,OVER,2.5,-174,0.635036496350365,0.6823150754503775,0.9502270236837822,0.04727857910001254,0.07445017628392775,fanduel,FanDuel,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1626157,Karl-Anthony Towns,NYK,ast,OVER,3.5,-143,0.588477366255144,0.631018795721883,0.8720868960334043,0.042541429466739,0.0722906808420809,betrivers,BetRivers,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1626157,Karl-Anthony Towns,NYK,ast,OVER,3.5,-146,0.5934959349593496,0.6352845791204578,0.8720868960334043,0.04178864416110817,0.07041100317556581,fanduel,FanDuel,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1626157,Karl-Anthony Towns,NYK,ast,OVER,3.5,-148,0.5967741935483871,0.6380710989211397,0.8720868960334043,0.041296905372752546,0.06920021981380159,williamhill_us,Caesars,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
2026-06-03,2026-06-03T23:51:19.872216+00:00,1641705,Victor Wembanyama,SAS,ast,OVER,2.5,-190,0.6551724137931034,0.6994306052767052,0.9502270236837822,0.04425819148360177,0.06755197647497108,betrivers,BetRivers,2026-06-04T00:30:00Z,San Antonio Spurs,New York Knicks
