market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,2026-05-30,0.06825,-110.0,0.52381,6.825,3.5,3.325,3.5,,High
TOTAL,Over,Oklahoma City Thunder,San Antonio Spurs,2026-05-30,0.0261,-110.0,0.52381,2.61,212.5,,,215.11,Medium
