team,games,q1,q2,q3,q4
Atlanta Dream,32,0.2629434279067513,0.2416352656179374,0.2608859218231273,0.23453538465218396
Chicago Sky,33,0.2515029924078098,0.24876572240846795,0.25443034501273787,0.2453009401709844
Connecticut Sun,35,0.26222509893822604,0.22540613075450835,0.256088615178168,0.25628015512909763
Dallas Wings,33,0.2439444199574176,0.26685296090026983,0.24014398978054088,0.2490586293617717
Indiana Fever,33,0.2532913050227418,0.23383090256697037,0.2560902577586324,0.2567875346516554
Los Angeles Sparks,41,0.26773477612204755,0.23995399575989945,0.2506346611401155,0.24167656697793752
Minnesota Lynx,41,0.2673021208945918,0.2567390971316942,0.24274304824053186,0.23321573373318208
New York Liberty,35,0.2583967319651275,0.25806967925030827,0.2493115196473459,0.23422206913721832
Phoenix Mercury,38,0.26644588981884515,0.25678880730787107,0.23534410491045643,0.24142119796282735
Seattle Storm,33,0.2655260801988074,0.24624589079535436,0.24895838159162753,0.23926964741421067
Washington Mystics,38,0.2622251000120769,0.2747546976177948,0.23332194052161168,0.22969826184851663
