date,player_id,player_name,team,market,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current,_merge_key
2026-05-25,8476906.0,Shayne Gostisbehere,CAR,SOG,1.5,-145,114,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8476906.0
2026-05-25,8476921.0,Jordan Martinook,CAR,SOG,1.5,120,-154,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8476921.0
2026-05-25,8476958.0,Jaccob Slavin,CAR,SOG,1.5,114,-145,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8476958.0
2026-05-25,8476981.0,Josh Anderson,MTL,SOG,1.5,135,-175,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8476981.0
2026-05-25,8477940.0,Nikolaj Ehlers,CAR,SOG,2.5,-110,-120,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8477940.0
2026-05-25,8478970.0,Jalen Chatfield,CAR,SOG,1.5,110,-140,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8478970.0
2026-05-25,8480018.0,Nick Suzuki,MTL,POINTS,1.5,180,-238,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8480018.0
2026-05-25,8480018.0,Nick Suzuki,MTL,SOG,2.5,145,-188,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8480018.0
2026-05-25,8480074.0,Alexandre Texier,MTL,SOG,1.5,175,-230,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8480074.0
2026-05-25,8480817.0,K'Andre Miller,CAR,SOG,1.5,154,-200,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8480817.0
2026-05-25,8480830.0,Andrei Svechnikov,CAR,SOG,2.5,-145,114,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8480830.0
2026-05-25,8480865.0,Noah Dobson,MTL,SOG,1.5,-110,-120,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8480865.0
2026-05-25,8481540.0,Cole Caufield,MTL,SOG,2.5,-110,-120,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8481540.0
2026-05-25,8481618.0,Alex Newhook,MTL,SOG,1.5,-125,-105,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8481618.0
2026-05-25,8482093.0,Seth Jarvis,CAR,SOG,3.5,150,-195,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8482093.0
2026-05-25,8482809.0,Jackson Blake,CAR,SOG,2.5,120,-154,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8482809.0
2026-05-25,8483457.0,Lane Hutson,MTL,SOG,1.5,130,-166,draftkings,2026-05-25T23:27:53.145168Z,2026-05-25T23:49:50.541466Z,False,id::8483457.0
2026-05-25,8473533.0,Jordan Staal,CAR,ASSISTS,0.5,310,-445,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8473533.0
2026-05-25,8473533.0,Jordan Staal,CAR,ASSISTS,0.5,350,-555,pinnacle,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8473533.0
2026-05-25,8473533.0,Jordan Staal,CAR,POINTS,0.5,175,-230,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8473533.0
2026-05-25,8473533.0,Jordan Staal,CAR,POINTS,0.5,174,-239,pinnacle,2026-05-25T23:27:53.146167Z,2026-05-26T00:29:34.409694Z,True,id::8473533.0
2026-05-25,8473533.0,Jordan Staal,CAR,SOG,1.5,-105,-125,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8473533.0
2026-05-25,8473533.0,Jordan Staal,CAR,SOG,1.5,-105,-127,pinnacle,2026-05-25T23:27:53.146167Z,2026-05-26T00:29:34.409694Z,True,id::8473533.0
2026-05-25,8475791.0,Taylor Hall,CAR,ASSISTS,0.5,175,-230,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8475791.0
2026-05-25,8475791.0,Taylor Hall,CAR,ASSISTS,0.5,182,-251,pinnacle,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8475791.0
2026-05-25,8475791.0,Taylor Hall,CAR,POINTS,0.5,100,-130,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8475791.0
2026-05-25,8475791.0,Taylor Hall,CAR,POINTS,0.5,-101,-131,pinnacle,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8475791.0
2026-05-25,8475791.0,Taylor Hall,CAR,SOG,1.5,-196,146,fanduel,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8475791.0
2026-05-25,8475791.0,Taylor Hall,CAR,SOG,2.5,150,-195,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8475791.0
2026-05-25,8475791.0,Taylor Hall,CAR,SOG,2.5,152,-205,pinnacle,2026-05-25T23:27:53.146167Z,2026-05-26T00:29:34.409694Z,True,id::8475791.0
2026-05-25,8476479.0,Phillip Danault,MTL,ASSISTS,0.5,270,-375,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476479.0
2026-05-25,8476479.0,Phillip Danault,MTL,ASSISTS,0.5,291,-437,pinnacle,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476479.0
2026-05-25,8476479.0,Phillip Danault,MTL,POINTS,0.5,170,-220,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476479.0
2026-05-25,8476479.0,Phillip Danault,MTL,POINTS,0.5,180,-248,pinnacle,2026-05-25T23:27:53.146167Z,2026-05-26T00:29:34.409694Z,True,id::8476479.0
2026-05-25,8476875.0,Mike Matheson,MTL,ASSISTS,0.5,294,-443,pinnacle,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476875.0
2026-05-25,8476875.0,Mike Matheson,MTL,POINTS,0.5,233,-333,pinnacle,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476875.0
2026-05-25,8476875.0,Mike Matheson,MTL,SOG,0.5,-241,176,pinnacle,2026-05-25T23:27:53.146167Z,2026-05-26T00:29:34.409694Z,True,id::8476875.0
2026-05-25,8476906.0,Shayne Gostisbehere,CAR,ASSISTS,0.5,185,-245,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476906.0
2026-05-25,8476906.0,Shayne Gostisbehere,CAR,ASSISTS,0.5,163,-223,pinnacle,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476906.0
2026-05-25,8476906.0,Shayne Gostisbehere,CAR,POINTS,0.5,135,-175,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476906.0
2026-05-25,8476906.0,Shayne Gostisbehere,CAR,POINTS,0.5,113,-151,pinnacle,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476906.0
2026-05-25,8476906.0,Shayne Gostisbehere,CAR,SOG,1.5,-130,100,fanduel,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476906.0
2026-05-25,8476906.0,Shayne Gostisbehere,CAR,SOG,1.5,-151,113,pinnacle,2026-05-25T23:27:53.146167Z,2026-05-26T00:29:34.409694Z,True,id::8476906.0
2026-05-25,8476921.0,Jordan Martinook,CAR,ASSISTS,0.5,340,-500,draftkings,2026-05-25T23:27:53.145168Z,2026-05-26T00:29:34.409694Z,True,id::8476921.0
