league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
eredivisie,322717,Makan Aiko,Fortuna Sittard,Substitute,False,13,3,458.3,2.3565,0.3927,0.3927,0.25,0.1498,espn_true_per90
eredivisie,255740,Jari De Busser,Go Ahead Eagles,Goalkeeper,True,34,34,3060.0,0.0,0.0,0.0,,1.0,espn_true_per90
eredivisie,218424,Joris Kramer,Go Ahead Eagles,Center Left Defender,False,34,34,3015.0,0.4776,0.0299,0.0896,0.3125,0.9853,espn_true_per90
eredivisie,153764,Gerrit Nauber,Go Ahead Eagles,Center Right Defender,False,9,9,798.8,0.7887,0.2253,0.0,0.5714,0.2611,espn_true_per90
eredivisie,304868,Dean James,Go Ahead Eagles,Left Back,False,26,18,1619.5,0.389,0.0556,0.0556,0.5714,0.5292,espn_true_per90
eredivisie,218529,Mats Deijl,Feyenoord Rotterdam,Right Back,False,33,32,2811.0,0.5443,0.032,0.1601,0.5882,0.9186,espn_true_per90
eredivisie,313972,Victor Edvardsen,Go Ahead Eagles,Attacking Midfielder,False,26,22,1996.1,1.4428,0.1804,0.3156,0.4062,0.6523,espn_true_per90
eredivisie,272716,Evert Linthorst,Go Ahead Eagles,Left Midfielder,False,29,16,1485.9,0.4846,0.0606,0.1211,0.5,0.4856,espn_true_per90
eredivisie,307375,Calvin Twigt,Go Ahead Eagles,Right Midfielder,False,12,6,530.8,0.3391,0.0,0.0,0.5,0.1735,espn_true_per90
eredivisie,338861,Milan Smit,Go Ahead Eagles,Forward,False,19,14,1362.2,1.7178,0.3964,0.1321,0.5,0.4452,espn_true_per90
eredivisie,308091,Mathis Suray,Go Ahead Eagles,Attacking Midfielder Left,False,32,32,2595.7,2.1844,0.4161,0.0693,0.4921,0.8483,espn_true_per90
eredivisie,285014,Richonell Margaret,Go Ahead Eagles,Attacking Midfielder Right,False,22,13,1028.0,1.4008,0.0875,0.1751,0.25,0.336,espn_true_per90
eredivisie,312142,Julius Dirksen,Go Ahead Eagles,Substitute,False,18,14,1161.2,0.3875,0.155,0.0,0.4,0.3795,espn_true_per90
eredivisie,258453,Melle Meulensteen,Go Ahead Eagles,Substitute,False,34,33,2828.9,1.3044,0.1909,0.0318,0.4634,0.9245,espn_true_per90
eredivisie,406247,Yassir Rahmouni,Go Ahead Eagles,Substitute,False,20,7,779.9,0.3462,0.0,0.0,0.0,0.2549,espn_true_per90
eredivisie,286808,Oscar Pettersson,Go Ahead Eagles,Substitute,False,5,1,157.5,2.2857,0.0,0.5714,0.5,0.0515,espn_true_per90
eredivisie,195502,Finn Stokkers,Go Ahead Eagles,Substitute,False,19,0,276.3,4.2341,0.3257,0.0,0.1538,0.0903,espn_true_per90
