count,wins,losses,pushes,acc,stake,pnl,roi,week
50,10,40,0,0.2,625.0,25.0,0.04,1
4,4,0,0,1.0,200.0,181.8,0.909,3
2,2,0,0,1.0,100.0,90.9,0.909,4
1708,308,1400,0,0.18032786885245902,21650.0,-733.38,-0.0338743648960739,5
4,4,0,0,1.0,200.0,181.8,0.909,6
8,6,2,0,0.75,400.0,172.70000000000002,0.43175,7
4,4,0,0,1.0,200.0,181.8,0.909,8
6,6,0,0,1.0,300.0,272.7,0.9089999999999999,9
6,6,0,0,1.0,300.0,272.7,0.9089999999999999,11
4,4,0,0,1.0,50.0,165.0,3.3,12
4,4,0,0,1.0,200.0,181.8,0.909,14
