league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
epl,2025,understat_8260,Erling Haaland,Manchester City,F S,2979.0,35,3.7764,0.8699,0.1664,0.8157,0.2417,0.7553,0.9457,False,understat
epl,2025,understat_13222,Thiago,Brentford,F S,3292.0,38,2.2965,0.675,0.0943,0.6015,0.0273,0.6561,0.9626,False,understat
epl,2025,understat_11363,Antoine Semenyo,"Bournemouth,Manchester City",F M,3220.0,37,2.3199,0.3588,0.1154,0.4752,0.1118,1.0621,0.967,False,understat
epl,2025,understat_8865,Ollie Watkins,Aston Villa,F S,2908.0,37,2.5688,0.5827,0.0872,0.4952,0.0928,0.7118,0.8733,False,understat
epl,2025,understat_6857,Morgan Gibbs-White,Nottingham Forest,F M S,3142.0,37,2.3775,0.3343,0.129,0.4297,0.1146,1.3749,0.9435,False,understat
epl,2025,understat_8272,João Pedro,Chelsea,F M S,2698.0,35,2.4351,0.5245,0.1329,0.5004,0.1668,0.9674,0.8565,False,understat
epl,2025,understat_5555,Dominic Calvert-Lewin,Leeds,F S,2732.0,35,2.4048,0.6151,0.0509,0.4612,0.0329,0.6589,0.8673,False,understat
epl,2025,understat_7254,Viktor Gyokeres,Arsenal,F S,2255.0,36,2.1951,0.5536,0.1059,0.5588,0.0399,0.7982,0.696,False,understat
epl,2025,understat_501,Danny Welbeck,Brighton,F S,2286.0,37,2.2047,0.5007,0.0891,0.5118,0.0394,0.7874,0.6865,False,understat
epl,2025,understat_11504,Eli Junior Kroupi,Bournemouth,F M S,1708.0,33,2.74,0.4663,0.0957,0.685,0.0,1.1593,0.5751,False,understat
epl,2025,understat_5735,Jean-Philippe Mateta,Crystal Palace,F S,2225.0,32,2.5483,0.6463,0.0505,0.4854,0.0,0.364,0.7726,False,understat
epl,2025,understat_6026,Richarlison,Tottenham,F M S,1926.0,32,2.8505,0.461,0.1593,0.514,0.1869,0.8879,0.6687,False,understat
epl,2025,understat_6552,Bryan Mbeumo,Manchester United,F M S,2676.0,33,2.4552,0.4476,0.1712,0.37,0.1009,1.5135,0.901,False,understat
epl,2025,understat_8995,Hugo Ekitike,Liverpool,F S,1835.0,28,3.188,0.5852,0.1222,0.5395,0.1962,1.03,0.7282,False,understat
epl,2025,understat_11974,Benjamin Sesko,Manchester United,F S,1636.0,30,3.3557,0.6879,0.0329,0.6051,0.055,0.4951,0.6059,False,understat
epl,2025,understat_13729,Zian Flemming,Burnley,F S,1795.0,29,2.6072,0.4791,0.0343,0.5515,0.0,0.5014,0.6877,False,understat
epl,2025,understat_5596,Harry Wilson,Fulham,M S,2751.0,36,2.5518,0.1884,0.1801,0.3272,0.229,1.2105,0.8491,False,understat
epl,2025,understat_7080,Matheus Cunha,Manchester United,F M S,2506.0,33,3.2322,0.2541,0.1328,0.3591,0.0718,1.1852,0.8438,False,understat
epl,2025,understat_8497,Cole Palmer,Chelsea,F M S,2007.0,26,2.87,0.46,0.0952,0.4484,0.0448,1.0762,0.8577,False,understat
epl,2025,understat_11356,Enzo Fernández,Chelsea,M S,3149.0,36,2.0578,0.3406,0.2534,0.2858,0.1143,1.9435,0.9719,False,understat
