date,player_id,player_name,team,home_team,away_team,market,market_type,entity,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current,market_id,_merge_key
2026-06-14,,Alexander Nikishin,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,alexander_nikishin,0.5,424,-726,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:alexander_nikishin:0.5,name::alexander nikishin
2026-06-14,,Alexander Nikishin,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,alexander_nikishin,0.5,337,-528,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:alexander_nikishin:0.5,name::alexander nikishin
2026-06-14,,Alexander Nikishin,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,alexander_nikishin,0.5,-195,145,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:alexander_nikishin:0.5,name::alexander nikishin
2026-06-14,,Andrei Svechnikov,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,andrei_svechnikov,0.5,151,-204,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:andrei_svechnikov:0.5,name::andrei svechnikov
2026-06-14,,Andrei Svechnikov,,Vegas Golden Knights,Carolina Hurricanes,GOALS,goals,andrei_svechnikov,0.5,260,-390,fanduel,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:goals:andrei_svechnikov:0.5,name::andrei svechnikov
2026-06-14,,Andrei Svechnikov,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,andrei_svechnikov,0.5,-154,115,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:andrei_svechnikov:0.5,name::andrei svechnikov
2026-06-14,,Andrei Svechnikov,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,andrei_svechnikov,2.5,100,-132,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:andrei_svechnikov:2.5,name::andrei svechnikov
2026-06-14,,Brayden McNabb,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,brayden_mcnabb,0.5,265,-389,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:brayden_mcnabb:0.5,name::brayden mcnabb
2026-06-14,,Brayden McNabb,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,brayden_mcnabb,0.5,210,-296,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:brayden_mcnabb:0.5,name::brayden mcnabb
2026-06-14,,Brett Howden,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,brett_howden,0.5,210,-280,draftkings,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:brett_howden:0.5,name::brett howden
2026-06-14,,Brett Howden,,Vegas Golden Knights,Carolina Hurricanes,GOALS,goals,brett_howden,0.5,240,-350,fanduel,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:goals:brett_howden:0.5,name::brett howden
2026-06-14,,Brett Howden,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,brett_howden,0.5,100,-130,draftkings,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:brett_howden:0.5,name::brett howden
2026-06-14,,Brett Howden,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,brett_howden,1.5,-135,104,fanduel,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:brett_howden:1.5,name::brett howden
2026-06-14,,Colton Sissons,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,colton_sissons,0.5,426,-732,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:colton_sissons:0.5,name::colton sissons
2026-06-14,,Colton Sissons,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,colton_sissons,0.5,265,-389,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:colton_sissons:0.5,name::colton sissons
2026-06-14,,Eric Robinson,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,eric_robinson,0.5,320,-494,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:eric_robinson:0.5,name::eric robinson
2026-06-14,,Eric Robinson,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,eric_robinson,0.5,-230,168,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:eric_robinson:0.5,name::eric robinson
2026-06-14,,Ivan Barbashev,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,ivan_barbashev,0.5,201,-281,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:ivan_barbashev:0.5,name::ivan barbashev
2026-06-14,,Ivan Barbashev,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,ivan_barbashev,0.5,109,-145,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:ivan_barbashev:0.5,name::ivan barbashev
2026-06-14,,Ivan Barbashev,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,ivan_barbashev,1.5,100,-132,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:ivan_barbashev:1.5,name::ivan barbashev
2026-06-14,,Jaccob Slavin,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,jaccob_slavin,0.5,299,-453,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:jaccob_slavin:0.5,name::jaccob slavin
2026-06-14,,Jaccob Slavin,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,jaccob_slavin,0.5,230,-329,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:jaccob_slavin:0.5,name::jaccob slavin
2026-06-14,,Jaccob Slavin,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,jaccob_slavin,1.5,159,-216,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:jaccob_slavin:1.5,name::jaccob slavin
2026-06-14,,Jack Eichel,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,jack_eichel,0.5,-137,103,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:jack_eichel:0.5,name::jack eichel
2026-06-14,,Jack Eichel,,Vegas Golden Knights,Carolina Hurricanes,GOALS,goals,jack_eichel,0.5,220,-310,fanduel,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:goals:jack_eichel:0.5,name::jack eichel
2026-06-14,,Jack Eichel,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,jack_eichel,0.5,-265,191,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:jack_eichel:0.5,name::jack eichel
2026-06-14,,Jack Eichel,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,jack_eichel,1.5,180,-238,draftkings,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:jack_eichel:1.5,name::jack eichel
2026-06-14,,Jack Eichel,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,jack_eichel,2.5,-121,-109,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:jack_eichel:2.5,name::jack eichel
2026-06-14,,Jackson Blake,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,jackson_blake,0.5,156,-211,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:jackson_blake:0.5,name::jackson blake
2026-06-14,,Jackson Blake,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,jackson_blake,0.5,-117,-113,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:jackson_blake:0.5,name::jackson blake
2026-06-14,,Jackson Blake,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,jackson_blake,1.5,-205,154,fanduel,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:jackson_blake:1.5,name::jackson blake
2026-06-14,,Jackson Blake,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,jackson_blake,2.5,154,-208,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:jackson_blake:2.5,name::jackson blake
2026-06-14,,Jalen Chatfield,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,jalen_chatfield,0.5,336,-527,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:jalen_chatfield:0.5,name::jalen chatfield
2026-06-14,,Jalen Chatfield,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,jalen_chatfield,0.5,261,-383,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:jalen_chatfield:0.5,name::jalen chatfield
2026-06-14,,Jalen Chatfield,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,jalen_chatfield,1.5,145,-195,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:jalen_chatfield:1.5,name::jalen chatfield
2026-06-14,,Jordan Martinook,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,jordan_martinook,0.5,329,-512,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:jordan_martinook:0.5,name::jordan martinook
2026-06-14,,Jordan Martinook,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,jordan_martinook,0.5,206,-289,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:jordan_martinook:0.5,name::jordan martinook
2026-06-14,,Jordan Martinook,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,jordan_martinook,1.5,102,-136,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:jordan_martinook:1.5,name::jordan martinook
2026-06-14,,Jordan Staal,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,jordan_staal,0.5,258,-377,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:jordan_staal:0.5,name::jordan staal
2026-06-14,,Jordan Staal,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,jordan_staal,0.5,116,-154,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:jordan_staal:0.5,name::jordan staal
2026-06-14,,Jordan Staal,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,jordan_staal,1.5,-159,119,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:jordan_staal:1.5,name::jordan staal
2026-06-14,,K'Andre Miller,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,k_andre_miller,0.5,219,-311,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:k_andre_miller:0.5,name::k'andre miller
2026-06-14,,K'Andre Miller,,Vegas Golden Knights,Carolina Hurricanes,POINTS,points,k_andre_miller,0.5,173,-237,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:points:k_andre_miller:0.5,name::k'andre miller
2026-06-14,,K'Andre Miller,,Vegas Golden Knights,Carolina Hurricanes,SOG,sog,k_andre_miller,1.5,150,-203,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:sog:k_andre_miller:1.5,name::k'andre miller
2026-06-14,,Logan Stankoven,,Vegas Golden Knights,Carolina Hurricanes,ASSISTS,assists,logan_stankoven,0.5,219,-311,pinnacle,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:assists:logan_stankoven:0.5,name::logan stankoven
2026-06-14,,Logan Stankoven,,Vegas Golden Knights,Carolina Hurricanes,GOALS,goals,logan_stankoven,0.5,230,-330,fanduel,2026-06-14T08:08:40Z,2026-06-14T08:08:40Z,True,NHL:2026-06-14:CAR@VGK:goals:logan_stankoven:0.5,name::logan stankoven
