league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
la_liga,2024,understat_3423,Kylian Mbappe-Lottin,Real Madrid,F,2938.0,34,4.9319,0.9231,0.2878,0.9496,0.0919,1.5623,0.9601,False,understat
la_liga,2024,understat_227,Robert Lewandowski,Barcelona,F S,2716.0,34,3.8108,0.9747,0.082,0.8947,0.0663,0.5965,0.8876,False,understat
la_liga,2024,understat_1235,Ante Budimir,Osasuna,F S,3008.0,38,2.9621,0.6184,0.0562,0.6283,0.1197,0.4787,0.8795,False,understat
la_liga,2024,understat_6531,Alexander Sørloth,Atletico Madrid,F S,1525.0,35,4.6623,1.2072,0.077,1.1803,0.118,0.7672,0.4841,False,understat
la_liga,2024,understat_770,Ayoze Pérez,Villarreal,F S,1987.0,30,3.3971,0.6897,0.1417,0.8606,0.0906,1.4494,0.7359,False,understat
la_liga,2024,understat_8026,Raphinha,Barcelona,F M S,2862.0,36,3.5849,0.6058,0.4254,0.566,0.3145,2.8616,0.8833,False,understat
la_liga,2024,understat_10846,Julián Álvarez,Atletico Madrid,F M S,2543.0,37,2.5482,0.5011,0.2286,0.6017,0.1416,1.451,0.7637,False,understat
la_liga,2024,understat_7779,Oihan Sancet,Athletic Club,F M S,1645.0,29,2.7356,0.5722,0.1016,0.8207,0.0547,1.1489,0.6303,False,understat
la_liga,2024,understat_5074,Kike García,Alaves,F S,2571.0,35,2.2054,0.375,0.0267,0.4551,0.0,0.4551,0.8162,False,understat
la_liga,2024,understat_6933,Javi Puado,Espanyol,F M,3023.0,35,2.1138,0.3556,0.0884,0.3573,0.1191,0.655,0.9597,False,understat
la_liga,2024,understat_1709,Cristhian Stuani,Girona,F S,998.0,32,3.0661,0.7858,0.0387,0.992,0.1804,0.6313,0.3465,False,understat
la_liga,2024,understat_2543,Borja Iglesias,Celta Vigo,F S,1968.0,37,2.1037,0.5283,0.1453,0.503,0.1372,0.8232,0.591,False,understat
la_liga,2024,understat_5706,Dodi Lukebakio,Sevilla,F M S,3117.0,38,2.7141,0.2669,0.1557,0.3176,0.0577,1.5592,0.9114,False,understat
la_liga,2024,understat_6637,Hugo Duro,Valencia,F S,2180.0,31,1.9817,0.4528,0.0599,0.4541,0.0826,0.5367,0.7814,False,understat
la_liga,2024,understat_7008,Vinícius Júnior,Real Madrid,F M S,2267.0,30,3.2157,0.5072,0.343,0.4367,0.3176,2.3026,0.8396,False,understat
la_liga,2024,understat_12916,Thierno Barry,Villarreal,F S,2322.0,35,2.8295,0.5837,0.1421,0.4264,0.155,0.9302,0.7371,False,understat
la_liga,2024,understat_2290,Iago Aspas,Celta Vigo,F M S,1751.0,30,2.6728,0.4251,0.2479,0.514,0.257,1.9532,0.6485,False,understat
