market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Las Vegas Aces,Golden State Valkyries,Las Vegas Aces,2026-05-31,0.05375,-110.0,0.52381,5.375,3.0,2.375,3.0,,High
TOTAL,Under,Golden State Valkyries,Las Vegas Aces,2026-05-31,0.034858,-110.0,0.52381,-3.485771,168.5,,,165.014229,Medium
