player,team,plays,ladders,sim_ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Dearica Hamby,LAS,"[{'market': 'ast', 'side': 'OVER', 'line': 1.5, 'price': -112.0, 'edge': 0.06726039713234733, 'ev': 0.12731432314337177, 'ev_pct': 12.731432314337177, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 24.5, 'price': -105.0, 'edge': 0.05320329968060111, 'ev': 0.10387310890022117, 'ev_pct': 10.387310890022118, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': 108.0, 'edge': 0.028687604851415693, 'ev': 0.05967021809094475, 'ev_pct': 5.967021809094475, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': -125.0, 'edge': 0.01746965613346696, 'ev': 0.03144538104024058, 'ev_pct': 3.1445381040240585, 'book': 'draftkings'}]",[],[],"{'pts': 19.75, 'reb': 8.44, 'ast': 3.49, 'threes': 1.1999999999999995, 'stl': 0.7332599999999999, 'blk': 0.5999399999999999, 'tov': 1.9998, 'pra': 31.68, 'pr': 28.189999999999998, 'pa': 23.240000000000002, 'ra': 11.93}","[{'market': 'ast', 'side': 'OVER', 'line': 1.5, 'price': -112.0, 'edge': 0.06726039713234733, 'ev': 0.12731432314337177, 'ev_pct': 12.731432314337177, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 24.5, 'price': -105.0, 'edge': 0.05320329968060111, 'ev': 0.10387310890022117, 'ev_pct': 10.387310890022118, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': 108.0, 'edge': 0.028687604851415693, 'ev': 0.05967021809094475, 'ev_pct': 5.967021809094475, 'book': 'fanduel'}]","{'market': 'ast', 'side': 'OVER', 'line': 1.5, 'price': -112.0, 'edge': 0.06726039713234733, 'ev': 0.12731432314337177, 'ev_pct': 12.731432314337177, 'book': 'fanduel'}",model 3.5 vs line 1.5 (+2.0),3.49,"['EV 12.7%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Natisha Hiedeman,SEA,"[{'market': 'ast', 'side': 'OVER', 'line': 4.5, 'price': 110.0, 'edge': 0.03290307317800012, 'ev': 0.06909645367380024, 'ev_pct': 6.909645367380024, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 4.5, 'price': 104.0, 'edge': 0.03080223284186573, 'ev': 0.06283655499740604, 'ev_pct': 6.283655499740604, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 15.5, 'price': -115.0, 'edge': 0.09360220528175212, 'ev': 0.17499542726588424, 'ev_pct': 17.499542726588423, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 10.5, 'price': -115.0, 'edge': 0.17340055305313073, 'ev': 0.3241836426645487, 'ev_pct': 32.418364266454866, 'book': 'draftkings'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 110.0, 'edge': 0.4415450819356369, 'ev': 0.9272446720648375, 'ev_pct': 92.72446720648375, 'book': 'draftkings'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 102.0, 'edge': 0.422686053175618, 'ev': 0.8538258274147484, 'ev_pct': 85.38258274147485, 'book': 'fanduel'}]",[],[],"{'pts': 18.96, 'reb': 1.2799999999999998, 'ast': 5.159999999999999, 'threes': 2.89, 'stl': 0.6120399999999999, 'blk': 0.5007599999999999, 'tov': 1.6691999999999998, 'pra': 25.4, 'pr': 20.240000000000002, 'pa': 24.12, 'ra': 6.4399999999999995}","[{'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 110.0, 'edge': 0.4415450819356369, 'ev': 0.9272446720648375, 'ev_pct': 92.72446720648375, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 10.5, 'price': -115.0, 'edge': 0.17340055305313073, 'ev': 0.3241836426645487, 'ev_pct': 32.418364266454866, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 15.5, 'price': -115.0, 'edge': 0.09360220528175212, 'ev': 0.17499542726588424, 'ev_pct': 17.499542726588423, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 4.5, 'price': 110.0, 'edge': 0.03290307317800012, 'ev': 0.06909645367380024, 'ev_pct': 6.909645367380024, 'book': 'draftkings'}]","{'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 110.0, 'edge': 0.4415450819356369, 'ev': 0.9272446720648375, 'ev_pct': 92.72446720648375, 'book': 'draftkings'}",model 2.9 vs line 1.5 (+1.4),2.89,"['EV 92.7%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Nneka Ogwumike,LAS,"[{'market': 'pr', 'side': 'UNDER', 'line': 28.5, 'price': -120.0, 'edge': 0.0944818375599743, 'ev': 0.17321670219328622, 'ev_pct': 17.321670219328624, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': 100.0, 'edge': 0.1078, 'ev': 0.2156, 'ev_pct': 21.560000000000002, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 13.5, 'price': -125.0, 'edge': 0.0651666666666667, 'ev': 0.11730000000000013, 'ev_pct': 11.730000000000013, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 13.5, 'price': -150.0, 'edge': 0.058499999999999996, 'ev': 0.09749999999999992, 'ev_pct': 9.749999999999993, 'book': 'draftkings'}]",[],[],"{'pts': 14.48, 'reb': 6.29, 'ast': 2.31, 'threes': 1.89, 'stl': 0.6870599999999999, 'blk': 0.5621399999999999, 'tov': 1.8738, 'pra': 23.08, 'pr': 20.77, 'pa': 16.79, 'ra': 8.6}","[{'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': 100.0, 'edge': 0.1078, 'ev': 0.2156, 'ev_pct': 21.560000000000002, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 28.5, 'price': -120.0, 'edge': 0.0944818375599743, 'ev': 0.17321670219328622, 'ev_pct': 17.321670219328624, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 13.5, 'price': -125.0, 'edge': 0.0651666666666667, 'ev': 0.11730000000000013, 'ev_pct': 11.730000000000013, 'book': 'fanduel'}]","{'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': 100.0, 'edge': 0.1078, 'ev': 0.2156, 'ev_pct': 21.560000000000002, 'book': 'draftkings'}",model 8.6 vs line 13.5 (-4.9),8.6,"['EV 21.6%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Ariel Atkins,LAS,"[{'market': 'threes', 'side': 'OVER', 'line': 0.5, 'price': -140.0, 'edge': 0.23525540846958026, 'ev': 0.40329498594785196, 'ev_pct': 40.32949859478519, 'book': 'draftkings'}]",[],[],"{'pts': 9.609999999999998, 'reb': 2.33, 'ast': 2.61, 'threes': 1.41, 'stl': 0.57948, 'blk': 0.47412, 'tov': 1.5804, 'pra': 14.549999999999995, 'pr': 11.939999999999998, 'pa': 12.219999999999997, 'ra': 4.9399999999999995}","[{'market': 'threes', 'side': 'OVER', 'line': 0.5, 'price': -140.0, 'edge': 0.23525540846958026, 'ev': 0.40329498594785196, 'ev_pct': 40.32949859478519, 'book': 'draftkings'}]","{'market': 'threes', 'side': 'OVER', 'line': 0.5, 'price': -140.0, 'edge': 0.23525540846958026, 'ev': 0.40329498594785196, 'ev_pct': 40.32949859478519, 'book': 'draftkings'}",model 1.4 vs line 0.5 (+0.9),1.41,"['EV 40.3%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Rae Burrell,LAS,"[{'market': 'reb', 'side': 'OVER', 'line': 1.5, 'price': -136.0, 'edge': 0.012423877431188002, 'ev': 0.021559081424708637, 'ev_pct': 2.1559081424708637, 'book': 'fanduel'}]",[],[],"{'pts': 9.8, 'reb': 1.91, 'ast': 1.96, 'threes': 1.7, 'stl': 0.5268999999999999, 'blk': 0.4310999999999999, 'tov': 1.4369999999999998, 'pra': 13.669999999999998, 'pr': 11.71, 'pa': 11.760000000000002, 'ra': 3.87}","[{'market': 'reb', 'side': 'OVER', 'line': 1.5, 'price': -136.0, 'edge': 0.012423877431188002, 'ev': 0.021559081424708637, 'ev_pct': 2.1559081424708637, 'book': 'fanduel'}]","{'market': 'reb', 'side': 'OVER', 'line': 1.5, 'price': -136.0, 'edge': 0.012423877431188002, 'ev': 0.021559081424708637, 'ev_pct': 2.1559081424708637, 'book': 'fanduel'}",model 1.9 vs line 1.5 (+0.4),1.91,"['EV 2.2%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Erica Wheeler,LAS,"[{'market': 'pa', 'side': 'UNDER', 'line': 15.5, 'price': -105.0, 'edge': 0.07284461835163536, 'ev': 0.14222044535319278, 'ev_pct': 14.222044535319277, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 120.0, 'edge': 0.07733595395256582, 'ev': 0.1701390986956447, 'ev_pct': 17.01390986956447, 'book': 'fanduel'}]",[],[],"{'pts': 7.62, 'reb': 4.33, 'ast': 5.51, 'threes': 1.42, 'stl': 0.67672, 'blk': 0.55368, 'tov': 1.8456, 'pra': 17.46, 'pr': 11.95, 'pa': 13.129999999999999, 'ra': 9.84}","[{'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 120.0, 'edge': 0.07733595395256582, 'ev': 0.1701390986956447, 'ev_pct': 17.01390986956447, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 15.5, 'price': -105.0, 'edge': 0.07284461835163536, 'ev': 0.14222044535319278, 'ev_pct': 14.222044535319277, 'book': 'draftkings'}]","{'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 120.0, 'edge': 0.07733595395256582, 'ev': 0.1701390986956447, 'ev_pct': 17.01390986956447, 'book': 'fanduel'}",model 1.4 vs line 1.5 (-0.1),1.42,"['EV 17.0%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Awa Fam,SEA,"[{'market': 'pr', 'side': 'UNDER', 'line': 13.5, 'price': -105.0, 'edge': 0.10511707317073171, 'ev': 0.20522857142857143, 'ev_pct': 20.52285714285714, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 9.5, 'price': -105.0, 'edge': 0.2124616676354426, 'ev': 0.4148061130025308, 'ev_pct': 41.48061130025308, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 10.5, 'price': -114.0, 'edge': 0.1922701671598348, 'ev': 0.3609282085281108, 'ev_pct': 36.09282085281108, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': -108.0, 'edge': 0.07061538461538464, 'ev': 0.13600000000000012, 'ev_pct': 13.600000000000012, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': -120.0, 'edge': 0.06668181818181818, 'ev': 0.12224999999999997, 'ev_pct': 12.224999999999998, 'book': 'draftkings'}]",[],[],"{'pts': 5.300000000000001, 'reb': 1.06, 'ast': 0.0, 'threes': 0.0, 'stl': 0.2332, 'blk': 0.1908, 'tov': 0.636, 'pra': 6.360000000000001, 'pr': 6.360000000000001, 'pa': 5.300000000000001, 'ra': 1.06}","[{'market': 'pts', 'side': 'UNDER', 'line': 10.5, 'price': -114.0, 'edge': 0.1922701671598348, 'ev': 0.3609282085281108, 'ev_pct': 36.09282085281108, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 13.5, 'price': -105.0, 'edge': 0.10511707317073171, 'ev': 0.20522857142857143, 'ev_pct': 20.52285714285714, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': -108.0, 'edge': 0.07061538461538464, 'ev': 0.13600000000000012, 'ev_pct': 13.600000000000012, 'book': 'fanduel'}]","{'market': 'pts', 'side': 'UNDER', 'line': 10.5, 'price': -114.0, 'edge': 0.1922701671598348, 'ev': 0.3609282085281108, 'ev_pct': 36.09282085281108, 'book': 'fanduel'}",model 5.3 vs line 10.5 (-5.2),5.300000000000001,"['EV 36.1%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Dominique Malonga,SEA,"[{'market': 'pr', 'side': 'UNDER', 'line': 23.5, 'price': -120.0, 'edge': 0.0978, 'ev': 0.1792999999999999, 'ev_pct': 17.92999999999999, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 12.5, 'price': -106.0, 'edge': 0.18343116095014478, 'ev': 0.3564794259974512, 'ev_pct': 35.64794259974512, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 13.5, 'price': -120.0, 'edge': 0.1589779288610612, 'ev': 0.29145953624527887, 'ev_pct': 29.145953624527888, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': 102.0, 'edge': 0.07424257425742575, 'ev': 0.14997000000000005, 'ev_pct': 14.997000000000005, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 10.5, 'price': -140.0, 'edge': 0.06099999999999994, 'ev': 0.10457142857142854, 'ev_pct': 10.457142857142854, 'book': 'draftkings'}]",[],[],"{'pts': 0.8400000000000001, 'reb': 0.2799999999999999, 'ast': 0.04, 'threes': 0.08, 'stl': 0.176, 'blk': 0.144, 'tov': 0.48, 'pra': 1.16, 'pr': 1.12, 'pa': 0.8800000000000001, 'ra': 0.3199999999999999}","[{'market': 'pts', 'side': 'UNDER', 'line': 13.5, 'price': -120.0, 'edge': 0.1589779288610612, 'ev': 0.29145953624527887, 'ev_pct': 29.145953624527888, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 23.5, 'price': -120.0, 'edge': 0.0978, 'ev': 0.1792999999999999, 'ev_pct': 17.92999999999999, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 10.5, 'price': -140.0, 'edge': 0.06099999999999994, 'ev': 0.10457142857142854, 'ev_pct': 10.457142857142854, 'book': 'draftkings'}]","{'market': 'pts', 'side': 'UNDER', 'line': 13.5, 'price': -120.0, 'edge': 0.1589779288610612, 'ev': 0.29145953624527887, 'ev_pct': 29.145953624527888, 'book': 'draftkings'}",model 0.8 vs line 13.5 (-12.7),0.8400000000000001,"['EV 29.1%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Flau'jae Johnson,SEA,"[{'market': 'pr', 'side': 'UNDER', 'line': 31.5, 'price': -125.0, 'edge': 0.09557777777777776, 'ev': 0.17204000000000008, 'ev_pct': 17.204000000000008, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 23.5, 'price': -118.0, 'edge': 0.17746746467591512, 'ev': 0.3278636211809278, 'ev_pct': 32.78636211809278, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -125.0, 'edge': 0.16635630762778097, 'ev': 0.2994413537300058, 'ev_pct': 29.94413537300058, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 6.5, 'price': -145.0, 'edge': 0.00785671464076132, 'ev': 0.013275138530941533, 'ev_pct': 1.3275138530941533, 'book': 'draftkings'}]",[],[],"{'pts': 15.159999999999998, 'reb': 5.95, 'ast': 2.01, 'threes': 1.9, 'stl': 0.57134, 'blk': 0.4674599999999999, 'tov': 1.5581999999999998, 'pra': 23.12, 'pr': 21.11, 'pa': 17.169999999999998, 'ra': 7.96}","[{'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -125.0, 'edge': 0.16635630762778097, 'ev': 0.2994413537300058, 'ev_pct': 29.94413537300058, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 31.5, 'price': -125.0, 'edge': 0.09557777777777776, 'ev': 0.17204000000000008, 'ev_pct': 17.204000000000008, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 6.5, 'price': -145.0, 'edge': 0.00785671464076132, 'ev': 0.013275138530941533, 'ev_pct': 1.3275138530941533, 'book': 'draftkings'}]","{'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -125.0, 'edge': 0.16635630762778097, 'ev': 0.2994413537300058, 'ev_pct': 29.94413537300058, 'book': 'draftkings'}",model 15.2 vs line 24.5 (-9.3),15.159999999999998,"['EV 29.9%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Zia Cooke,SEA,"[{'market': 'pts', 'side': 'OVER', 'line': 5.5, 'price': -118.0, 'edge': 0.18050761277063876, 'ev': 0.3334801659660953, 'ev_pct': 33.34801659660953, 'book': 'fanduel'}]",[],[],"{'pts': 14.2, 'reb': 2.53, 'ast': 1.69, 'threes': 1.74, 'stl': 0.4254799999999999, 'blk': 0.34812, 'tov': 1.1604, 'pra': 18.42, 'pr': 16.73, 'pa': 15.889999999999999, 'ra': 4.22}","[{'market': 'pts', 'side': 'OVER', 'line': 5.5, 'price': -118.0, 'edge': 0.18050761277063876, 'ev': 0.3334801659660953, 'ev_pct': 33.34801659660953, 'book': 'fanduel'}]","{'market': 'pts', 'side': 'OVER', 'line': 5.5, 'price': -118.0, 'edge': 0.18050761277063876, 'ev': 0.3334801659660953, 'ev_pct': 33.34801659660953, 'book': 'fanduel'}",model 14.2 vs line 5.5 (+8.7),14.2,"['EV 33.3%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
