date,game_id,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,total,bookmaker,home_tri,away_tri
2026-06-15,1,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanduel,DAL,LVA
2026-06-15,2,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanduel,DAL,LVA
2026-06-15,3,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanduel,DAL,LVA
2026-06-15,4,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanduel,DAL,LVA
2026-06-15,5,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanduel,DAL,LVA
2026-06-15,6,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanduel,DAL,LVA
2026-06-15,7,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,mybookieag,DAL,LVA
2026-06-15,8,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,mybookieag,DAL,LVA
2026-06-15,9,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,mybookieag,DAL,LVA
2026-06-15,10,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,mybookieag,DAL,LVA
2026-06-15,11,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,mybookieag,DAL,LVA
2026-06-15,12,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,mybookieag,DAL,LVA
2026-06-15,13,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,draftkings,DAL,LVA
2026-06-15,14,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,draftkings,DAL,LVA
2026-06-15,15,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,draftkings,DAL,LVA
2026-06-15,16,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,draftkings,DAL,LVA
2026-06-15,17,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,draftkings,DAL,LVA
2026-06-15,18,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,draftkings,DAL,LVA
2026-06-15,19,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,williamhill_us,DAL,LVA
2026-06-15,20,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,williamhill_us,DAL,LVA
2026-06-15,21,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,williamhill_us,DAL,LVA
2026-06-15,22,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,williamhill_us,DAL,LVA
2026-06-15,23,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,williamhill_us,DAL,LVA
2026-06-15,24,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,williamhill_us,DAL,LVA
2026-06-15,25,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanatics,DAL,LVA
2026-06-15,26,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanatics,DAL,LVA
2026-06-15,27,Dallas Wings,Las Vegas Aces,2026-06-16T00:00:00Z,,,,,,fanatics,DAL,LVA
