date,game_id,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,total,bookmaker,home_tri,away_tri
2026-06-09,1,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,draftkings,CHI,ATL
2026-06-09,2,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,draftkings,CHI,ATL
2026-06-09,3,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,draftkings,CHI,ATL
2026-06-09,4,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,draftkings,CHI,ATL
2026-06-09,5,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,draftkings,CHI,ATL
2026-06-09,6,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,draftkings,CHI,ATL
2026-06-09,7,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,mybookieag,CHI,ATL
2026-06-09,8,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,mybookieag,CHI,ATL
2026-06-09,9,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,mybookieag,CHI,ATL
2026-06-09,10,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,mybookieag,CHI,ATL
2026-06-09,11,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,mybookieag,CHI,ATL
2026-06-09,12,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,mybookieag,CHI,ATL
2026-06-09,13,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanduel,CHI,ATL
2026-06-09,14,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanduel,CHI,ATL
2026-06-09,15,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanduel,CHI,ATL
2026-06-09,16,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanduel,CHI,ATL
2026-06-09,17,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanduel,CHI,ATL
2026-06-09,18,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanduel,CHI,ATL
2026-06-09,19,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanatics,CHI,ATL
2026-06-09,20,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanatics,CHI,ATL
2026-06-09,21,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanatics,CHI,ATL
2026-06-09,22,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanatics,CHI,ATL
2026-06-09,23,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanatics,CHI,ATL
2026-06-09,24,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,fanatics,CHI,ATL
2026-06-09,25,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betrivers,CHI,ATL
2026-06-09,26,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betrivers,CHI,ATL
2026-06-09,27,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betrivers,CHI,ATL
2026-06-09,28,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betrivers,CHI,ATL
2026-06-09,29,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betrivers,CHI,ATL
2026-06-09,30,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betrivers,CHI,ATL
2026-06-09,31,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,lowvig,CHI,ATL
2026-06-09,32,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,lowvig,CHI,ATL
2026-06-09,33,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,lowvig,CHI,ATL
2026-06-09,34,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,lowvig,CHI,ATL
2026-06-09,35,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,lowvig,CHI,ATL
2026-06-09,36,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,lowvig,CHI,ATL
2026-06-09,37,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betonlineag,CHI,ATL
2026-06-09,38,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betonlineag,CHI,ATL
2026-06-09,39,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betonlineag,CHI,ATL
2026-06-09,40,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betonlineag,CHI,ATL
2026-06-09,41,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betonlineag,CHI,ATL
2026-06-09,42,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betonlineag,CHI,ATL
2026-06-09,43,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,williamhill_us,CHI,ATL
2026-06-09,44,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,williamhill_us,CHI,ATL
2026-06-09,45,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,williamhill_us,CHI,ATL
2026-06-09,46,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,williamhill_us,CHI,ATL
2026-06-09,47,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,williamhill_us,CHI,ATL
2026-06-09,48,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,williamhill_us,CHI,ATL
2026-06-09,49,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,bovada,CHI,ATL
2026-06-09,50,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,bovada,CHI,ATL
2026-06-09,51,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,bovada,CHI,ATL
2026-06-09,52,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,bovada,CHI,ATL
2026-06-09,53,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,bovada,CHI,ATL
2026-06-09,54,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,bovada,CHI,ATL
2026-06-09,55,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betus,CHI,ATL
2026-06-09,56,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betus,CHI,ATL
2026-06-09,57,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betus,CHI,ATL
2026-06-09,58,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betus,CHI,ATL
2026-06-09,59,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betus,CHI,ATL
2026-06-09,60,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betus,CHI,ATL
2026-06-09,61,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betmgm,CHI,ATL
2026-06-09,62,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betmgm,CHI,ATL
2026-06-09,63,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betmgm,CHI,ATL
2026-06-09,64,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betmgm,CHI,ATL
2026-06-09,65,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betmgm,CHI,ATL
2026-06-09,66,Chicago Sky,Atlanta Dream,2026-06-09T23:10:00Z,,,,,,betmgm,CHI,ATL
2026-06-09,67,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,draftkings,MIN,DAL
2026-06-09,68,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,draftkings,MIN,DAL
2026-06-09,69,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,draftkings,MIN,DAL
2026-06-09,70,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,draftkings,MIN,DAL
2026-06-09,71,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,draftkings,MIN,DAL
2026-06-09,72,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,draftkings,MIN,DAL
2026-06-09,73,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,fanduel,MIN,DAL
2026-06-09,74,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,fanduel,MIN,DAL
2026-06-09,75,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,fanduel,MIN,DAL
2026-06-09,76,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,fanduel,MIN,DAL
2026-06-09,77,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,fanduel,MIN,DAL
2026-06-09,78,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,fanduel,MIN,DAL
2026-06-09,79,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,mybookieag,MIN,DAL
2026-06-09,80,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,mybookieag,MIN,DAL
2026-06-09,81,Minnesota Lynx,Dallas Wings,2026-06-10T00:10:00Z,,,,,,mybookieag,MIN,DAL
