date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,expected_value,edge_pct,model_probability,market_probability
2026-06-18,2026-06-18T20:35:20.940033+00:00,3142250,Jordin Canada,ATL,ast,OVER,6.5,-101,0.5024875621890548,0.5480548756626382,0.8062696520129446,0.04556731347358345,0.09068346542762651,draftkings,DraftKings,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.09068346542762651,4.556731347358345,0.5480548756626382,0.5024875621890548
2026-06-18,2026-06-18T20:35:20.940033+00:00,3142250,Jordin Canada,ATL,ast,OVER,6.5,-102,0.504950495049505,0.5501483685940209,0.8062696520129446,0.04519787354451599,0.08950951427443365,fanduel,FanDuel,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.08950951427443365,4.519787354451599,0.5501483685940209,0.504950495049505
2026-06-18,2026-06-18T20:35:20.940033+00:00,3142250,Jordin Canada,ATL,ast,OVER,6.5,-106,0.5145631067961165,0.5583190885786408,0.8062696520129446,0.04375598178252427,0.08503520987924529,williamhill_us,Caesars,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.08503520987924529,4.375598178252426,0.5583190885786408,0.5145631067961165
2026-06-18,2026-06-18T20:35:20.940033+00:00,3142250,Jordin Canada,ATL,ast,OVER,6.5,-120,0.5454545454545454,0.5845768114383053,0.8062696520129446,0.039122265983759896,0.07172415430355977,betrivers,BetRivers,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.07172415430355977,3.9122265983759896,0.5845768114383053,0.5454545454545454
2026-06-18,2026-06-18T20:35:20.940033+00:00,4433403,Caitlin Clark,IND,ast,UNDER,8.5,-121,0.5475113122171946,0.5808266824779248,0.7696137806220625,0.03331537026073017,0.06084873411257341,draftkings,DraftKings,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.06084873411257341,3.331537026073017,0.5808266824779248,0.5475113122171946
2026-06-18,2026-06-18T20:35:20.940033+00:00,4432831,Aliyah Boston,IND,ast,UNDER,2.5,117,0.4608294930875576,0.48835138259586963,0.6443087564763046,0.027521889508312025,0.059722500233037046,draftkings,DraftKings,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.059722500233037046,2.7521889508312025,0.48835138259586963,0.4608294930875576
2026-06-18,2026-06-18T20:35:20.940033+00:00,4432831,Aliyah Boston,IND,ast,UNDER,2.5,114,0.4672897196261682,0.4938425751536887,0.6443087564763046,0.026552855527520458,0.056823110828893686,fanduel,FanDuel,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.056823110828893686,2.655285552752046,0.4938425751536887,0.4672897196261682
2026-06-18,2026-06-18T20:35:20.940033+00:00,4433403,Caitlin Clark,IND,ast,UNDER,8.5,-129,0.5633187772925764,0.5942630277919994,0.7696137806220625,0.030944250499422954,0.054932041584246916,williamhill_us,Caesars,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.054932041584246916,3.0944250499422954,0.5942630277919994,0.5633187772925764
2026-06-18,2026-06-18T20:35:20.940033+00:00,4433403,Caitlin Clark,IND,ast,UNDER,8.5,-132,0.5689655172413793,0.5990627567484819,0.7696137806220625,0.030097239507102524,0.05289817852763479,fanduel,FanDuel,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.05289817852763479,3.0097239507102524,0.5990627567484819,0.5689655172413793
2026-06-18,2026-06-18T20:35:20.940033+00:00,4433402,Angel Reese,ATL,ast,OVER,2.5,-146,0.5934959349593496,0.5993515982635402,0.6325336903206205,0.005855663304190628,0.009866391594732127,fanduel,FanDuel,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.009866391594732127,0.5855663304190628,0.5993515982635402,0.5934959349593496
2026-06-18,2026-06-18T20:35:20.940033+00:00,4433402,Angel Reese,ATL,ast,OVER,2.5,-161,0.6168582375478927,0.6192095554638019,0.6325336903206205,0.0023513179159091457,0.003811763826411685,draftkings,DraftKings,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.003811763826411685,0.23513179159091457,0.6192095554638019,0.6168582375478927
2026-06-18,2026-06-18T20:35:20.940033+00:00,3142250,Jordin Canada,ATL,dd,YES,,800,0.1111111111111111,0.1672587170770959,0.1672587170770959,0.05614760596598478,0.5053284536938629,draftkings,DraftKings,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.5053284536938629,5.614760596598478,0.1672587170770959,0.1111111111111111
2026-06-18,2026-06-18T20:35:20.940033+00:00,3142250,Jordin Canada,ATL,dd,YES,,700,0.125,0.1672587170770959,0.1672587170770959,0.042258717077095886,0.3380697366167671,fanduel,FanDuel,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.3380697366167671,4.225871707709588,0.1672587170770959,0.125
2026-06-18,2026-06-18T20:35:20.940033+00:00,3142250,Jordin Canada,ATL,dd,YES,,700,0.125,0.1672587170770959,0.1672587170770959,0.042258717077095886,0.3380697366167671,williamhill_us,Caesars,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.3380697366167671,4.225871707709588,0.1672587170770959,0.125
2026-06-18,2026-06-18T20:35:20.940033+00:00,3142250,Jordin Canada,ATL,dd,YES,,650,0.13333333333333333,0.1672587170770959,0.1672587170770959,0.033925383743762555,0.2544403780782192,fanatics,Fanatics,2026-06-18T23:40:00Z,Indiana Fever,Atlanta Dream,0.2544403780782192,3.3925383743762554,0.1672587170770959,0.13333333333333333
