date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,expected_value,edge_pct,model_probability,market_probability,open_line,open_price,open_snapshot_ts,open_implied_prob,line_move,implied_move,movement_significant,movement_tier
2026-07-08,2026-07-08T16:02:56.421928+00:00,4398935,Veronica Burton,GSV,ast,UNDER,5.5,102,0.495049504950495,0.5622956524727334,0.9433571550987504,0.0672461475222383,0.1358372179949214,fanduel,FanDuel,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,0.1358372179949214,6.724614752223834,0.5622956524727334,0.495049504950495,5.5,102,2026-07-08T16:02:56.421928+00:00,0.49504950495049505,0.0,-5.551115123125783e-17,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,4398935,Veronica Burton,GSV,ast,UNDER,5.5,100,0.5,0.5665035732648125,0.9433571550987504,0.0665035732648124,0.1330071465296249,betonlineag,BetOnline.ag,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,0.1330071465296249,6.650357326481249,0.5665035732648125,0.5,5.5,100,2026-07-08T16:02:56.421928+00:00,0.5,0.0,0.0,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,4398935,Veronica Burton,GSV,ast,UNDER,5.5,-104,0.5098039215686274,0.5748369065981458,0.9433571550987504,0.0650329850295183,0.1275647014040551,williamhill_us,Caesars,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,0.1275647014040551,6.5032985029518375,0.5748369065981458,0.5098039215686274,5.5,-104,2026-07-08T16:02:56.421928+00:00,0.5098039215686274,0.0,0.0,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,4398935,Veronica Burton,GSV,ast,UNDER,5.5,-108,0.5192307692307693,0.5828497271109664,0.9433571550987504,0.0636189578801971,0.1225254003618612,draftkings,DraftKings,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,0.1225254003618612,6.361895788019711,0.5828497271109664,0.5192307692307693,5.5,-108,2026-07-08T16:02:56.421928+00:00,0.5192307692307693,0.0,0.0,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,3146151,Ariel Atkins,LAS,ast,UNDER,2.5,100,0.5,0.5485394544917864,0.823596363278576,0.0485394544917864,0.0970789089835728,betonlineag,BetOnline.ag,2026-07-09T02:00:00Z,Los Angeles Sparks,Indiana Fever,0.0970789089835728,4.853945449178642,0.5485394544917864,0.5,2.5,100,2026-07-08T16:02:56.421928+00:00,0.5,0.0,0.0,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,3142328,Gabby Williams,GSV,ast,UNDER,2.5,-144,0.5901639344262295,0.6378952566445107,0.9083727492147712,0.0477313222182812,0.0808780737587542,fanduel,FanDuel,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,0.0808780737587542,4.773132221828124,0.6378952566445107,0.5901639344262295,2.5,-144,2026-07-08T16:02:56.421928+00:00,0.5901639344262295,0.0,0.0,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,2529205,Kayla McBride,MIN,ast,UNDER,3.5,-161,0.6168582375478927,0.6663535150274674,0.9468267540783906,0.0494952774795747,0.0802376858519813,betonlineag,BetOnline.ag,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,0.0802376858519813,4.949527747957472,0.6663535150274674,0.6168582375478927,3.5,-161,2026-07-08T16:02:56.421928+00:00,0.6168582375478927,0.0,0.0,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,2529205,Kayla McBride,MIN,ast,UNDER,3.5,-162,0.6183206106870229,0.6675965321957281,0.9468267540783906,0.0492759215087051,0.0796931570079059,williamhill_us,Caesars,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,0.0796931570079059,4.927592150870519,0.6675965321957281,0.6183206106870229,3.5,-162,2026-07-08T16:02:56.421928+00:00,0.6183206106870229,0.0,0.0,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,3142328,Gabby Williams,GSV,ast,UNDER,2.5,-147,0.5951417004048583,0.6421263577263452,0.9083727492147712,0.0469846573214869,0.0789470092408657,betonlineag,BetOnline.ag,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,0.0789470092408657,4.698465732148693,0.6421263577263452,0.5951417004048583,2.5,-147,2026-07-08T16:02:56.421928+00:00,0.5951417004048583,0.0,0.0,False,
2026-07-08,2026-07-08T16:02:56.421928+00:00,2529205,Kayla McBride,MIN,ast,UNDER,3.5,-170,0.6296296296296297,0.6772091982969438,0.9468267540783906,0.0475795686673141,0.0755675502363225,draftkings,DraftKings,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,0.0755675502363225,4.7579568667314165,0.6772091982969438,0.6296296296296297,3.5,-170,2026-07-08T16:02:56.421928+00:00,0.6296296296296297,0.0,0.0,False,
