date,game_id,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,total,bookmaker,home_tri,away_tri
2026-07-14,0c2ecfa7d05172b4ecf75b85d53482efe,Connecticut Sun,Portland Fire,2026-07-14T15:10:00Z,,,,,,betmgm,CON,POR
2026-07-14,0d6adc93ae6db516941aa0c9eabe442fd,Toronto Tempo,Washington Mystics,2026-07-14T23:10:00Z,,,,,,betmgm,TOR,WSH
