team,pace,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,ft_rate,fg3a_rate,fg3_pct,ts_pct,ast_per_100
ATL,82.83,99.88630826681036,95.53250897467984,0.476426799006262,0.1670932878267792,0.333333333331746,0.3697270471454845,0.3846153846144302,0.283870967740104,0.5250128051898103,22.332304693799067
CHI,83.32666666666667,100.92854259164125,99.10409894533596,0.4588377723959834,0.1136780344699052,0.2232142857132892,0.3874092009675849,0.3123486682801153,0.2713178294552611,0.5171700455104291,21.80056519979451
CON,82.9325,91.31322840308285,107.55127972392516,0.4508771929816651,0.1532587653256704,0.2680412371124809,0.2385964912276515,0.2824561403503816,0.2857142857125111,0.4826622634315995,21.927189715213974
DAL,81.0,110.2398523983545,104.55390334556296,0.5304659498198379,0.1203807390815784,0.2406015037584939,0.2867383512539664,0.3476702508954343,0.3711340206166436,0.5704964990447402,28.905289052846086
GSV,79.28,104.364326375451,98.90894259177398,0.4691876750687138,0.1060726597717093,0.2765957446793798,0.3025210084025139,0.4285714285702281,0.359477124180657,0.516661722534712,21.472086287772218
IND,87.10666666666667,106.2060624383812,101.13926993702796,0.5271226415081908,0.1564781973708942,0.2421052631566205,0.3278301886784721,0.4033018867915016,0.333333333331384,0.5791903701865578,25.323153677478796
LAS,84.04285714285713,107.02228224154791,111.43444025999412,0.5608407079633609,0.1880634131175193,0.2524752475235026,0.3539823008841726,0.4026548672557463,0.3571428571408948,0.6068147013776735,24.814314652220094
LVA,87.08571428571429,104.83497585801834,101.88138793030744,0.5480167014602338,0.1623874011885495,0.2152466367703352,0.3215031315233371,0.2985386221288131,0.3286713286690303,0.5797790621108166,24.472518023638347
MIN,82.64285714285714,105.7322614468617,95.75923392596484,0.535560344826432,0.1699937616965533,0.3013100436668065,0.3340517241372111,0.2521551724132497,0.3504273504243553,0.5683953400971736,24.1174414539949
NYL,82.11714285714285,108.96854731831202,102.93709207036709,0.5344827586195378,0.1507473218292534,0.2336448598119923,0.3211206896544804,0.4310344827576917,0.34999999999825,0.5901125462642666,27.37289908635998
PHX,82.51714285714286,105.5340610748488,105.6777955158852,0.4914712153507645,0.1365862848528375,0.2386831275710342,0.3923240938157946,0.3496801705749474,0.3231707317053465,0.5554949450864104,21.76316153098355
POR,82.27142857142857,102.6733153263684,109.8843689047961,0.5186813186801787,0.1624943690067532,0.1999999999990909,0.3274725274718078,0.3780219780211472,0.3372093023236209,0.5695789150140527,22.16219959827176
SEA,81.48857142857142,99.96504718612378,100.5908835113594,0.4908045977000211,0.1600784057494935,0.1818181818173553,0.4137931034473246,0.3747126436772995,0.3619631901818285,0.5562038117458613,21.32121635787955
TOR,81.2975,102.0595245369094,108.00940826920647,0.4741697416965421,0.1419671408091548,0.2563176895297606,0.3376383763831408,0.4372693726929201,0.320675105483879,0.5365289468607141,20.47301839512853
WSH,84.51666666666667,100.39196864230784,102.30278512505387,0.4986807387849639,0.178168860446189,0.26881720429963,0.4379947229539894,0.2955145118725712,0.2678571428547512,0.5552605964067834,21.19830413562676
ATLANTA DREAM,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
CHICAGO SKY,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
CONNECTICUT SUN,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
DALLAS WINGS,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
GOLDEN STATE VALKYRIES,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
INDIANA FEVER,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
LAS VEGAS ACES,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
LOS ANGELES SPARKS,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
MINNESOTA LYNX,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
NEW YORK LIBERTY,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
PHOENIX MERCURY,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
SEATTLE STORM,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
WASHINGTON MYSTICS,79.5,101.5,101.5,0.5,0.14,0.27,0.22,0.31,0.33,0.54,18.0
