gamePk,home,away,home_goals,away_goals,gameState
2025020819,Toronto Maple Leafs,Colorado Avalanche,1,4,OFF
2025020820,Seattle Kraken,New Jersey Devils,4,2,OFF
2025020821,Ottawa Senators,Vegas Golden Knights,7,1,OFF
2025020822,Vancouver Canucks,Pittsburgh Penguins,2,3,OFF
2025020823,Chicago Blackhawks,Florida Panthers,1,5,OFF
2025020824,Calgary Flames,Anaheim Ducks,3,4,OFF
