date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,ev_over,chosen_prob,edge_score,edge_drivers,edge_reasons,proj
2026-06-11,Noah Hanifin,VGK,,SOG,0.5,2.0,0.8646647167633873,-210,160,draftkings,Over,-210,0.276409819984048,0.276409819984048,0.8646647167633873,0.7293294335267746,model leans Over · JUICE+,model leans Over · JUICE+,2.0
2026-06-11,Alexander Nikishin,CAR,,SOG,0.5,2.0,0.8646647167633873,-220,170,draftkings,Over,-220,0.25769413347401793,0.25769413347401793,0.8646647167633873,0.7293294335267746,model leans Over · JUICE+,model leans Over · JUICE+,2.0
2026-06-11,Eric Robinson,CAR,,SOG,0.5,2.0,0.8646647167633873,-220,170,draftkings,Over,-220,0.25769413347401793,0.25769413347401793,0.8646647167633873,0.7293294335267746,model leans Over · JUICE+,model leans Over · JUICE+,2.0
2026-06-11,Seth Jarvis,CAR,,SOG,2.5,2.0,0.32332358381693654,-120,-110,draftkings,Under,-110,0.29183679453130296,0.29183679453130296,0.6766764161830634,0.3533528323661268,model leans Under,model leans Under,2.0
2026-06-11,Andrei Svechnikov,CAR,,SOG,2.5,2.0,0.32332358381693654,-110,-120,draftkings,Under,-120,0.24057342966894968,0.24057342966894968,0.6766764161830634,0.3533528323661268,model leans Under,model leans Under,2.0
2026-06-11,Nikolaj Ehlers,CAR,,SOG,2.5,2.0,0.32332358381693654,-110,-120,draftkings,Under,-120,0.24057342966894968,0.24057342966894968,0.6766764161830634,0.3533528323661268,model leans Under,model leans Under,2.0
2026-06-11,Logan Stankoven,CAR,,SOG,2.5,2.0,0.32332358381693654,-105,-125,draftkings,Under,-125,0.2180175491295141,0.2180175491295141,0.6766764161830634,0.3533528323661268,model leans Under,model leans Under,2.0
2026-06-11,Jack Eichel,VGK,,SOG,2.5,2.0,0.32332358381693654,-105,-125,draftkings,Under,-125,0.2180175491295141,0.2180175491295141,0.6766764161830634,0.3533528323661268,model leans Under,model leans Under,2.0
2026-06-11,Mitch Marner,VGK,,ASSISTS,0.5,0.4,0.3296799539643607,-140,110,draftkings,Under,110,0.4076720966748426,0.4076720966748426,0.6703200460356393,0.34064009207127866,model leans Under,model leans Under,0.4
2026-06-11,Jack Eichel,VGK,,ASSISTS,0.5,0.4,0.3296799539643607,-120,-110,draftkings,Under,-110,0.2797019060680388,0.2797019060680388,0.6703200460356393,0.34064009207127866,model leans Under,model leans Under,0.4
2026-06-11,Sebastian Aho,CAR,,ASSISTS,0.5,0.4,0.3296799539643607,-105,-125,draftkings,Under,-125,0.20657608286415086,0.20657608286415086,0.6703200460356393,0.34064009207127866,model leans Under,model leans Under,0.4
2026-06-11,Jaccob Slavin,CAR,,SOG,1.5,2.0,0.5939941502901616,141,-189,pinnacle,Over,141,0.43152590219928944,0.43152590219928944,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,K'Andre Miller,CAR,,SOG,1.5,2.0,0.5939941502901616,130,-166,draftkings,Over,130,0.3661865456673715,0.3661865456673715,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Jalen Chatfield,CAR,,SOG,1.5,2.0,0.5939941502901616,125,-167,pinnacle,Over,125,0.3364868381528635,0.3364868381528635,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Rasmus Andersson,VGK,,SOG,1.5,2.0,0.5939941502901616,124,-165,pinnacle,Over,124,0.33054689664996206,0.33054689664996206,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Ivan Barbashev,VGK,,SOG,1.5,2.0,0.5939941502901616,110,-140,draftkings,Over,110,0.24738771560933936,0.24738771560933936,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Shea Theodore,VGK,,SOG,1.5,2.0,0.5939941502901616,102,-135,pinnacle,Over,102,0.19986818358612635,0.19986818358612635,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Tomas Hertl,VGK,,SOG,1.5,2.0,0.5939941502901616,-105,-125,draftkings,Over,-105,0.15970286485222018,0.15970286485222018,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Shayne Gostisbehere,CAR,,SOG,1.5,2.0,0.5939941502901616,-109,-122,pinnacle,Over,-109,0.1389429120242548,0.1389429120242548,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Jordan Martinook,CAR,,SOG,1.5,2.0,0.5939941502901616,-110,-120,pinnacle,Over,-110,0.13398883237212666,0.13398883237212666,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Brett Howden,VGK,,SOG,1.5,2.0,0.5939941502901616,-128,-104,pinnacle,Over,-128,0.058052080204350265,0.058052080204350265,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Sean Walker,CAR,,SOG,1.5,2.0,0.5939941502901616,-130,100,draftkings,Over,-130,0.05091272743643965,0.05091272743643965,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,William Karlsson,VGK,,SOG,1.5,2.0,0.5939941502901616,-135,105,draftkings,Over,-135,0.03398981717176269,0.03398981717176269,0.5939941502901616,0.18798830058032312,model leans Over,model leans Over,2.0
2026-06-11,Mark Stone,VGK,,SOG,1.5,2.0,0.5939941502901616,-140,108,fanduel,Over,-140,0.01827568621170561,0.01827568621170561,0.5939941502901616,0.18798830058032312,model leans Over · JUICE,model leans Over · JUICE,2.0
2026-06-11,Mark Jankowski,CAR,,POINTS,0.5,0.7,0.5034146962085905,376,-613,pinnacle,Over,376,1.3962539539528906,1.3962539539528906,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Alexander Nikishin,CAR,,POINTS,0.5,0.7,0.5034146962085905,293,-442,pinnacle,Over,293,0.9784197560997606,0.9784197560997606,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Eric Robinson,CAR,,POINTS,0.5,0.7,0.5034146962085905,270,-399,pinnacle,Over,270,0.8626343759717848,0.8626343759717848,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Colton Sissons,VGK,,POINTS,0.5,0.7,0.5034146962085905,264,-388,pinnacle,Over,264,0.8324294941992695,0.8324294941992695,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Noah Hanifin,VGK,,POINTS,0.5,0.7,0.5034146962085905,261,-382,pinnacle,Over,261,0.8173270533130116,0.8173270533130116,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Sean Walker,CAR,,POINTS,0.5,0.7,0.5034146962085905,259,-379,pinnacle,Over,259,0.8072587593888397,0.8072587593888397,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Brayden McNabb,VGK,,POINTS,0.5,0.7,0.5034146962085905,223,-317,pinnacle,Over,223,0.6260294687537472,0.6260294687537472,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Jaccob Slavin,CAR,,POINTS,0.5,0.7,0.5034146962085905,218,-308,pinnacle,Over,218,0.6008587339433177,0.6008587339433177,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Jalen Chatfield,CAR,,POINTS,0.5,0.7,0.5034146962085905,210,-295,pinnacle,Over,210,0.5605855582466305,0.5605855582466305,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Rasmus Andersson,VGK,,POINTS,0.5,0.7,0.5034146962085905,208,-292,pinnacle,Over,208,0.5505172643224586,0.5505172643224586,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Jordan Martinook,CAR,,POINTS,0.5,0.7,0.5034146962085905,195,-271,pinnacle,Over,195,0.485073353815342,0.485073353815342,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,K'Andre Miller,CAR,,POINTS,0.5,0.7,0.5034146962085905,154,-209,pinnacle,Over,154,0.27867332836981984,0.27867332836981984,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Jordan Staal,CAR,,POINTS,0.5,0.7,0.5034146962085905,124,-160,draftkings,Over,124,0.12764891950724278,0.12764891950724278,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Tomas Hertl,VGK,,POINTS,0.5,0.7,0.5034146962085905,120,-154,draftkings,Over,120,0.10751233165889917,0.10751233165889917,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,William Karlsson,VGK,,POINTS,0.5,0.7,0.5034146962085905,120,-154,draftkings,Over,120,0.10751233165889917,0.10751233165889917,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
2026-06-11,Ivan Barbashev,VGK,,POINTS,0.5,0.7,0.5034146962085905,114,-145,draftkings,Over,114,0.0773074498863835,0.0773074498863835,0.5034146962085905,0.006829392417180946,model leans Over,model leans Over,0.7
