date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,ev_over,chosen_prob,edge_score,edge_drivers,edge_reasons,proj
2026-05-27,Mike Matheson,MTL,CAR,SOG,0.5,2.4,0.9092820467105875,-231,169,pinnacle,Over,-231,0.30291063836019255,0.30291063836019255,0.9092820467105875,0.8185640934211751,model leans Over · JUICE+,model leans Over · JUICE+,2.4
2026-05-27,Alexandre Texier,MTL,CAR,SOG,1.5,2.4,0.6915589588159976,187,-259,pinnacle,Over,187,0.9847742118019132,0.9847742118019132,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Lane Hutson,MTL,CAR,SOG,1.5,2.4,0.6915589588159976,166,-226,pinnacle,Over,166,0.8395468304505538,0.8395468304505538,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Josh Anderson,MTL,CAR,SOG,1.5,2.4,0.6915589588159976,145,-195,pinnacle,Over,145,0.6943194490991942,0.6943194490991942,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,K'Andre Miller,CAR,MTL,SOG,1.5,2.4,0.6915589588159976,135,-175,draftkings,Over,135,0.6251635532175944,0.6251635532175944,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Jordan Martinook,CAR,MTL,SOG,1.5,2.4,0.6915589588159976,120,-154,draftkings,Over,120,0.5214297093951948,0.5214297093951948,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Jalen Chatfield,CAR,MTL,SOG,1.5,2.4,0.6915589588159976,114,-145,draftkings,Over,114,0.4799361718662346,0.4799361718662346,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Jaccob Slavin,CAR,MTL,SOG,1.5,2.4,0.6915589588159976,110,-140,draftkings,Over,110,0.4522738135135951,0.4522738135135951,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Noah Dobson,MTL,CAR,SOG,1.5,2.4,0.6915589588159976,110,-144,fanduel,Over,110,0.4522738135135951,0.4522738135135951,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Jordan Staal,CAR,MTL,SOG,1.5,2.4,0.6915589588159976,100,-130,draftkings,Over,100,0.3831179176319952,0.3831179176319952,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Sean Walker,CAR,MTL,SOG,1.5,2.4,0.6915589588159976,-118,-110,fanduel,Over,-118,0.27762587306684305,0.27762587306684305,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Alex Newhook,MTL,CAR,SOG,1.5,2.4,0.6915589588159976,-118,-112,pinnacle,Over,-118,0.27762587306684305,0.27762587306684305,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Ivan Demidov,MTL,CAR,SOG,1.5,2.4,0.6915589588159976,-120,-108,fanduel,Over,-120,0.26785809116266235,0.26785809116266235,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Shayne Gostisbehere,CAR,MTL,SOG,1.5,2.4,0.6915589588159976,-135,104,fanduel,Over,-135,0.2038248542352551,0.2038248542352551,0.6915589588159976,0.3831179176319952,model leans Over,model leans Over,2.4
2026-05-27,Nick Suzuki,MTL,CAR,SOG,1.5,2.4,0.6915589588159976,-192,146,fanduel,Over,-192,0.05174591653266314,0.05174591653266314,0.6915589588159976,0.3831179176319952,model leans Over · JUICE+,model leans Over · JUICE+,2.4
2026-05-27,Lane Hutson,MTL,CAR,ASSISTS,0.5,0.45,0.3623718483782268,-140,110,draftkings,Under,110,0.33901911840572385,0.33901911840572385,0.6376281516217732,0.27525630324354644,model leans Under,model leans Under,0.45
2026-05-27,Nick Suzuki,MTL,CAR,ASSISTS,0.5,0.45,0.3623718483782268,-135,105,draftkings,Under,105,0.30713771082463504,0.30713771082463504,0.6376281516217732,0.27525630324354644,model leans Under,model leans Under,0.45
2026-05-27,Kirby Dach,MTL,CAR,POINTS,0.5,0.9,0.5934303402594008,369,-597,pinnacle,Over,369,1.7831882958165894,1.7831882958165894,0.5934303402594008,0.18686068051880156,model leans Over,model leans Over,0.9
2026-05-27,Alexander Nikishin,CAR,MTL,POINTS,0.5,0.9,0.5934303402594008,341,-537,pinnacle,Over,341,1.6170278005439576,1.6170278005439576,0.5934303402594008,0.18686068051880156,model leans Over,model leans Over,0.9
2026-05-27,Zack Bolduc,MTL,CAR,POINTS,0.5,0.9,0.5934303402594008,303,-460,pinnacle,Over,303,1.3915242712453848,1.3915242712453848,0.5934303402594008,0.18686068051880156,model leans Over,model leans Over,0.9
