market,side,price,ev,prob,conf,home,away,totals_line
PL,Montréal Canadiens +1.5,-125.0,0.3824000000000001,0.768,0.268,Carolina Hurricanes,Montréal Canadiens,5.5
TOTAL,Over,-110.0,0.09199999999999997,0.572,0.07199999999999995,Carolina Hurricanes,Montréal Canadiens,5.5
