date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,prob,edge_score,edge_reasons,chosen_prob
2026-05-25,Sebastian Aho,CAR,MTL,ASSISTS,0.5,0.1499,0.1315,120,-154.0,draftkings,Under,-154.0,0.4197512278422172,0.8607940515263837,0.6137480642911631,MODEL UND · CONF60+ · MATCHUP+,0.8607940515263837
2026-05-25,Taylor Hall,CAR,MTL,SOG,1.5,2.8526,0.574875,-205,154.0,fanduel,Over,-205.0,0.15710696095309068,0.777727629493061,0.5273321033266357,MODEL OVR · CONF60+,0.777727629493061
2026-05-25,Nick Suzuki,MTL,CAR,ASSISTS,0.5,0.4187,0.308437,-145,114.0,draftkings,Under,114.0,0.4079092873097384,0.6579015361260461,0.5077200403943986,MODEL UND · CONF60+ · MATCHUP+,0.6579015361260461
2026-05-25,Taylor Hall,CAR,MTL,POINTS,0.5,1.4758,0.626625,100,-130.0,draftkings,Over,100.0,0.5428084454934792,0.7714042227467396,0.4913984417609221,MODEL OVR · CONF60+ · MATCHUP-,0.7714042227467396
2026-05-25,Andrei Svechnikov,CAR,MTL,POINTS,0.5,0.3495,0.271062,-150,115.0,betmgm,Under,115.0,0.5158371220081738,0.7050405218642669,0.48975735392788317,MODEL UND · CONF60+ · MATCHUP+,0.7050405218642669
2026-05-25,Jackson Blake,CAR,MTL,POINTS,0.5,1.3577,0.601313,-110,-118.0,betmgm,Over,-110.0,0.4179738819354142,0.7427482238709312,0.4684736426602754,MODEL OVR · CONF60+ · MATCHUP-,0.7427482238709312
2026-05-25,Sebastian Aho,CAR,MTL,POINTS,0.5,0.4701,0.327688,-165,125.0,betmgm,Under,125.0,0.4061144851567541,0.6249397711807796,0.4256767533810933,MODEL UND · CONF60+ · MATCHUP+,0.6249397711807796
2026-05-25,Seth Jarvis,CAR,MTL,POINTS,0.5,0.4701,0.332688,-160,120.0,betmgm,Under,120.0,0.37486749659771523,0.6249397711807796,0.4256767533810933,MODEL UND · CONF60+ · MATCHUP+,0.6249397711807796
