team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Carolina Hurricanes,8478427,1,Sebastian Aho,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,1.03,0.099,0.154,0.253,0.232,0.0,434.75555555555263,1
Carolina Hurricanes,8482093,1,Seth Jarvis,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,1.12,0.156,0.14100000000000001,0.29700000000000004,0.214,0.0,434.75555555555263,1
Carolina Hurricanes,8477940,1,Nikolaj Ehlers,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.915,0.117,0.154,0.271,0.335,0.0,434.75555555555263,1
Carolina Hurricanes,8480817,1,K'Andre Miller,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,1.058,0.049,0.181,0.22999999999999998,0.802,0.0,529.9555555555493,1
Carolina Hurricanes,8476958,1,Jaccob Slavin,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.9590000000000001,0.04,0.182,0.222,0.91,0.0,529.9555555555493,1
Vegas Golden Knights,8478483,1,Mitch Marner,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.991,0.07100000000000001,0.22,0.29100000000000004,0.41600000000000004,0.0,445.19999999999663,1
Vegas Golden Knights,8478403,1,Jack Eichel,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.927,0.064,0.217,0.281,0.604,0.0,445.19999999999663,1
Vegas Golden Knights,8475913,1,Mark Stone,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.9430000000000001,0.32,0.11,0.43,0.273,0.0,445.19999999999663,1
Vegas Golden Knights,8477447,1,Shea Theodore,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.978,0.057,0.234,0.29100000000000004,0.876,0.0,539.6444444444378,1
Vegas Golden Knights,8478397,1,Rasmus Andersson,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.8320000000000001,0.043000000000000003,0.17300000000000001,0.21600000000000003,0.586,0.0,492.7999999999927,1
Carolina Hurricanes,8475883,1,Frederik Andersen,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.0,0.0,0.0,0.0,0.0,10.625,1199.9999999999998,1
Vegas Golden Knights,8479394,1,Carter Hart,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.0,0.0,0.0,0.0,0.0,11.984,1199.9999999999998,1
Carolina Hurricanes,8482809,1,Jackson Blake,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.777,0.11900000000000001,0.112,0.231,0.325,0.0,288.04444444444636,1
Carolina Hurricanes,8480830,1,Andrei Svechnikov,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.855,0.126,0.12,0.246,0.128,0.0,288.04444444444636,1
Carolina Hurricanes,8473533,1,Jordan Staal,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.578,0.065,0.133,0.198,0.29,0.0,288.04444444444636,1
Carolina Hurricanes,8476906,1,Shayne Gostisbehere,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.517,0.092,0.07100000000000001,0.163,0.281,0.0,293.91111111111394,1
Carolina Hurricanes,8482100,1,Alexander Nikishin,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.553,0.026000000000000002,0.091,0.11699999999999999,0.131,0.0,293.91111111111394,1
Vegas Golden Knights,8481604,1,Pavel Dorofeyev,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.64,0.11900000000000001,0.091,0.21000000000000002,0.233,0.0,248.7999999999984,1
Vegas Golden Knights,8483890,1,Braeden Bowman,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.5750000000000001,0.09,0.112,0.202,0.354,0.0,248.7999999999984,1
Vegas Golden Knights,8484803,1,Trevor Connelly,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.506,0.08700000000000001,0.128,0.21500000000000002,0.356,0.0,248.7999999999984,1
Vegas Golden Knights,8478468,1,Jeremy Lauzon,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.674,0.036000000000000004,0.126,0.162,0.298,0.0,285.1555555555573,1
Carolina Hurricanes,8482702,1,Logan Stankoven,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.743,0.138,0.088,0.226,0.088,0.0,250.6666666666649,1
Carolina Hurricanes,8475791,1,Taylor Hall,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.728,0.12,0.12,0.24,0.246,0.0,250.6666666666649,1
Carolina Hurricanes,8476921,1,Jordan Martinook,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.648,0.029,0.159,0.188,0.33,0.0,250.6666666666649,1
Carolina Hurricanes,8478970,1,Jalen Chatfield,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.533,0.026000000000000002,0.145,0.17099999999999999,0.598,0.0,376.1333333333359,1
Carolina Hurricanes,8480336,1,Sean Walker,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.651,0.043000000000000003,0.163,0.20600000000000002,0.41200000000000003,0.0,376.1333333333359,1
Vegas Golden Knights,8478396,1,Noah Hanifin,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.6940000000000001,0.03,0.14200000000000002,0.17200000000000001,0.511,0.0,375.2000000000026,1
Vegas Golden Knights,8476448,1,William Karlsson,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.777,0.061,0.112,0.173,0.28200000000000003,0.0,269.6888888888883,1
Vegas Golden Knights,8479353,1,Brett Howden,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.5710000000000001,0.117,0.084,0.201,0.161,0.0,269.6888888888883,1
Vegas Golden Knights,8477964,1,Ivan Barbashev,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.629,0.081,0.116,0.197,0.33,0.0,269.6888888888883,1
Vegas Golden Knights,8475188,1,Brayden McNabb,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.48,0.024,0.114,0.138,0.437,0.0,334.666666666672,1
Vegas Golden Knights,8479639,1,Dylan Coghlan,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.40800000000000003,0.023,0.108,0.131,0.218,0.0,252.75555555555238,1
Vegas Golden Knights,8482125,1,Alexander Holtz,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.497,0.084,0.10300000000000001,0.187,0.335,0.0,236.3111111111096,1
Vegas Golden Knights,8479550,1,Tanner Laczynski,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.501,0.085,0.084,0.169,0.332,0.0,236.3111111111096,1
Vegas Golden Knights,8481534,1,Raphael Lavoie,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.464,0.07,0.08700000000000001,0.15700000000000003,0.317,0.0,236.3111111111096,1
Carolina Hurricanes,8475235,1,Nicolas Deslauriers,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.397,0.012,0.07,0.082,0.232,0.0,226.53333333333214,1
Carolina Hurricanes,8480829,1,Jesperi Kotkaniemi,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.637,0.081,0.065,0.14600000000000002,0.352,0.0,226.53333333333214,1
Carolina Hurricanes,8476873,1,Mark Jankowski,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.644,0.021,0.076,0.097,0.265,0.0,226.53333333333214,1
Carolina Hurricanes,8478427,2,Sebastian Aho,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,1.089,0.101,0.184,0.28500000000000003,0.245,0.0,434.0888888888863,1
Carolina Hurricanes,8482093,2,Seth Jarvis,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,1.196,0.202,0.162,0.364,0.261,0.0,434.0888888888863,1
Carolina Hurricanes,8477940,2,Nikolaj Ehlers,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.995,0.152,0.185,0.33699999999999997,0.332,0.0,434.0888888888863,1
Carolina Hurricanes,8480817,2,K'Andre Miller,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.976,0.043000000000000003,0.21,0.253,0.812,0.0,527.7333333333266,1
Carolina Hurricanes,8476958,2,Jaccob Slavin,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,1.048,0.052000000000000005,0.218,0.27,1.043,0.0,527.7333333333266,1
Vegas Golden Knights,8478483,2,Mitch Marner,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,1.056,0.077,0.23800000000000002,0.315,0.418,0.0,442.5333333333299,1
Vegas Golden Knights,8478403,2,Jack Eichel,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.985,0.067,0.219,0.28600000000000003,0.652,0.0,442.5333333333299,1
Vegas Golden Knights,8475913,2,Mark Stone,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,1.103,0.34400000000000003,0.10400000000000001,0.44800000000000006,0.249,0.0,442.5333333333299,1
Vegas Golden Knights,8477447,2,Shea Theodore,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.979,0.049,0.249,0.298,0.912,0.0,537.8666666666608,1
Vegas Golden Knights,8478397,2,Rasmus Andersson,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.806,0.038,0.189,0.227,0.5680000000000001,0.0,493.3333333333271,1
Carolina Hurricanes,8475883,2,Frederik Andersen,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.0,0.0,0.0,0.0,0.0,11.116,1199.9999999999998,1
Vegas Golden Knights,8479394,2,Carter Hart,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.0,0.0,0.0,0.0,0.0,12.318,1199.9999999999998,1
Carolina Hurricanes,8482809,2,Jackson Blake,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.812,0.105,0.098,0.203,0.34,0.0,288.7555555555573,1
Carolina Hurricanes,8480830,2,Andrei Svechnikov,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.906,0.112,0.108,0.22,0.11,0.0,288.7555555555573,1
Carolina Hurricanes,8473533,2,Jordan Staal,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.593,0.08,0.115,0.195,0.311,0.0,288.7555555555573,1
Vegas Golden Knights,8476448,2,William Karlsson,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.728,0.048,0.127,0.175,0.305,0.0,268.75555555555485,1
Vegas Golden Knights,8479353,2,Brett Howden,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.612,0.14300000000000002,0.065,0.20800000000000002,0.165,0.0,268.75555555555485,1
Vegas Golden Knights,8477964,2,Ivan Barbashev,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.647,0.078,0.106,0.184,0.34400000000000003,0.0,268.75555555555485,1
Carolina Hurricanes,8478970,2,Jalen Chatfield,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.5760000000000001,0.034,0.133,0.167,0.6890000000000001,0.0,379.11111111111325,1
Carolina Hurricanes,8480336,2,Sean Walker,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.654,0.024,0.136,0.16,0.404,0.0,379.11111111111325,1
Vegas Golden Knights,8478396,2,Noah Hanifin,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.794,0.04,0.163,0.203,0.523,0.0,376.3111111111135,1
Vegas Golden Knights,8475188,2,Brayden McNabb,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.465,0.016,0.126,0.14200000000000002,0.43,0.0,335.5111111111165,1
Carolina Hurricanes,8482702,2,Logan Stankoven,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.798,0.114,0.092,0.20600000000000002,0.10300000000000001,0.0,252.17777777777627,1
Carolina Hurricanes,8475791,2,Taylor Hall,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.708,0.10300000000000001,0.082,0.185,0.264,0.0,252.17777777777627,1
Carolina Hurricanes,8476921,2,Jordan Martinook,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.647,0.018000000000000002,0.126,0.14400000000000002,0.34500000000000003,0.0,252.17777777777627,1
Vegas Golden Knights,8481604,2,Pavel Dorofeyev,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.63,0.112,0.098,0.21000000000000002,0.216,0.0,249.9999999999982,1
Vegas Golden Knights,8483890,2,Braeden Bowman,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.626,0.09,0.112,0.202,0.36,0.0,249.9999999999982,1
Vegas Golden Knights,8484803,2,Trevor Connelly,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.603,0.088,0.113,0.201,0.358,0.0,249.9999999999982,1
Carolina Hurricanes,8476906,2,Shayne Gostisbehere,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.537,0.127,0.067,0.194,0.289,0.0,293.1555555555576,1
Carolina Hurricanes,8482100,2,Alexander Nikishin,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.5640000000000001,0.025,0.11800000000000001,0.14300000000000002,0.159,0.0,293.1555555555576,1
Vegas Golden Knights,8478468,2,Jeremy Lauzon,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.626,0.035,0.128,0.163,0.316,0.0,285.82222222222396,1
Vegas Golden Knights,8479639,2,Dylan Coghlan,Carolina Hurricanes,Vegas Golden Knights,2026-06-04,0.40700000000000003,0.029,0.089,0.118,0.231,0.0,253.9111111111082,1
