market,side,price,ev,prob,conf,home,away,totals_line
TOTAL,Over,-118.0,0.11216949152542366,0.602,0.10199999999999998,Montréal Canadiens,Carolina Hurricanes,5.5
ML,Montréal Canadiens,124.0,0.14912000000000014,0.513,0.013000000000000012,Montréal Canadiens,Carolina Hurricanes,5.5
