market,side,price,ev,prob,conf,home,away,totals_line
TOTAL,Over,-130.0,0.5356923076923076,0.868,0.368,Carolina Hurricanes,Vegas Golden Knights,5.5
PL,Vegas Golden Knights +1.5,-192.0,0.15887500000000015,0.762,0.262,Carolina Hurricanes,Vegas Golden Knights,5.5
ML,Vegas Golden Knights,136.0,0.28502000000000016,0.5445,0.044499999999999984,Carolina Hurricanes,Vegas Golden Knights,5.5
