team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Vegas Golden Knights,8477964,1,Ivan Barbashev,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.84,0.128,0.211,0.33899999999999997,0.625,0.0,402.8888888888886,1
Vegas Golden Knights,8483890,1,Braeden Bowman,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.842,0.129,0.203,0.332,0.603,0.0,402.8888888888886,1
Vegas Golden Knights,8484803,1,Trevor Connelly,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.859,0.131,0.216,0.347,0.58,0.0,402.8888888888886,1
Vegas Golden Knights,8478397,1,Rasmus Andersson,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.849,0.148,0.20500000000000002,0.353,0.6,0.0,494.13333333332713,1
Vegas Golden Knights,8479639,1,Dylan Coghlan,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.8130000000000001,0.13,0.222,0.352,0.583,0.0,494.13333333332713,1
Carolina Hurricanes,8478427,1,Sebastian Aho,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.905,0.112,0.215,0.327,0.579,0.0,403.5999999999996,1
Carolina Hurricanes,8482809,1,Jackson Blake,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.92,0.138,0.216,0.354,0.612,0.0,403.5999999999996,1
Carolina Hurricanes,8477478,1,William Carrier,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.899,0.159,0.199,0.358,0.593,0.0,403.5999999999996,1
Carolina Hurricanes,8478970,1,Jalen Chatfield,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.8140000000000001,0.136,0.231,0.367,0.535,0.0,493.2444444444379,1
Carolina Hurricanes,8476906,1,Shayne Gostisbehere,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.834,0.135,0.213,0.348,0.497,0.0,454.04444444444,1
Vegas Golden Knights,8479394,1,Carter Hart,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.0,0.0,0.0,0.0,0.0,9.903,1199.9999999999998,1
Carolina Hurricanes,8475883,1,Frederik Andersen,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.0,0.0,0.0,0.0,0.0,10.004,1199.9999999999998,1
Vegas Golden Knights,8481604,1,Pavel Dorofeyev,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.605,0.099,0.147,0.246,0.364,0.0,278.1777777777783,1
Vegas Golden Knights,8475343,1,Nic Dowd,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.608,0.088,0.156,0.244,0.388,0.0,278.1777777777783,1
Vegas Golden Knights,8478403,1,Jack Eichel,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.607,0.089,0.158,0.247,0.375,0.0,278.1777777777783,1
Vegas Golden Knights,8477018,1,Ben Hutton,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.5760000000000001,0.083,0.156,0.239,0.372,0.0,344.4888888888934,1
Vegas Golden Knights,8481527,1,Kaedan Korczak,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.617,0.105,0.151,0.256,0.356,0.0,344.4888888888934,1
Carolina Hurricanes,8476873,1,Mark Jankowski,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.5740000000000001,0.081,0.154,0.235,0.378,0.0,265.5555555555545,1
Carolina Hurricanes,8482093,1,Seth Jarvis,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.5670000000000001,0.088,0.137,0.225,0.433,0.0,265.5555555555545,1
Carolina Hurricanes,8480829,1,Jesperi Kotkaniemi,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.5630000000000001,0.084,0.134,0.21800000000000003,0.41100000000000003,0.0,265.5555555555545,1
Carolina Hurricanes,8476422,1,Mike Reilly,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.59,0.084,0.148,0.23199999999999998,0.448,0.0,347.51111111111555,1
Vegas Golden Knights,8479602,1,Jeremy Davies,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.633,0.12,0.148,0.268,0.397,0.0,361.37777777778126,1
Vegas Golden Knights,8478396,1,Noah Hanifin,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.627,0.095,0.17200000000000001,0.267,0.403,0.0,361.37777777778126,1
Carolina Hurricanes,8476921,1,Jordan Martinook,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.543,0.085,0.13,0.21500000000000002,0.41100000000000003,0.0,252.8888888888874,1
Carolina Hurricanes,8480762,1,Eric Robinson,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.547,0.09,0.11900000000000001,0.20900000000000002,0.387,0.0,252.8888888888874,1
Carolina Hurricanes,8473533,1,Jordan Staal,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.546,0.082,0.14300000000000002,0.22500000000000003,0.36,0.0,252.8888888888874,1
Carolina Hurricanes,8480817,1,K'Andre Miller,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.621,0.1,0.14300000000000002,0.24300000000000002,0.442,0.0,359.2444444444479,1
Carolina Hurricanes,8475235,1,Nicolas Deslauriers,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.5740000000000001,0.074,0.14400000000000002,0.21800000000000003,0.423,0.0,277.95555555555586,1
Carolina Hurricanes,8477940,1,Nikolaj Ehlers,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.601,0.089,0.147,0.236,0.395,0.0,277.95555555555586,1
Carolina Hurricanes,8475791,1,Taylor Hall,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.5760000000000001,0.073,0.131,0.20400000000000001,0.443,0.0,277.95555555555586,1
Vegas Golden Knights,8476448,1,William Karlsson,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.543,0.07200000000000001,0.139,0.21100000000000002,0.362,0.0,252.17777777777627,1
Vegas Golden Knights,8478434,1,Keegan Kolesar,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.544,0.079,0.138,0.21700000000000003,0.35100000000000003,0.0,252.17777777777627,1
Vegas Golden Knights,8479550,1,Tanner Laczynski,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.58,0.095,0.125,0.22,0.364,0.0,252.17777777777627,1
Carolina Hurricanes,8482100,1,Alexander Nikishin,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.532,0.094,0.127,0.221,0.34700000000000003,0.0,321.0222222222275,1
Vegas Golden Knights,8476881,1,Tomas Hertl,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.589,0.093,0.134,0.227,0.401,0.0,266.7555555555543,1
Vegas Golden Knights,8482125,1,Alexander Holtz,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.539,0.08700000000000001,0.148,0.235,0.364,0.0,266.7555555555543,1
Vegas Golden Knights,8479353,1,Brett Howden,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.596,0.092,0.169,0.261,0.375,0.0,266.7555555555543,1
Carolina Hurricanes,8476958,1,Jaccob Slavin,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.484,0.083,0.155,0.238,0.312,0.0,306.2222222222266,1
Vegas Golden Knights,8477964,2,Ivan Barbashev,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.9380000000000001,0.155,0.201,0.356,0.609,0.0,402.31111111111113,1
Vegas Golden Knights,8483890,2,Braeden Bowman,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.838,0.115,0.233,0.34800000000000003,0.652,0.0,402.31111111111113,1
Vegas Golden Knights,8484803,2,Trevor Connelly,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.9520000000000001,0.14400000000000002,0.199,0.343,0.652,0.0,402.31111111111113,1
Vegas Golden Knights,8478397,2,Rasmus Andersson,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.921,0.14200000000000002,0.23700000000000002,0.379,0.612,0.0,492.71111111110446,1
Vegas Golden Knights,8479639,2,Dylan Coghlan,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.905,0.145,0.227,0.372,0.583,0.0,492.71111111110446,1
Carolina Hurricanes,8478427,2,Sebastian Aho,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.9470000000000001,0.154,0.20400000000000001,0.358,0.64,0.0,403.5555555555554,1
Carolina Hurricanes,8482809,2,Jackson Blake,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.916,0.131,0.20400000000000001,0.335,0.619,0.0,403.5555555555554,1
Carolina Hurricanes,8477478,2,William Carrier,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.9540000000000001,0.155,0.226,0.381,0.623,0.0,403.5555555555554,1
Carolina Hurricanes,8478970,2,Jalen Chatfield,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.891,0.12,0.23900000000000002,0.359,0.6900000000000001,0.0,493.5555555555488,1
Carolina Hurricanes,8476906,2,Shayne Gostisbehere,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.902,0.123,0.202,0.325,0.516,0.0,453.3333333333289,1
Vegas Golden Knights,8479394,2,Carter Hart,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.0,0.0,0.0,0.0,0.0,10.55,1199.9999999999998,1
Carolina Hurricanes,8475883,2,Frederik Andersen,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0.0,0.0,0.0,0.0,0.0,10.759,1199.9999999999998,1
