team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Carolina Hurricanes,8478970,1,Jalen Chatfield,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6226666666666666,0.03266666666666666,0.14466666666666667,0.17733333333333334,0.27699999999999997,0.0,360.0592592592402,1
Montréal Canadiens,8480865,1,Noah Dobson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5696666666666667,0.033,0.08783333333333333,0.12083333333333333,0.3828333333333333,0.0,300.12592592591284,1
Montréal Canadiens,8483686,1,Adam Engstrom,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.48433333333333334,0.033666666666666664,0.0745,0.10816666666666666,0.20333333333333334,0.0,236.14814814815816,1
Montréal Canadiens,8479339,1,Patrik Laine,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6796666666666666,0.05366666666666667,0.07566666666666666,0.12933333333333333,0.239,0.0,227.55555555556117,1
Montréal Canadiens,8484403,1,Florian Xhekaj,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.44066666666666665,0.026833333333333334,0.07366666666666666,0.10049999999999999,0.17566666666666667,0.0,227.55555555556117,1
Montréal Canadiens,8480074,1,Alexandre Texier,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5651666666666666,0.07216666666666667,0.0615,0.13366666666666666,0.144,0.0,227.55555555556117,1
Carolina Hurricanes,8485563,1,Charlie Cerrato,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.606,0.091,0.08083333333333333,0.17183333333333334,0.2773333333333333,0.0,212.80000000000007,1
Carolina Hurricanes,8480829,1,Jesperi Kotkaniemi,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.4973333333333333,0.024666666666666667,0.107,0.13166666666666665,0.11983333333333333,0.0,212.80000000000007,1
Carolina Hurricanes,8476873,1,Mark Jankowski,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.49133333333333334,0.11549999999999999,0.07066666666666667,0.18616666666666665,0.29866666666666664,0.0,212.80000000000007,1
Carolina Hurricanes,8478427,2,Sebastian Aho,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.468,0.2625,0.1625,0.42500000000000004,0.32016666666666665,0.0,450.6814814815069,1
