market,side,price,ev,prob,conf,home,away,totals_line
TOTAL,Over,-118.0,0.8105084745762711,0.98,0.48,Carolina Hurricanes,Vegas Golden Knights,5.5
PL,Vegas Golden Knights +1.5,-205.0,0.0875853658536585,0.731,0.23099999999999998,Carolina Hurricanes,Vegas Golden Knights,5.5
ML,Vegas Golden Knights,130.0,0.19484999999999986,0.5195,0.019499999999999962,Carolina Hurricanes,Vegas Golden Knights,5.5
