team,player_id,player,market,value,sim_idx,game_home,game_away,date,period
Carolina Hurricanes,0,TEAM,GOALS,7.0,0,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,0,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,3.0,0,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,2.0,0,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,9.0,0,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,0,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,6.0,0,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,1.0,0,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,3.0,1,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,1,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,0.0,1,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,2.0,1,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,5.0,1,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,5.0,1,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,0.0,1,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,0.0,1,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,9.0,2,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,2,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,5.0,2,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,3.0,2,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,9.0,2,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,3.0,2,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,3.0,2,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,3.0,2,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,6.0,3,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,4.0,3,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,0.0,3,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,2.0,3,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,5.0,3,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,3,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,3,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,3,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,2.0,4,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,0.0,4,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,1.0,4,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,1.0,4,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,5.0,4,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,4,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,4,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,1.0,4,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,6.0,5,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,3.0,5,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,3.0,5,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,0.0,5,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,5.0,5,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,5,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,5,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,5,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,7.0,6,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,3.0,6,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,6,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,2.0,6,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,8.0,6,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,5.0,6,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,6,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,6,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,7,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,7,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,1.0,7,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,1.0,7,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,8.0,7,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,5.0,7,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,0.0,7,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,3.0,7,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,5.0,8,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,8,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,1.0,8,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,2.0,8,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,9.0,8,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,6.0,8,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,8,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,8,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,9,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,0.0,9,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Carolina Hurricanes,0,TEAM,GOALS,1.0,9,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Carolina Hurricanes,0,TEAM,GOALS,3.0,9,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Vegas Golden Knights,0,TEAM,GOALS,6.0,9,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Vegas Golden Knights,0,TEAM,GOALS,0.0,9,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
Vegas Golden Knights,0,TEAM,GOALS,4.0,9,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,9,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,3
Carolina Hurricanes,0,TEAM,GOALS,2.0,10,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,10,Carolina Hurricanes,Vegas Golden Knights,2026-06-02,1
