full_name,player_id,team,position,team_id
Leo Carlsson,8484153,ANA,F,
Nathan Gaucher,8483444,ANA,F,
Cutter Gauthier,8483445,ANA,F,
Mikael Granlund,8475798,ANA,F,
Jansen Harkins,8478424,ANA,F,
Ross Johnston,8477527,ANA,F,
Alex Killorn,8473986,ANA,F,
Chris Kreider,8475184,ANA,F,
Mason McTavish,8482745,ANA,F,
Nico Myatovic,8484201,ANA,F,
Ryan Poehling,8480068,ANA,F,
Beckett Sennecke,8484762,ANA,F,
Troy Terry,8478873,ANA,F,
Frank Vatrano,8478366,ANA,F,
Jeffrey Viel,8479705,ANA,F,
Tim Washe,8485512,ANA,F,
John Carlson,8474590,ANA,D,
Radko Gudas,8475462,ANA,D,
Drew Helleson,8481563,ANA,D,
Tyson Hinds,8482731,ANA,D,
Jackson LaCombe,8481605,ANA,D,
Pavel Mintyukov,8483490,ANA,D,
Ian Moore,8482178,ANA,D,
Stian Solberg,8484859,ANA,D,
Jacob Trouba,8476885,ANA,D,
Noah Warren,8483521,ANA,D,
Olen Zellweger,8482803,ANA,D,
Vyacheslav Buteyets,8483746,ANA,G,
Damian Clara,8484391,ANA,G,
Lukas Dostal,8480843,ANA,G,
Ville Husso,8478024,ANA,G,
Petr Mrazek,8475852,ANA,G,
Andrew Agozzino,8475461,UTA,F,
Daniil But,8484388,UTA,F,
Michael Carcone,8479619,UTA,F,
Logan Cooley,8483431,UTA,F,
Lawson Crouse,8478474,UTA,F,
Dylan Guenther,8482699,UTA,F,
Barrett Hayton,8480849,UTA,F,
Cam Hebig,8479656,UTA,F,
Clayton Keller,8479343,UTA,F,
Alexander Kerfoot,8477021,UTA,F,
Jack McBain,8480855,UTA,F,
Ben McCartney,8481827,UTA,F,
Liam O'Brien,8477070,UTA,F,
JJ Peterka,8482175,UTA,F,
Kevin Rooney,8479291,UTA,F,
Nick Schmaltz,8477951,UTA,F,
Kevin Stenlund,8478831,UTA,F,
Brandon Tanev,8479293,UTA,F,
Kailer Yamamoto,8479977,UTA,F,
Ian Cole,8474013,UTA,D,
Nick DeSimone,8480084,UTA,D,
Sean Durzi,8480434,UTA,D,
Maveric Lamoureux,8483472,UTA,D,
John Marino,8478507,UTA,D,
Scott Perunovich,8481059,UTA,D,
Nate Schmidt,8477220,UTA,D,
Mikhail Sergachev,8479410,UTA,D,
Dmitri Simashev,8484386,UTA,D,
Maksymilian Szuber,8483763,UTA,D,
MacKenzie Weegar,8477346,UTA,D,
Jaxson Stauber,8483530,UTA,G,
Vitek Vanecek,8477970,UTA,G,
Karel Vejmelka,8478872,UTA,G,
Matt Villalta,8480191,UTA,G,
Viktor Arvidsson,8478042,BOS,F,
Michael Eyssimont,8479591,BOS,F,
Morgan Geekie,8479987,BOS,F,
James Hagens,8485395,BOS,F,
Tanner Jeannot,8479661,BOS,F,
Mark Kastelic,8480355,BOS,F,
Marat Khusnutdinov,8482177,BOS,F,
Sean Kuraly,8476374,BOS,F,
Elias Lindholm,8477496,BOS,F,
Fraser Minten,8483489,BOS,F,
Casey Mittelstadt,8479999,BOS,F,
David Pastrnak,8477956,BOS,F,
Lukas Reichel,8482117,BOS,F,
Alex Steeves,8482634,BOS,F,
Pavel Zacha,8478401,BOS,F,
Jonathan Aspirot,8481219,BOS,D,
Jordan Harris,8480887,BOS,D,
Henri Jokiharju,8480035,BOS,D,
Hampus Lindholm,8476854,BOS,D,
Mason Lohrei,8482511,BOS,D,
Charlie McAvoy,8479325,BOS,D,
Andrew Peeke,8479369,BOS,D,
Nikita Zadorov,8477507,BOS,D,
Joonas Korpisalo,8476914,BOS,G,
Jeremy Swayman,8480280,BOS,G,
Zach Benson,8484145,BUF,F,
Sam Carrick,8475842,BUF,F,
Justin Danforth,8479941,BUF,F,
Josh Doan,8482659,BUF,F,
Josh Dunne,8482623,BUF,F,
Riley Fiddler-Schultz,8483090,BUF,F,
Jordan Greenway,8478413,BUF,F,
Konsta Helenius,8484797,BUF,F,
Tyson Kozak,8482896,BUF,F,
Peyton Krebs,8481522,BUF,F,
Jiri Kulich,8483468,BUF,F,
Beck Malenstyn,8479359,BUF,F,
Ryan McLeod,8480802,BUF,F,
Josh Norris,8480064,BUF,F,
Noah Ostlund,8483500,BUF,F,
Tanner Pearson,8476871,BUF,F,
Jack Quinn,8482097,BUF,F,
Tage Thompson,8479420,BUF,F,
Alex Tuch,8477949,BUF,F,
Anton Wahlberg,8484238,BUF,F,
Jason Zucker,8475722,BUF,F,
Bowen Byram,8481524,BUF,D,
Rasmus Dahlin,8480839,BUF,D,
Ryan Johnson,8481564,BUF,D,
Michael Kesselring,8480891,BUF,D,
Vsevolod Komarov,8483732,BUF,D,
Zach Metsa,8484305,BUF,D,
Radim Mrtka,8485404,BUF,D,
Owen Power,8482671,BUF,D,
Mattias Samuelsson,8480807,BUF,D,
Luke Schenn,8474568,BUF,D,
Logan Stanley,8479378,BUF,D,
Conor Timmins,8479982,BUF,D,
Colten Ellis,8481551,BUF,G,
Devon Levi,8482221,BUF,G,
Ukko-Pekka Luukkonen,8480045,BUF,G,
Alex Lyon,8479312,BUF,G,
Sebastian Aho,8478427,CAR,F,
Jackson Blake,8482809,CAR,F,
