market,side,price,ev,prob,conf,home,away,totals_line
TOTAL,Over,-130.0,0.06507692307692298,0.602,0.10199999999999998,Montréal Canadiens,Carolina Hurricanes,5.5
ML,Montréal Canadiens,130.0,0.17989999999999995,0.513,0.013000000000000012,Montréal Canadiens,Carolina Hurricanes,5.5
