team,player_id,player,market,value,sim_idx,game_home,game_away,date,period
Vegas Golden Knights,0,TEAM,GOALS,4.0,0,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,0,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,0,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,0.0,0,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,5.0,0,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,0,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,1.0,0,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,2.0,0,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,8.0,1,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,6.0,1,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,1,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,1.0,1,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,1,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,1,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,3.0,1,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,0.0,1,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,7.0,2,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,3.0,2,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,2,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,2,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,8.0,2,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,2,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,2,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,4.0,2,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,5.0,3,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,3,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,3,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,1.0,3,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,3,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,3,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,3,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,0.0,3,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,6.0,4,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,4,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,4,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,3.0,4,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,9.0,4,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,3.0,4,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,1.0,4,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,5.0,4,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,4.0,5,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,0.0,5,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,5,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,5,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,9.0,5,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,5,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,6.0,5,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,1.0,5,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,6.0,6,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,6,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,6,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,6,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,9.0,6,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,6,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,4.0,6,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,4.0,6,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,9.0,7,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,3.0,7,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,4.0,7,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,7,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,9.0,7,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,3.0,7,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,6.0,7,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,0.0,7,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,4.0,8,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,8,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,0.0,8,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,8,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,8,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,8,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,8,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,1.0,8,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,2.0,9,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,1.0,9,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,9,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,0.0,9,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,9,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,9,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,9,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,0.0,9,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,9.0,10,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,5.0,10,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,10,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,10,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,7.0,10,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,3.0,10,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,10,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,2.0,10,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,6.0,11,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,11,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,11,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,11,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,7.0,11,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,11,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,3.0,11,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,3.0,11,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,3.0,12,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,0.0,12,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,12,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,12,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,12,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,12,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,3.0,12,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,0.0,12,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,6.0,13,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,3.0,13,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,13,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Vegas Golden Knights,0,TEAM,GOALS,1.0,13,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,13,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Carolina Hurricanes,0,TEAM,GOALS,0.0,13,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Carolina Hurricanes,0,TEAM,GOALS,3.0,13,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
Carolina Hurricanes,0,TEAM,GOALS,1.0,13,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,3
Vegas Golden Knights,0,TEAM,GOALS,6.0,14,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,14,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,14,Vegas Golden Knights,Carolina Hurricanes,2026-06-09,2
