event_key,market,selection,line,price,snapshot_ts
Arizona Cardinals @ Los Angeles Chargers,moneyline,away,,455,2026-06-12T16:29:51Z
Arizona Cardinals @ Los Angeles Chargers,moneyline,home,,-625,2026-06-12T16:29:51Z
Arizona Cardinals @ Los Angeles Chargers,spread,home,-11.5,,2026-06-12T16:29:51Z
Arizona Cardinals @ Los Angeles Chargers,total,over,45.5,-110,2026-06-12T16:29:51Z
Arizona Cardinals @ Los Angeles Chargers,total,under,45.5,-110,2026-06-12T16:29:51Z
Arizona Cardinals @ New York Giants,moneyline,away,,250,2026-06-12T16:29:51Z
Arizona Cardinals @ New York Giants,moneyline,home,,-310,2026-06-12T16:29:51Z
Arizona Cardinals @ New York Giants,spread,home,-7.0,,2026-06-12T16:29:51Z
Arizona Cardinals @ New York Giants,total,over,45.5,-110,2026-06-12T16:29:51Z
Arizona Cardinals @ New York Giants,total,under,45.5,-110,2026-06-12T16:29:51Z
Arizona Cardinals @ San Francisco 49ers,moneyline,away,,455,2026-06-12T16:29:51Z
Arizona Cardinals @ San Francisco 49ers,moneyline,home,,-625,2026-06-12T16:29:51Z
Arizona Cardinals @ San Francisco 49ers,spread,home,-11.5,,2026-06-12T16:29:51Z
Arizona Cardinals @ San Francisco 49ers,total,over,46.5,-110,2026-06-12T16:29:51Z
Arizona Cardinals @ San Francisco 49ers,total,under,46.5,-110,2026-06-12T16:29:51Z
Atlanta Falcons @ Green Bay Packers,moneyline,away,,300,2026-06-12T16:29:51Z
Atlanta Falcons @ Green Bay Packers,moneyline,home,,-380,2026-06-12T16:29:51Z
Atlanta Falcons @ Green Bay Packers,spread,home,-7.5,,2026-06-12T16:29:51Z
Atlanta Falcons @ Green Bay Packers,total,over,46.5,-110,2026-06-12T16:29:51Z
Atlanta Falcons @ Green Bay Packers,total,under,46.5,-110,2026-06-12T16:29:51Z
Atlanta Falcons @ New Orleans Saints,moneyline,away,,114,2026-06-12T16:29:51Z
Atlanta Falcons @ New Orleans Saints,moneyline,home,,-135,2026-06-12T16:29:51Z
Atlanta Falcons @ New Orleans Saints,spread,home,-2.5,,2026-06-12T16:29:51Z
Atlanta Falcons @ New Orleans Saints,total,over,45.5,-110,2026-06-12T16:29:51Z
Atlanta Falcons @ New Orleans Saints,total,under,45.5,-110,2026-06-12T16:29:51Z
Atlanta Falcons @ Pittsburgh Steelers,moneyline,away,,145,2026-06-12T16:29:51Z
