event_key,market,selection,current_line,current_price,open_line,open_price,line_move,price_move,latest_snapshot_ts
Arizona Cardinals @ Los Angeles Chargers,moneyline,away,,440,,440,,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ Los Angeles Chargers,moneyline,home,,-600,,-600,,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ Los Angeles Chargers,spread,home,-11.5,,-11.5,,0.0,,2026-07-09T21:12:54Z
Arizona Cardinals @ Los Angeles Chargers,total,over,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ Los Angeles Chargers,total,under,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ New York Giants,moneyline,away,,260,,260,,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ New York Giants,moneyline,home,,-325,,-325,,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ New York Giants,spread,home,-7.0,,-7.0,,0.0,,2026-07-09T21:12:54Z
Arizona Cardinals @ New York Giants,total,over,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ New York Giants,total,under,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ San Francisco 49ers,moneyline,away,,455,,455,,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ San Francisco 49ers,moneyline,home,,-625,,-625,,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ San Francisco 49ers,spread,home,-11.5,,-11.5,,0.0,,2026-07-09T21:12:54Z
Arizona Cardinals @ San Francisco 49ers,total,over,46.5,-110,46.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Arizona Cardinals @ San Francisco 49ers,total,under,46.5,-110,46.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ Green Bay Packers,moneyline,away,,275,,275,,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ Green Bay Packers,moneyline,home,,-345,,-345,,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ Green Bay Packers,spread,home,-7.5,,-7.5,,0.0,,2026-07-09T21:12:54Z
Atlanta Falcons @ Green Bay Packers,total,over,46.5,-110,46.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ Green Bay Packers,total,under,46.5,-110,46.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ New Orleans Saints,moneyline,away,,114,,114,,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ New Orleans Saints,moneyline,home,,-135,,-135,,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ New Orleans Saints,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Atlanta Falcons @ New Orleans Saints,total,over,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ New Orleans Saints,total,under,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ Pittsburgh Steelers,moneyline,away,,142,,142,,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ Pittsburgh Steelers,moneyline,home,,-170,,-170,,0.0,2026-07-09T21:12:54Z
