event_key,market,selection,line,price,snapshot_ts
Carolina Panthers @ Cleveland Browns,total,over,40.5,-110,2026-07-09T21:12:54Z
Carolina Panthers @ Cleveland Browns,total,under,40.5,-110,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,moneyline,away,,-166,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,moneyline,home,,140,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,spread,home,3.0,,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,total,over,47.5,-110,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,total,under,47.5,-110,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,moneyline,away,,-135,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,moneyline,home,,114,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,spread,home,2.5,,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,total,over,44.5,-110,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,total,under,44.5,-110,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,moneyline,away,,114,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,moneyline,home,,-135,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,spread,home,-2.5,,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,total,over,46.5,-110,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,total,under,46.5,-110,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,moneyline,away,,-250,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,moneyline,home,,205,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,spread,home,5.5,,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,total,over,49.5,-110,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,total,under,49.5,-110,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,moneyline,away,,-115,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,moneyline,home,,-105,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,spread,home,1.5,,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,total,over,47.5,-110,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,total,under,47.5,-110,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,moneyline,away,,270,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,moneyline,home,,-340,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,spread,home,-7.5,,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,total,over,40.5,-115,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,total,under,40.5,-105,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,moneyline,away,,120,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,moneyline,home,,-142,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,spread,home,-2.5,,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,total,over,40.5,-110,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,total,under,40.5,-110,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,moneyline,away,,230,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,moneyline,home,,-285,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,spread,home,-6.5,,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,total,over,42.5,-110,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,total,under,42.5,-110,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,moneyline,away,,114,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,moneyline,home,,-135,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,spread,home,-2.5,,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,total,over,47.5,-110,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,total,under,47.5,-110,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,moneyline,away,,-135,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,moneyline,home,,114,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,spread,home,2.5,,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,total,over,48.5,-110,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,total,under,48.5,-110,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,moneyline,away,,124,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,moneyline,home,,-148,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,spread,home,-2.5,,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,total,over,42.5,-110,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,total,under,42.5,-110,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,moneyline,away,,120,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,moneyline,home,,-142,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,spread,home,-2.5,,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,total,over,44.5,-110,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,total,under,44.5,-110,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,moneyline,away,,124,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,moneyline,home,,-148,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,spread,home,-2.5,,2026-07-09T21:12:54Z
