league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
primeira_liga,228458,Patrick Sequeira,Casa Pia,Goalkeeper,True,9,9,772.2,0.0,0.0,0.0,,0.78,espn_true_per90
primeira_liga,104172,José Fonte,Casa Pia,Center Defender,False,9,9,810.0,0.4444,0.1111,0.0,0.25,0.8182,espn_true_per90
primeira_liga,254447,Duplexe Tchamba,Casa Pia,Center Left Defender,False,4,4,360.0,1.25,0.25,0.0,0.2,0.3636,espn_true_per90
primeira_liga,328225,Joao Goulart,Casa Pia,Center Right Defender,False,6,5,373.6,0.2409,0.0,0.0,1.0,0.3773,espn_true_per90
primeira_liga,379808,Fahem Benaissa-Yahia,Casa Pia,Left Back,False,8,6,516.2,0.1744,0.0,0.0,0.0,0.5214,espn_true_per90
primeira_liga,248860,Gaizka Larrazabal,Casa Pia,Right Back,False,11,11,927.8,0.9701,0.0,0.097,0.3,0.9372,espn_true_per90
primeira_liga,336585,Rafael Brito,Casa Pia,Center Left Midfielder,False,4,2,183.8,0.0,0.0,0.0,,0.1856,espn_true_per90
primeira_liga,300592,Yassin Oukili,Casa Pia,Center Right Midfielder,False,3,2,143.2,0.6286,0.0,0.0,0.0,0.1446,espn_true_per90
primeira_liga,297156,Kelian Nsona Wa Saka,Casa Pia,Left Midfielder,False,4,3,271.2,0.0,0.0,0.3318,,0.274,espn_true_per90
primeira_liga,231196,Jeremy Livolant,Casa Pia,Right Midfielder,False,11,11,954.5,1.7914,0.2829,0.2829,0.5789,0.9642,espn_true_per90
primeira_liga,201763,Cassiano,Casa Pia,Forward,False,11,7,586.2,1.0747,0.3071,0.0,0.5714,0.5921,espn_true_per90
primeira_liga,402986,Renato Nhaga,Casa Pia,Substitute,False,10,7,622.4,0.8676,0.1446,0.0,0.1667,0.6287,espn_true_per90
primeira_liga,239216,Max Svensson,Casa Pia,Substitute,False,6,1,177.4,4.0589,0.0,0.0,0.375,0.1792,espn_true_per90
primeira_liga,149660,André Geraldes,Casa Pia,Substitute,False,11,7,759.3,0.1185,0.0,0.0,1.0,0.7669,espn_true_per90
primeira_liga,337004,Oluwakorede Osundina,Casa Pia,Substitute,False,6,3,249.0,1.4457,0.3614,0.0,0.25,0.2515,espn_true_per90
primeira_liga,333001,Miguel Sousa,Casa Pia,Substitute,False,8,2,210.5,0.0,0.0,0.4275,,0.2126,espn_true_per90
