team_id,abbreviation,location,display_name,primary_color,secondary_color,logo_url,source_snapshot_date
172,AUX,AJ Auxerre,AJ Auxerre,#ffffff,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/172.png,2026-07-20
174,MON,AS Monaco,AS Monaco,#e91514,#004c37,https://a.espncdn.com/i/teamlogos/soccer/500/174.png,2026-07-20
7868,ANG,Angers,Angers,#1a1a1a,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/7868.png,2026-07-20
6997,BRE,Brest,Brest,#ef2f24,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/6997.png,2026-07-20
3236,HAC,Le Havre AC,Le Havre AC,#011f68,#ededed,https://a.espncdn.com/i/teamlogos/soccer/500/3236.png,2026-07-20
2697,MNS,Le Mans,Le Mans,#d62b11,#d62b11,https://a.espncdn.com/i/teamlogos/soccer/500/2697.png,2026-07-20
175,RCL,Lens,Lens,#e91514,#004c37,https://a.espncdn.com/i/teamlogos/soccer/500/175.png,2026-07-20
166,LILL,Lille,Lille,#c2051b,#e2d3d7,https://a.espncdn.com/i/teamlogos/soccer/500/166.png,2026-07-20
273,LOR,Lorient,Lorient,#f46100,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/273.png,2026-07-20
167,LYON,Lyon,Lyon,#ffffff,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/167.png,2026-07-20
176,OLM,Marseille,Marseille,#ffffff,#011f68,https://a.espncdn.com/i/teamlogos/soccer/500/176.png,2026-07-20
2502,NICE,Nice,Nice,#ef2f24,#e2d3d7,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,2026-07-20
6851,PAR,Paris FC,Paris FC,#000000,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/6851.png,2026-07-20
160,PSG,Paris Saint-Germain,Paris Saint-Germain,#011f68,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/160.png,2026-07-20
169,REN,Stade Rennais,Stade Rennais,#ef2f24,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/169.png,2026-07-20
180,STR,Strasbourg,Strasbourg,#0000bf,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/180.png,2026-07-20
179,TOU,Toulouse,Toulouse,#560080,#ffff00,https://a.espncdn.com/i/teamlogos/soccer/500/179.png,2026-07-20
170,TRY,Troyes,Troyes,#0000bf,#fafafc,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,2026-07-20
