team,season,offensive_plays,offensive_drives,offensive_seconds,seconds_per_play,plays_per_drive
Abilene Christian,2025,950,160,26769,28.1779,5.9375
Air Force,2025,837,117,24338,29.0777,7.1538
Akron,2025,859,153,21401,24.9139,5.6144
Alabama,2025,906,138,25209,27.8245,6.5652
Alabama A&M,2025,738,140,19046,25.8076,5.2714
Alabama State,2025,665,117,18765,28.218,5.6838
Alcorn State,2025,752,127,18835,25.0465,5.9213
App State,2025,888,147,20148,22.6892,6.0408
Arizona,2025,832,139,21471,25.8065,5.9856
Arizona State,2025,887,147,22911,25.8298,6.034
Arkansas,2025,804,131,20807,25.8794,6.1374
Arkansas State,2025,945,144,21580,22.836,6.5625
Arkansas-Pine Bluff,2025,762,130,19952,26.1837,5.8615
Army,2025,814,115,24779,30.441,7.0783
Auburn,2025,831,132,21073,25.3586,6.2955
Austin Peay,2025,823,151,22265,27.0535,5.4503
BYU,2025,891,142,25428,28.5387,6.2746
Ball State,2025,739,140,21056,28.4926,5.2786
Baylor,2025,913,139,20217,22.1435,6.5683
Bethune-Cookman,2025,666,118,17553,26.3559,5.6441
Boise State,2025,968,160,25575,26.4205,6.05
Boston College,2025,823,139,20462,24.8627,5.9209
Bowling Green,2025,783,143,22349,28.5428,5.4755
Brown,2025,697,117,16587,23.7977,5.9573
Bryant,2025,773,140,20053,25.9418,5.5214
Bucknell,2025,765,140,20201,26.4065,5.4643
Buffalo,2025,843,156,19923,23.6335,5.4038
Butler,2025,732,118,21397,29.2309,6.2034
Cal Poly,2025,822,153,20396,24.8127,5.3725
California,2025,805,136,20756,25.7839,5.9191
Campbell,2025,836,140,22255,26.6208,5.9714
Central Arkansas,2025,864,155,22077,25.5521,5.5742
Central Connecticut,2025,877,153,22346,25.48,5.732
Central Michigan,2025,756,133,22702,30.0291,5.6842
Charleston Southern,2025,711,136,20175,28.3755,5.2279
Charlotte,2025,733,144,19307,26.3397,5.0903
Chattanooga,2025,717,126,20746,28.9344,5.6905
Cincinnati,2025,729,128,17301,23.7325,5.6953
Clemson,2025,836,141,22381,26.7715,5.9291
Coastal Carolina,2025,819,158,20052,24.4835,5.1835
Colgate,2025,787,131,20066,25.4968,6.0076
Colorado,2025,797,145,20477,25.6926,5.4966
Colorado State,2025,766,133,19202,25.0679,5.7594
Columbia,2025,662,108,17323,26.1677,6.1296
Cornell,2025,734,119,17617,24.0014,6.1681
Dartmouth,2025,655,99,17963,27.4244,6.6162
Davidson,2025,772,139,20701,26.8148,5.554
Dayton,2025,701,121,19281,27.505,5.7934
Delaware,2025,909,142,21901,24.0935,6.4014
Delaware State,2025,797,133,21186,26.5822,5.9925
Drake,2025,761,129,21980,28.883,5.8992
Duke,2025,882,139,22683,25.7177,6.3453
Duquesne,2025,789,146,24240,30.7224,5.4041
East Carolina,2025,954,152,21409,22.4413,6.2763
East Tennessee State,2025,911,154,20589,22.6004,5.9156
East Texas A&M,2025,870,154,21518,24.7333,5.6494
Eastern Illinois,2025,714,133,20121,28.1807,5.3684
Eastern Kentucky,2025,704,137,20270,28.7926,5.1387
Eastern Michigan,2025,805,131,19959,24.7938,6.145
Eastern Washington,2025,861,167,20674,24.0116,5.1557
Elon,2025,778,142,20525,26.3817,5.4789
Florida,2025,770,131,21138,27.4519,5.8779
Florida A&M,2025,641,111,17670,27.5663,5.7748
Florida Atlantic,2025,929,143,19750,21.2594,6.4965
Florida International,2025,842,151,22630,26.8765,5.5762
Florida State,2025,848,129,20568,24.2547,6.5736
Fordham,2025,870,159,20579,23.654,5.4717
Fresno State,2025,802,146,23205,28.9339,5.4932
Furman,2025,808,143,21258,26.3094,5.6503
