league,season,team,match_index,date,home_away,xg_for,xg_against,npxg_for,npxg_against,ppda,ppda_allowed,deep_entries,deep_entries_allowed,goals_for,goals_against,expected_points,points,result
epl,2024,Aston Villa,0,2024-08-17 16:30:00,a,2.6703,2.8047,2.6703,2.0435,11.3043,9.3333,8.0,5.0,2.0,1.0,1.2989,3.0,w
epl,2024,Aston Villa,1,2024-08-24 16:30:00,h,1.3166,1.414,1.3166,1.414,17.2778,5.8333,3.0,10.0,0.0,2.0,1.2362,0.0,l
epl,2024,Aston Villa,2,2024-08-31 14:00:00,a,2.1639,0.7747,2.1639,0.7747,10.4667,6.4,6.0,3.0,2.0,1.0,2.448,3.0,w
epl,2024,Aston Villa,3,2024-09-14 16:30:00,h,3.1588,0.8522,3.1588,0.8522,5.2609,16.3333,9.0,3.0,3.0,2.0,2.7595,3.0,w
epl,2024,Aston Villa,4,2024-09-21 14:00:00,h,2.3735,0.5201,2.3735,0.5201,11.8,13.5,9.0,4.0,3.0,1.0,2.6481,3.0,w
epl,2024,Aston Villa,5,2024-09-29 13:00:00,a,1.1449,1.8461,1.1449,1.8461,11.9091,16.5625,5.0,6.0,2.0,2.0,0.8247,1.0,d
epl,2024,Aston Villa,6,2024-10-06 13:00:00,h,0.5328,0.4485,0.5328,0.4485,14.2143,13.8824,9.0,1.0,0.0,0.0,1.3408,1.0,d
epl,2024,Aston Villa,7,2024-10-19 14:00:00,a,1.436,2.6307,1.436,1.8696,16.8,12.35,9.0,3.0,3.0,1.0,0.5631,3.0,w
epl,2024,Aston Villa,8,2024-10-26 14:00:00,h,1.974,0.3287,1.974,0.3287,10.3333,8.8077,16.0,6.0,1.0,1.0,2.5908,1.0,d
epl,2024,Aston Villa,9,2024-11-03 14:00:00,a,2.4875,2.0975,2.4875,2.0975,10.4706,5.4419,3.0,11.0,1.0,4.0,1.6758,0.0,l
epl,2024,Aston Villa,10,2024-11-09 20:00:00,a,1.6634,2.682,1.6634,2.682,17.6818,8.6154,4.0,7.0,0.0,2.0,0.7257,0.0,l
epl,2024,Aston Villa,11,2024-11-23 15:00:00,h,3.0446,1.6144,2.2834,1.6144,7.4,15.8182,11.0,2.0,2.0,2.0,2.3213,1.0,d
epl,2024,Aston Villa,12,2024-12-01 13:30:00,a,0.8754,1.9494,0.8754,1.9494,39.6,8.1,4.0,4.0,0.0,3.0,0.6308,0.0,l
epl,2024,Aston Villa,13,2024-12-04 20:15:00,h,3.2167,1.1327,2.4556,1.1327,11.1053,7.2581,11.0,5.0,3.0,1.0,2.6043,3.0,w
epl,2024,Aston Villa,14,2024-12-07 15:00:00,h,2.5134,0.3858,2.5134,0.3858,7.8857,8.8519,13.0,7.0,1.0,0.0,2.7499,3.0,w
epl,2024,Aston Villa,15,2024-12-14 17:30:00,a,0.3894,2.2861,0.3894,2.2861,16.9286,17.3125,7.0,5.0,1.0,2.0,0.198,0.0,l
epl,2024,Aston Villa,16,2024-12-21 12:30:00,h,2.0599,1.0963,2.0599,1.0963,18.3571,19.6,7.0,4.0,2.0,1.0,2.0925,3.0,w
epl,2024,Aston Villa,17,2024-12-26 15:00:00,a,0.2255,2.8287,0.2255,2.8287,21.7143,6.1071,2.0,20.0,0.0,3.0,0.0707,0.0,l
epl,2024,Aston Villa,18,2024-12-30 19:45:00,h,1.88,0.938,1.1188,0.938,9.95,8.5938,13.0,6.0,2.0,2.0,2.1243,1.0,d
epl,2024,Aston Villa,19,2025-01-04 15:00:00,h,2.3456,0.8155,2.3456,0.8155,9.0345,20.8421,9.0,3.0,2.0,1.0,2.5573,3.0,w
epl,2024,Aston Villa,20,2025-01-15 19:30:00,a,1.2852,1.2313,1.2852,1.2313,14.6,9.6786,5.0,4.0,1.0,0.0,1.3871,3.0,w
epl,2024,Aston Villa,21,2025-01-18 17:30:00,a,1.206,1.6446,1.206,1.6446,15.0,6.8182,1.0,8.0,2.0,2.0,1.0374,1.0,d
epl,2024,Aston Villa,22,2025-01-26 16:30:00,h,0.9079,1.6789,0.9079,1.6789,8.6774,6.3226,7.0,5.0,1.0,1.0,0.7567,1.0,d
epl,2024,Aston Villa,23,2025-02-01 17:30:00,a,0.7428,2.0015,0.7428,2.0015,11.5,12.25,4.0,2.0,0.0,2.0,0.4517,0.0,l
epl,2024,Aston Villa,24,2025-02-15 15:00:00,h,2.8984,0.3329,2.8984,0.3329,7.6667,13.2083,19.0,0.0,1.0,1.0,2.853,1.0,d
epl,2024,Aston Villa,25,2025-02-19 15:00:00,h,1.0227,2.0428,1.0227,2.0428,11.5,13.2778,13.0,17.0,2.0,2.0,0.6596,1.0,d
epl,2024,Aston Villa,26,2025-02-22 17:30:00,h,2.6941,2.1742,2.6941,2.1742,9.6429,11.72,5.0,7.0,2.0,1.0,1.7705,3.0,w
epl,2024,Aston Villa,27,2025-02-25 19:30:00,a,0.6672,4.0252,0.6672,4.0252,5.7143,6.4286,1.0,9.0,1.0,4.0,0.0199,0.0,l
epl,2024,Aston Villa,28,2025-03-08 17:30:00,a,1.2964,0.6377,1.2964,0.6377,20.25,5.7778,5.0,10.0,1.0,0.0,1.9199,3.0,w
epl,2024,Aston Villa,29,2025-04-02 19:45:00,a,1.2071,0.558,1.2071,0.558,12.5,7.5,4.0,12.0,3.0,0.0,1.9562,3.0,w
epl,2024,Aston Villa,30,2025-04-05 16:30:00,h,2.6335,0.9677,2.6335,0.9677,9.9474,10.5217,7.0,4.0,2.0,1.0,2.4585,3.0,w
epl,2024,Aston Villa,31,2025-04-12 14:00:00,a,2.9993,0.4123,1.3695,0.4123,10.9524,22.9091,13.0,1.0,3.0,0.0,2.8997,3.0,w
epl,2024,Aston Villa,32,2025-04-19 16:30:00,h,3.0537,1.2718,3.0537,1.2718,11.2273,13.875,10.0,8.0,4.0,1.0,2.47,3.0,w
epl,2024,Aston Villa,33,2025-04-22 19:00:00,a,1.8591,1.3623,1.0979,1.3623,17.7857,10.5556,3.0,3.0,1.0,2.0,1.762,0.0,l
epl,2024,Aston Villa,34,2025-05-03 11:30:00,h,1.2901,0.7028,1.2901,0.7028,19.9091,9.8571,5.0,7.0,1.0,0.0,1.8952,3.0,w
epl,2024,Aston Villa,35,2025-05-10 16:30:00,a,1.1238,1.0227,1.1238,1.0227,12.0,4.5,1.0,10.0,1.0,0.0,1.4106,3.0,w
epl,2024,Aston Villa,36,2025-05-16 18:30:00,h,1.6906,0.523,1.6906,0.523,9.5,26.25,19.0,2.0,2.0,0.0,2.2784,3.0,w
epl,2024,Aston Villa,37,2025-05-25 15:00:00,a,0.3352,2.9626,0.3352,2.2014,26.9091,5.1071,5.0,24.0,0.0,2.0,0.0798,0.0,l
epl,2024,Everton,0,2024-08-17 14:00:00,h,0.4053,1.7908,0.4053,1.7908,18.3333,7.9167,4.0,5.0,0.0,3.0,0.3078,0.0,l
epl,2024,Everton,1,2024-08-24 14:00:00,a,0.6489,2.6114,0.6489,2.6114,12.7241,6.3,5.0,9.0,0.0,4.0,0.2558,0.0,l
epl,2024,Everton,2,2024-08-31 14:00:00,h,2.5563,2.9569,2.5563,2.9569,8.3043,7.0952,15.0,7.0,2.0,3.0,1.1241,0.0,l
epl,2024,Everton,3,2024-09-14 16:30:00,a,0.8522,3.1588,0.8522,3.1588,16.3333,5.2609,3.0,9.0,2.0,3.0,0.1567,0.0,l
epl,2024,Everton,4,2024-09-21 14:00:00,a,1.8238,1.3379,1.8238,1.3379,19.3077,8.4211,6.0,8.0,1.0,1.0,1.6985,1.0,d
epl,2024,Everton,5,2024-09-28 14:00:00,h,1.1096,1.1236,1.1096,1.1236,12.5,9.3333,6.0,8.0,2.0,1.0,1.3309,3.0,w
epl,2024,Everton,6,2024-10-05 16:30:00,h,0.6922,1.7905,0.6922,1.0293,15.7692,5.8571,3.0,11.0,0.0,0.0,0.4902,1.0,d
epl,2024,Everton,7,2024-10-19 14:00:00,a,1.608,1.174,1.608,1.174,15.8947,11.4286,9.0,3.0,2.0,0.0,1.717,3.0,w
epl,2024,Everton,8,2024-10-26 16:30:00,h,0.8848,1.4953,0.8848,1.4953,21.1765,10.95,7.0,7.0,1.0,1.0,0.844,1.0,d
epl,2024,Everton,9,2024-11-02 15:00:00,a,1.7858,0.5403,1.7858,0.5403,15.0,9.2353,4.0,6.0,0.0,1.0,2.3625,0.0,l
epl,2024,Everton,10,2024-11-09 15:00:00,a,0.866,1.1237,0.866,1.1237,11.1111,10.1429,7.0,8.0,0.0,0.0,1.0962,1.0,d
epl,2024,Everton,11,2024-11-23 15:00:00,h,1.5951,1.3431,1.5951,1.3431,14.8667,7.9565,8.0,1.0,0.0,0.0,1.5025,1.0,d
epl,2024,Everton,12,2024-12-01 13:30:00,a,0.7667,1.7616,0.7667,1.7616,17.0741,11.4583,3.0,10.0,0.0,4.0,0.5986,0.0,l
epl,2024,Everton,13,2024-12-04 19:30:00,h,1.499,0.8477,1.499,0.8477,10.1786,7.7083,7.0,4.0,4.0,0.0,1.8868,3.0,w
epl,2024,Everton,14,2024-12-14 15:00:00,a,0.1322,1.3087,0.1322,1.3087,19.7778,5.0476,2.0,12.0,0.0,0.0,0.3379,1.0,d
epl,2024,Everton,15,2024-12-22 14:00:00,h,1.0708,1.5159,1.0708,1.5159,14.4286,4.7826,0.0,2.0,0.0,0.0,0.9176,1.0,d
epl,2024,Everton,16,2024-12-26 12:30:00,a,0.6533,2.5196,0.6533,1.7585,28.0909,10.6667,1.0,18.0,1.0,1.0,0.2591,1.0,d
epl,2024,Everton,17,2024-12-29 15:00:00,h,0.6152,2.0275,0.6152,2.0275,8.1875,17.0,8.0,7.0,0.0,2.0,0.3847,0.0,l
epl,2024,Everton,18,2025-01-04 15:00:00,a,0.561,2.6185,0.561,2.6185,10.7222,3.963,1.0,14.0,0.0,1.0,0.1742,0.0,l
epl,2024,Everton,19,2025-01-15 19:30:00,h,1.2313,1.2852,1.2313,1.2852,9.6786,14.6,4.0,5.0,0.0,1.0,1.3196,0.0,l
