player,team,plays,ladders,sim_ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Saniya Rivers,CON,"[{'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': 125.0, 'edge': 0.07686507721411528, 'ev': 0.17294642373175928, 'ev_pct': 17.29464237317593, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 14.5, 'price': -125.0, 'edge': 0.09557777777777776, 'ev': 0.17204000000000008, 'ev_pct': 17.204000000000008, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 11.5, 'price': -135.0, 'edge': 0.09141702127659568, 'ev': 0.1591333333333333, 'ev_pct': 15.913333333333329, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 8.5, 'price': -110.0, 'edge': 0.19935216519379773, 'ev': 0.38058140627906845, 'ev_pct': 38.058140627906845, 'book': 'fanduel'}]",[],[],"{'pts': 5.116666666666666, 'reb': 2.532222222222222, 'ast': 3.784444444444445, 'threes': 0.1844444444444444, 'stl': 0.4524116666666666, 'blk': 0.3701549999999999, 'tov': 1.23385, 'pra': 11.433333333333334, 'pr': 7.648888888888888, 'pa': 8.901111111111112, 'ra': 6.316666666666666}","[{'market': 'pts', 'side': 'UNDER', 'line': 8.5, 'price': -110.0, 'edge': 0.19935216519379773, 'ev': 0.38058140627906845, 'ev_pct': 38.058140627906845, 'book': 'fanduel'}, {'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': 125.0, 'edge': 0.07686507721411528, 'ev': 0.17294642373175928, 'ev_pct': 17.29464237317593, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 14.5, 'price': -125.0, 'edge': 0.09557777777777776, 'ev': 0.17204000000000008, 'ev_pct': 17.204000000000008, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 11.5, 'price': -135.0, 'edge': 0.09141702127659568, 'ev': 0.1591333333333333, 'ev_pct': 15.913333333333329, 'book': 'draftkings'}]","{'market': 'pts', 'side': 'UNDER', 'line': 8.5, 'price': -110.0, 'edge': 0.19935216519379773, 'ev': 0.38058140627906845, 'ev_pct': 38.058140627906845, 'book': 'fanduel'}",model 5.1 vs line 8.5 (-3.4),5.116666666666666,"['EV 38.1%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Marina Mabrey,TOR,"[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 116.0, 'edge': 0.07106361599937155, 'ev': 0.15349741055864252, 'ev_pct': 15.349741055864252, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': -115.0, 'edge': 0.0159538710958248, 'ev': 0.02982680248349845, 'ev_pct': 2.982680248349845, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 21.5, 'price': -120.0, 'edge': 0.01774321094244158, 'ev': 0.03252922006114284, 'ev_pct': 3.252922006114284, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': 105.0, 'edge': 0.1023930438675662, 'ev': 0.2099057399285107, 'ev_pct': 20.99057399285107, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': -108.0, 'edge': 0.05859698307265293, 'ev': 0.11285344888066495, 'ev_pct': 11.285344888066495, 'book': 'fanduel'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': -132.0, 'edge': 0.01615080732112284, 'ev': 0.028386267412882638, 'ev_pct': 2.8386267412882638, 'book': 'fanduel'}]",[],[],"{'pts': 16.31, 'reb': 3.84, 'ast': 4.045, 'threes': 2.715, 'stl': 0.5462435, 'blk': 0.4469265, 'tov': 1.4897550000000002, 'pra': 24.195, 'pr': 20.15, 'pa': 20.354999999999997, 'ra': 7.885}","[{'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': 105.0, 'edge': 0.1023930438675662, 'ev': 0.2099057399285107, 'ev_pct': 20.99057399285107, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 116.0, 'edge': 0.07106361599937155, 'ev': 0.15349741055864252, 'ev_pct': 15.349741055864252, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': -108.0, 'edge': 0.05859698307265293, 'ev': 0.11285344888066495, 'ev_pct': 11.285344888066495, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 21.5, 'price': -120.0, 'edge': 0.01774321094244158, 'ev': 0.03252922006114284, 'ev_pct': 3.252922006114284, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': -115.0, 'edge': 0.0159538710958248, 'ev': 0.02982680248349845, 'ev_pct': 2.982680248349845, 'book': 'draftkings'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': -132.0, 'edge': 0.01615080732112284, 'ev': 0.028386267412882638, 'ev_pct': 2.8386267412882638, 'book': 'fanduel'}]","{'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': 105.0, 'edge': 0.1023930438675662, 'ev': 0.2099057399285107, 'ev_pct': 20.99057399285107, 'book': 'draftkings'}",model 7.9 vs line 5.5 (+2.4),7.885,"['EV 21.0%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Brittney Sykes,TOR,"[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 104.0, 'edge': 0.0720368309951252, 'ev': 0.14695513523005543, 'ev_pct': 14.695513523005543, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': -115.0, 'edge': 0.07638035912675722, 'ev': 0.14279806271524165, 'ev_pct': 14.279806271524166, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': -110.0, 'edge': 0.09417877016400089, 'ev': 0.1797958339494563, 'ev_pct': 17.97958339494563, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -105.0, 'edge': 0.18943703486784202, 'ev': 0.3698532585515011, 'ev_pct': 36.98532585515011, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 25.5, 'price': -113.0, 'edge': 0.1802092679712609, 'ev': 0.33968649626441216, 'ev_pct': 33.96864962644122, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': -110.0, 'edge': 0.08010747102367077, 'ev': 0.15293244468155331, 'ev_pct': 15.293244468155331, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': -102.0, 'edge': 0.026047130405124297, 'ev': 0.051583532763089246, 'ev_pct': 5.158353276308924, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': -105.0, 'edge': 0.01880250350340973, 'ev': 0.036709649697133306, 'ev_pct': 3.6709649697133306, 'book': 'draftkings'}]",[],[],"{'pts': 17.41777777777778, 'reb': 2.65, 'ast': 4.733333333333333, 'threes': 1.4222222222222225, 'stl': 0.6465286666666665, 'blk': 0.528978, 'tov': 1.7632599999999998, 'pra': 24.801111111111112, 'pr': 20.067777777777778, 'pa': 22.151111111111113, 'ra': 7.383333333333333}","[{'market': 'pts', 'side': 'UNDER', 'line': 25.5, 'price': -113.0, 'edge': 0.1802092679712609, 'ev': 0.33968649626441216, 'ev_pct': 33.96864962644122, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': -110.0, 'edge': 0.09417877016400089, 'ev': 0.1797958339494563, 'ev_pct': 17.97958339494563, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': -110.0, 'edge': 0.08010747102367077, 'ev': 0.15293244468155331, 'ev_pct': 15.293244468155331, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 104.0, 'edge': 0.0720368309951252, 'ev': 0.14695513523005543, 'ev_pct': 14.695513523005543, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': -115.0, 'edge': 0.07638035912675722, 'ev': 0.14279806271524165, 'ev_pct': 14.279806271524166, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': -102.0, 'edge': 0.026047130405124297, 'ev': 0.051583532763089246, 'ev_pct': 5.158353276308924, 'book': 'fanduel'}]","{'market': 'pts', 'side': 'UNDER', 'line': 25.5, 'price': -113.0, 'edge': 0.1802092679712609, 'ev': 0.33968649626441216, 'ev_pct': 33.96864962644122, 'book': 'fanduel'}",model 17.4 vs line 25.5 (-8.1),17.41777777777778,"['EV 34.0%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Leïla Lacan,CON,"[{'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -102.0, 'edge': 0.0721719088056525, 'ev': 0.14292868214452747, 'ev_pct': 14.292868214452747, 'book': 'fanduel'}, {'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -105.0, 'edge': 0.07108521477039531, 'ev': 0.13878541931362898, 'ev_pct': 13.878541931362898, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -125.0, 'edge': 0.09557777777777776, 'ev': 0.17204000000000008, 'ev_pct': 17.204000000000008, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 12.5, 'price': -102.0, 'edge': 0.19854384717821694, 'ev': 0.3931946777450963, 'ev_pct': 39.31946777450963, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 14.5, 'price': -120.0, 'edge': 0.1675765472502555, 'ev': 0.3072236699588017, 'ev_pct': 30.72236699588017, 'book': 'draftkings'}]",[],[],"{'pts': 0.0, 'reb': 0.0, 'ast': 0.0, 'threes': 0.0, 'stl': 0.176, 'blk': 0.144, 'tov': 0.48, 'pra': 0.0, 'pr': 0.0, 'pa': 0.0, 'ra': 0.0}","[{'market': 'pts', 'side': 'UNDER', 'line': 14.5, 'price': -120.0, 'edge': 0.1675765472502555, 'ev': 0.3072236699588017, 'ev_pct': 30.72236699588017, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -125.0, 'edge': 0.09557777777777776, 'ev': 0.17204000000000008, 'ev_pct': 17.204000000000008, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -102.0, 'edge': 0.0721719088056525, 'ev': 0.14292868214452747, 'ev_pct': 14.292868214452747, 'book': 'fanduel'}]","{'market': 'pts', 'side': 'UNDER', 'line': 14.5, 'price': -120.0, 'edge': 0.1675765472502555, 'ev': 0.3072236699588017, 'ev_pct': 30.72236699588017, 'book': 'draftkings'}",model 0.0 vs line 14.5 (-14.5),0.0,"['EV 30.7%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Julie Allemand,TOR,"[{'market': 'ast', 'side': 'UNDER', 'line': 4.5, 'price': -120.0, 'edge': 0.05561281930202899, 'ev': 0.10195683538705314, 'ev_pct': 10.195683538705314, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 4.5, 'price': -125.0, 'edge': 0.05409766778687741, 'ev': 0.09737580201637941, 'ev_pct': 9.737580201637941, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 9.5, 'price': 100.0, 'edge': 0.1688410921569402, 'ev': 0.3376821843138804, 'ev_pct': 33.76821843138804, 'book': 'draftkings'}]",[],[],"{'pts': 0.865, 'reb': 0.605, 'ast': 1.05, 'threes': 0.145, 'stl': 0.176, 'blk': 0.144, 'tov': 0.48, 'pra': 2.52, 'pr': 1.47, 'pa': 1.915, 'ra': 1.655}","[{'market': 'pts', 'side': 'UNDER', 'line': 9.5, 'price': 100.0, 'edge': 0.1688410921569402, 'ev': 0.3376821843138804, 'ev_pct': 33.76821843138804, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 4.5, 'price': -120.0, 'edge': 0.05561281930202899, 'ev': 0.10195683538705314, 'ev_pct': 10.195683538705314, 'book': 'draftkings'}]","{'market': 'pts', 'side': 'UNDER', 'line': 9.5, 'price': 100.0, 'edge': 0.1688410921569402, 'ev': 0.3376821843138804, 'ev_pct': 33.76821843138804, 'book': 'draftkings'}",model 0.9 vs line 9.5 (-8.6),0.865,"['EV 33.8%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Erica Wheeler,LAS,"[{'market': 'ast', 'side': 'OVER', 'line': 4.5, 'price': 105.0, 'edge': 0.04207210043806486, 'ev': 0.08624780589803294, 'ev_pct': 8.624780589803294, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 4.5, 'price': -102.0, 'edge': 0.03950025788795619, 'ev': 0.07822600091536425, 'ev_pct': 7.822600091536424, 'book': 'williamhill_us'}, {'market': 'ast', 'side': 'OVER', 'line': 4.5, 'price': -106.0, 'edge': 0.03805836612596447, 'ev': 0.07396248511272341, 'ev_pct': 7.396248511272341, 'book': 'fanduel'}, {'market': 'ast', 'side': 'OVER', 'line': 4.5, 'price': -112.0, 'edge': 0.035997549126513984, 'ev': 0.06813821798947295, 'ev_pct': 6.813821798947295, 'book': 'betrivers'}, {'market': 'pa', 'side': 'UNDER', 'line': 12.5, 'price': -110.0, 'edge': 0.008733306159584564, 'ev': 0.016672675395570546, 'ev_pct': 1.6672675395570546, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 10.5, 'price': -128.0, 'edge': 0.010839119495313132, 'ev': 0.019307181601026457, 'ev_pct': 1.9307181601026457, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 116.0, 'edge': 0.09912888834382988, 'ev': 0.21411839882267247, 'ev_pct': 21.411839882267248, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 100.0, 'edge': 0.0909807401956817, 'ev': 0.1819614803913634, 'ev_pct': 18.19614803913634, 'book': 'draftkings'}]",[],[],"{'pts': 6.6450000000000005, 'reb': 3.31, 'ast': 5.51, 'threes': 1.125, 'stl': 0.6439839999999999, 'blk': 0.5268959999999999, 'tov': 1.75632, 'pra': 15.465, 'pr': 9.955, 'pa': 12.155000000000001, 'ra': 8.82}","[{'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 116.0, 'edge': 0.09912888834382988, 'ev': 0.21411839882267247, 'ev_pct': 21.411839882267248, 'book': 'fanduel'}, {'market': 'ast', 'side': 'OVER', 'line': 4.5, 'price': 105.0, 'edge': 0.04207210043806486, 'ev': 0.08624780589803294, 'ev_pct': 8.624780589803294, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 10.5, 'price': -128.0, 'edge': 0.010839119495313132, 'ev': 0.019307181601026457, 'ev_pct': 1.9307181601026457, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 12.5, 'price': -110.0, 'edge': 0.008733306159584564, 'ev': 0.016672675395570546, 'ev_pct': 1.6672675395570546, 'book': 'draftkings'}]","{'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 116.0, 'edge': 0.09912888834382988, 'ev': 0.21411839882267247, 'ev_pct': 21.411839882267248, 'book': 'fanduel'}",model 8.8 vs line 6.5 (+2.3),8.82,"['EV 21.4%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Jade Melbourne,SEA,"[{'market': 'pa', 'side': 'OVER', 'line': 10.5, 'price': -122.0, 'edge': 0.007786517927314884, 'ev': 0.014168909671015695, 'ev_pct': 1.4168909671015695, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 9.5, 'price': -110.0, 'edge': 0.031790187140739, 'ev': 0.06069035726868355, 'ev_pct': 6.069035726868355, 'book': 'draftkings'}]",[],[],"{'pts': 6.498059555555556, 'reb': 2.171640444444445, 'ast': 4.423586222222222, 'threes': 0.0724444444444444, 'stl': 1.3372237037037036, 'blk': 0.3343059259259259, 'tov': 2.674447407407407, 'pra': 13.093286222222222, 'pr': 8.6697, 'pa': 10.921645777777778, 'ra': 6.595226666666667}","[{'market': 'pr', 'side': 'UNDER', 'line': 9.5, 'price': -110.0, 'edge': 0.031790187140739, 'ev': 0.06069035726868355, 'ev_pct': 6.069035726868355, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 10.5, 'price': -122.0, 'edge': 0.007786517927314884, 'ev': 0.014168909671015695, 'ev_pct': 1.4168909671015695, 'book': 'draftkings'}]","{'market': 'pr', 'side': 'UNDER', 'line': 9.5, 'price': -110.0, 'edge': 0.031790187140739, 'ev': 0.06069035726868355, 'ev_pct': 6.069035726868355, 'book': 'draftkings'}",model 8.7 vs line 9.5 (-0.8),8.6697,"['EV 6.1%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Kelsey Plum,LAS,"[{'market': 'ast', 'side': 'OVER', 'line': 5.5, 'price': -150.0, 'edge': 0.035240738395565074, 'ev': 0.0587345639926084, 'ev_pct': 5.87345639926084, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 6.5, 'price': 104.0, 'edge': 0.026084494050071905, 'ev': 0.05321236786214667, 'ev_pct': 5.3212367862146674, 'book': 'betrivers'}, {'market': 'pa', 'side': 'OVER', 'line': 26.5, 'price': -122.0, 'edge': 0.07504767805912971, 'ev': 0.13656216827153123, 'ev_pct': 13.656216827153123, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 26.5, 'price': -122.0, 'edge': 0.07504767805912971, 'ev': 0.13656216827153123, 'ev_pct': 13.656216827153123, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 22.5, 'price': -129.0, 'edge': 0.06549543154587589, 'ev': 0.11626708390702001, 'ev_pct': 11.626708390702001, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 22.5, 'price': -130.0, 'edge': 0.06507773646328618, 'ev': 0.11513753374273705, 'ev_pct': 11.513753374273705, 'book': 'fanduel'}, {'market': 'pts', 'side': 'OVER', 'line': 21.5, 'price': 102.0, 'edge': 0.15276815033590274, 'ev': 0.30859166367852353, 'ev_pct': 30.859166367852353, 'book': 'betrivers'}, {'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': -104.0, 'edge': 0.03126206829803113, 'ev': 0.06132174935383028, 'ev_pct': 6.132174935383028, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': -106.0, 'edge': 0.030215047547983542, 'ev': 0.05871980938570387, 'ev_pct': 5.8719809385703865, 'book': 'fanduel'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': 120.0, 'edge': 0.4434122240958552, 'ev': 0.9755068930108812, 'ev_pct': 97.55068930108813, 'book': 'fanduel'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': 118.0, 'edge': 0.43924208231103445, 'ev': 0.9575477394380552, 'ev_pct': 95.75477394380552, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': 114.0, 'edge': 0.4306679590151415, 'ev': 0.9216294322924028, 'ev_pct': 92.16294322924028, 'book': 'betrivers'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': 110.0, 'edge': 0.42176720245083354, 'ev': 0.8857111251467504, 'ev_pct': 88.57111251467504, 'book': 'draftkings'}]",[],[],"{'pts': 28.18, 'reb': 2.04, 'ast': 7.27, 'threes': 3.77, 'stl': 0.7726344999999999, 'blk': 0.6321554999999999, 'tov': 2.107185, 'pra': 37.49, 'pr': 30.22, 'pa': 35.45, 'ra': 9.309999999999999}","[{'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': 120.0, 'edge': 0.4434122240958552, 'ev': 0.9755068930108812, 'ev_pct': 97.55068930108813, 'book': 'fanduel'}, {'market': 'pts', 'side': 'OVER', 'line': 21.5, 'price': 102.0, 'edge': 0.15276815033590274, 'ev': 0.30859166367852353, 'ev_pct': 30.859166367852353, 'book': 'betrivers'}, {'market': 'pa', 'side': 'OVER', 'line': 26.5, 'price': -122.0, 'edge': 0.07504767805912971, 'ev': 0.13656216827153123, 'ev_pct': 13.656216827153123, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 22.5, 'price': -129.0, 'edge': 0.06549543154587589, 'ev': 0.11626708390702001, 'ev_pct': 11.626708390702001, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': -104.0, 'edge': 0.03126206829803113, 'ev': 0.06132174935383028, 'ev_pct': 6.132174935383028, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 6.5, 'price': 104.0, 'edge': 0.026084494050071905, 'ev': 0.05321236786214667, 'ev_pct': 5.3212367862146674, 'book': 'betrivers'}]","{'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': 120.0, 'edge': 0.4434122240958552, 'ev': 0.9755068930108812, 'ev_pct': 97.55068930108813, 'book': 'fanduel'}",model 3.8 vs line 2.5 (+1.3),3.77,"['EV 97.6%', 'Regular price range (-150 to +150)', 'Consensus: 4 books aligned', 'Best line available']",0.75,1.0
Ariel Atkins,LAS,"[{'market': 'pa', 'side': 'UNDER', 'line': 12.5, 'price': -116.0, 'edge': 0.05640643943858947, 'ev': 0.10503268033392532, 'ev_pct': 10.503268033392532, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 13.5, 'price': -113.0, 'edge': 0.08291226912198235, 'ev': 0.15628595861046235, 'ev_pct': 15.628595861046236, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 13.5, 'price': -118.0, 'edge': 0.0805433153381171, 'ev': 0.1488003622348264, 'ev_pct': 14.88003622348264, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': -143.0, 'edge': 0.03829124714676979, 'ev': 0.06506834305360176, 'ev_pct': 6.506834305360176, 'book': 'williamhill_us'}]",[],[],"{'pts': 8.036666666666667, 'reb': 2.49, 'ast': 2.6266666666666665, 'threes': 1.1333333333333333, 'stl': 0.5591556666666666, 'blk': 0.4574909999999999, 'tov': 1.52497, 'pra': 13.153333333333334, 'pr': 10.526666666666667, 'pa': 10.663333333333334, 'ra': 5.116666666666667}","[{'market': 'pr', 'side': 'UNDER', 'line': 13.5, 'price': -113.0, 'edge': 0.08291226912198235, 'ev': 0.15628595861046235, 'ev_pct': 15.628595861046236, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 12.5, 'price': -116.0, 'edge': 0.05640643943858947, 'ev': 0.10503268033392532, 'ev_pct': 10.503268033392532, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': -143.0, 'edge': 0.03829124714676979, 'ev': 0.06506834305360176, 'ev_pct': 6.506834305360176, 'book': 'williamhill_us'}]","{'market': 'pr', 'side': 'UNDER', 'line': 13.5, 'price': -113.0, 'edge': 0.08291226912198235, 'ev': 0.15628595861046235, 'ev_pct': 15.628595861046236, 'book': 'draftkings'}",model 10.5 vs line 13.5 (-3.0),10.526666666666667,"['EV 15.6%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Dearica Hamby,LAS,"[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': -120.0, 'edge': 0.029504904567932755, 'ev': 0.05409232504120998, 'ev_pct': 5.409232504120998, 'book': 'fanduel'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': -120.0, 'edge': 0.029504904567932755, 'ev': 0.05409232504120998, 'ev_pct': 5.409232504120998, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': -124.0, 'edge': 0.028287372100400332, 'ev': 0.0510997689555619, 'ev_pct': 5.10997689555619, 'book': 'betrivers'}, {'market': 'pa', 'side': 'OVER', 'line': 17.5, 'price': -108.0, 'edge': 0.06840404967137714, 'ev': 0.13174113270043009, 'ev_pct': 13.174113270043009, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 17.5, 'price': -110.0, 'edge': 0.06739672366405114, 'ev': 0.1286664724495522, 'ev_pct': 12.866647244955221, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 22.5, 'price': -116.0, 'edge': 0.060690666361256196, 'ev': 0.11301020632785641, 'ev_pct': 11.30102063278564, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 10.5, 'price': -111.0, 'edge': 0.0230547151792323, 'ev': 0.043824728854216344, 'ev_pct': 4.382472885421635, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 10.5, 'price': -114.0, 'edge': 0.021593050653387458, 'ev': 0.0405343231563588, 'ev_pct': 4.05343231563588, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': -120.0, 'edge': 0.01078734099180656, 'ev': 0.01977679181831199, 'ev_pct': 1.977679181831199, 'book': 'betrivers'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': -129.0, 'edge': 0.008107706216101906, 'ev': 0.014392749794475468, 'ev_pct': 1.4392749794475468, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': -130.0, 'edge': 0.007822914114336221, 'ev': 0.013840540356133246, 'ev_pct': 1.3840540356133246, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': -137.0, 'edge': 0.005896662050494661, 'ev': 0.010200794934067503, 'ev_pct': 1.0200794934067503, 'book': 'williamhill_us'}]",[],[],"{'pts': 18.98, 'reb': 8.105, 'ast': 3.15, 'threes': 0.9299999999999998, 'stl': 0.7068380000000001, 'blk': 0.578322, 'tov': 1.92774, 'pra': 30.235, 'pr': 27.085, 'pa': 22.13, 'ra': 11.255}","[{'market': 'pa', 'side': 'OVER', 'line': 17.5, 'price': -108.0, 'edge': 0.06840404967137714, 'ev': 0.13174113270043009, 'ev_pct': 13.174113270043009, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 22.5, 'price': -116.0, 'edge': 0.060690666361256196, 'ev': 0.11301020632785641, 'ev_pct': 11.30102063278564, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': -120.0, 'edge': 0.029504904567932755, 'ev': 0.05409232504120998, 'ev_pct': 5.409232504120998, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 10.5, 'price': -111.0, 'edge': 0.0230547151792323, 'ev': 0.043824728854216344, 'ev_pct': 4.382472885421635, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': -120.0, 'edge': 0.01078734099180656, 'ev': 0.01977679181831199, 'ev_pct': 1.977679181831199, 'book': 'betrivers'}]","{'market': 'pa', 'side': 'OVER', 'line': 17.5, 'price': -108.0, 'edge': 0.06840404967137714, 'ev': 0.13174113270043009, 'ev_pct': 13.174113270043009, 'book': 'draftkings'}",model 22.1 vs line 17.5 (+4.6),22.13,"['EV 13.2%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
