market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Las Vegas Aces,Golden State Valkyries,Las Vegas Aces,2026-05-31,0.04875,-110.0,0.52381,4.875,2.5,2.375,2.5,,High
TOTAL,Under,Golden State Valkyries,Las Vegas Aces,2026-05-31,0.029858,-110.0,0.52381,-2.985771,168.0,,,165.014229,Medium
