date,game_id,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,total,bookmaker,home_tri,away_tri
2026-06-12,1,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanduel,WSH,TOR
2026-06-12,2,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanduel,WSH,TOR
2026-06-12,3,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanduel,WSH,TOR
2026-06-12,4,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanduel,WSH,TOR
2026-06-12,5,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanduel,WSH,TOR
2026-06-12,6,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanduel,WSH,TOR
2026-06-12,7,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,mybookieag,WSH,TOR
2026-06-12,8,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,mybookieag,WSH,TOR
2026-06-12,9,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,mybookieag,WSH,TOR
2026-06-12,10,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,mybookieag,WSH,TOR
2026-06-12,11,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,mybookieag,WSH,TOR
2026-06-12,12,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,mybookieag,WSH,TOR
2026-06-12,13,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,draftkings,WSH,TOR
2026-06-12,14,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,draftkings,WSH,TOR
2026-06-12,15,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,draftkings,WSH,TOR
2026-06-12,16,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,draftkings,WSH,TOR
2026-06-12,17,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,draftkings,WSH,TOR
2026-06-12,18,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,draftkings,WSH,TOR
2026-06-12,19,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanatics,WSH,TOR
2026-06-12,20,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanatics,WSH,TOR
2026-06-12,21,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanatics,WSH,TOR
2026-06-12,22,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanatics,WSH,TOR
2026-06-12,23,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanatics,WSH,TOR
2026-06-12,24,Washington Mystics,Toronto Tempo,2026-06-12T23:30:00Z,,,,,,fanatics,WSH,TOR
