date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2026-06-01,2026-06-01T17:57:38.476973+00:00,2529130,Natasha Howard,MIN,ast,OVER,3.5,123,0.4484304932735426,0.49261924650927846,0.7430221815117816,0.044188753235735845,0.09854091971569101,draftkings,DraftKings,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,2529130,Natasha Howard,MIN,ast,OVER,3.5,122,0.45045045045045046,0.4943362101096501,0.7430221815117816,0.043885759659199663,0.09742638644342327,fanduel,FanDuel,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,2529130,Natasha Howard,MIN,ast,OVER,3.5,122,0.45045045045045046,0.4943362101096501,0.7430221815117816,0.043885759659199663,0.09742638644342327,williamhill_us,Caesars,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,2529130,Natasha Howard,MIN,ast,OVER,3.5,115,0.46511627906976744,0.5068021644360695,0.7430221815117816,0.04168588536630208,0.08962465353754945,betrivers,BetRivers,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,5274110,Monique Akoa Makani,PHX,ast,UNDER,3.5,-174,0.635036496350365,0.6882810218978103,0.9997673709015444,0.0532445255474453,0.08384482758620693,fanduel,FanDuel,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,5274110,Monique Akoa Makani,PHX,ast,UNDER,3.5,-176,0.6376811594202898,0.6905289855072463,0.9997673709015444,0.052847826086956484,0.08287499999999987,williamhill_us,Caesars,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,5274110,Monique Akoa Makani,PHX,ast,UNDER,3.5,-182,0.6453900709219859,0.697081560283688,0.9997673709015444,0.05169148936170209,0.08009340659340664,draftkings,DraftKings,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,4433791,Olivia Miles,MIN,ast,UNDER,5.5,118,0.45871559633027525,0.4948178897683162,0.6993975525838816,0.036102293438040944,0.07870299969492933,fanduel,FanDuel,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,2529140,Alyssa Thomas,PHX,ast,UNDER,8.5,-102,0.504950495049505,0.5424348232925454,0.7548460166697747,0.03748432824304049,0.0742336696577861,draftkings,DraftKings,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
2026-06-01,2026-06-01T17:57:38.476973+00:00,4433791,Olivia Miles,MIN,ast,UNDER,5.5,113,0.4694835680751174,0.503970665751432,0.6993975525838816,0.03448709767631464,0.07345751805055012,draftkings,DraftKings,2026-06-02T02:00:00Z,Phoenix Mercury,Minnesota Lynx
