market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Atlanta Dream,Portland Fire,Atlanta Dream,2026-05-29,0.152647,-110.0,0.52381,15.264736,8.5,6.764736,8.5,,High
TOTAL,Over,Portland Fire,Atlanta Dream,2026-05-29,0.044625,-110.0,0.52381,4.4625,164.0,,,168.4625,High
ATS,New York Liberty,New York Liberty,Phoenix Mercury,2026-05-29,0.113785,-110.0,0.52381,11.378523,5.5,5.878523,-5.5,,High
TOTAL,Under,New York Liberty,Phoenix Mercury,2026-05-29,0.020238,-110.0,0.52381,-2.023768,170.5,,,168.476232,Medium
ATS,Washington Mystics,Washington Mystics,Los Angeles Sparks,2026-05-29,0.054387,-110.0,0.52381,5.438746,2.5,2.938746,-2.5,,High
TOTAL,Under,Washington Mystics,Los Angeles Sparks,2026-05-29,0.01158,-110.0,0.52381,-1.157966,166.0,,,164.842034,Low
ATS,Minnesota Lynx,Chicago Sky,Minnesota Lynx,2026-05-29,0.07936,-110.0,0.52381,7.935952,4.5,3.435952,4.5,,High
TOTAL,Under,Chicago Sky,Minnesota Lynx,2026-05-29,0.01504,-110.0,0.52381,-1.504034,172.5,,,170.995966,Low
