game_id,gameId,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MIN,PTS,REB,AST,STL,BLK,TOV,OREB,DREB,PF,FGM,FGA,FG3M,FG3A,FTM,FTA,PLUS_MINUS,STARTER,START_POSITION,source,date
401620340,401620340,ATL,3054590,Nia Coffey,29.0,11,3,1,1,0,0,1,2,1,4,6,1,1,2,2,-13.0,True,F,espn,2024-07-07
401620340,401620340,ATL,918,Tina Charles,23.0,13,3,4,0,2,0,1,2,2,5,14,1,2,2,2,-13.0,True,C,espn,2024-07-07
401620340,401620340,ATL,3058901,Allisha Gray,21.0,19,3,2,1,0,1,0,3,2,7,11,1,2,4,4,-11.0,True,G,espn,2024-07-07
401620340,401620340,ATL,4280850,Maya Caldwell,30.0,5,3,2,1,0,4,0,3,3,1,8,1,3,2,2,0.0,True,G,espn,2024-07-07
401620340,401620340,ATL,4595910,Haley Jones,21.0,2,0,0,0,0,0,0,0,3,1,3,0,0,0,0,-11.0,True,G,espn,2024-07-07
401620340,401620340,ATL,4281183,Lorela Cubaj,17.0,4,3,2,0,0,1,0,3,3,2,3,0,0,0,0,0.0,False,,espn,2024-07-07
401620340,401620340,ATL,4398915,Naz Hillmon,25.0,3,5,2,0,1,1,1,4,2,1,1,0,0,1,2,-16.0,False,,espn,2024-07-07
401620340,401620340,ATL,4432834,Laeticia Amihere,15.0,6,8,0,1,1,2,6,2,2,2,9,0,0,2,3,1.0,False,,espn,2024-07-07
401620340,401620340,ATL,4398751,Destanni Henderson,19.0,4,3,3,0,0,1,0,3,0,1,4,0,2,2,4,-2.0,False,,espn,2024-07-07
401620340,401620340,ATL,2529458,Cheyenne Parker-Tyus,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2024-07-07
401620340,401620340,ATL,2999035,Aerial Powers,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2024-07-07
401620340,401620340,ATL,3142250,Jordin Canada,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2024-07-07
401620340,401620340,ATL,4398674,Rhyne Howard,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2024-07-07
401620340,401620340,CON,869,DeWanna Bonner,31.0,23,4,1,1,1,0,0,4,2,7,11,7,9,2,2,13.0,True,F,espn,2024-07-07
