date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,expected_value,edge_pct,model_probability,market_probability
2026-06-10,2026-06-10T23:45:29.884074+00:00,4433514,Saniya Rivers,CON,ast,UNDER,5.5,138,0.42016806722689076,0.5006746010236391,0.9568782925385467,0.08050653379674838,0.19160555043626115,fanduel,FanDuel,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.19160555043626115,8.050653379674838,0.5006746010236391,0.42016806722689076
2026-06-10,2026-06-10T23:45:29.884074+00:00,4433514,Saniya Rivers,CON,ast,UNDER,5.5,125,0.4444444444444444,0.5213095216585597,0.9568782925385467,0.07686507721411528,0.17294642373175928,draftkings,DraftKings,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.17294642373175928,7.6865077214115285,0.5213095216585597,0.4444444444444444
2026-06-10,2026-06-10T23:45:29.884074+00:00,3904576,Marina Mabrey,TOR,ast,OVER,2.5,116,0.46296296296296297,0.5340265789623345,0.9367204029587732,0.07106361599937155,0.15349741055864252,fanduel,FanDuel,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.15349741055864252,7.106361599937156,0.5340265789623345,0.46296296296296297
2026-06-10,2026-06-10T23:45:29.884074+00:00,2988756,Brittney Sykes,TOR,ast,OVER,2.5,104,0.49019607843137253,0.5622329094264977,0.970441618398874,0.0720368309951252,0.14695513523005543,fanduel,FanDuel,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.14695513523005543,7.20368309951252,0.5622329094264977,0.49019607843137253
2026-06-10,2026-06-10T23:45:29.884074+00:00,5208981,Leïla Lacan,CON,ast,UNDER,5.5,-102,0.504950495049505,0.5771224038551575,0.9860965537538547,0.0721719088056525,0.14292868214452747,fanduel,FanDuel,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.14292868214452747,7.21719088056525,0.5771224038551575,0.504950495049505
2026-06-10,2026-06-10T23:45:29.884074+00:00,5208981,Leïla Lacan,CON,ast,UNDER,5.5,-105,0.5121951219512195,0.5832803367216148,0.9860965537538547,0.07108521477039531,0.13878541931362898,draftkings,DraftKings,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.13878541931362898,7.108521477039531,0.5832803367216148,0.5121951219512195
2026-06-10,2026-06-10T23:45:29.884074+00:00,4001679,Julie Allemand,TOR,ast,UNDER,4.5,-120,0.5454545454545454,0.6010673647565744,0.9162066741347386,0.05561281930202899,0.10195683538705314,draftkings,DraftKings,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.10195683538705314,5.561281930202899,0.6010673647565744,0.5454545454545454
2026-06-10,2026-06-10T23:45:29.884074+00:00,4001679,Julie Allemand,TOR,ast,UNDER,4.5,-125,0.5555555555555556,0.609653223342433,0.9162066741347386,0.05409766778687741,0.09737580201637941,fanduel,FanDuel,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.09737580201637941,5.409766778687741,0.609653223342433,0.5555555555555556
2026-06-10,2026-06-10T23:45:29.884074+00:00,2491214,Erica Wheeler,LAS,ast,OVER,4.5,105,0.4878048780487805,0.5298769784868453,0.7682855476358796,0.04207210043806486,0.08624780589803294,draftkings,DraftKings,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.08624780589803294,4.207210043806486,0.5298769784868453,0.4878048780487805
2026-06-10,2026-06-10T23:45:29.884074+00:00,2491214,Erica Wheeler,LAS,ast,OVER,4.5,-102,0.504950495049505,0.5444507529374611,0.7682855476358796,0.03950025788795619,0.07822600091536425,williamhill_us,Caesars,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.07822600091536425,3.950025788795619,0.5444507529374611,0.504950495049505
