league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
serie_a,2024,understat_11898,Mateo Retegui,Atalanta,F S,2435.0,36,3.8439,0.8523,0.2018,0.924,0.2957,1.4045,0.7515,False,understat
serie_a,2024,understat_1304,Moise Kean,Fiorentina,F S,2722.0,32,3.4717,0.7237,0.0768,0.6282,0.0992,0.6282,0.9451,False,understat
serie_a,2024,understat_5556,Ademola Lookman,Atalanta,F M S,2295.0,31,3.2157,0.5415,0.3485,0.5882,0.1961,2.3529,0.8226,False,understat
serie_a,2024,understat_6160,Riccardo Orsolini,Bologna,F M S,1914.0,30,3.5266,0.487,0.2188,0.7053,0.1881,1.4107,0.7089,False,understat
serie_a,2024,understat_594,Romelu Lukaku,Napoli,F S,2913.0,36,1.9773,0.4107,0.1311,0.4325,0.309,1.0505,0.8991,False,understat
serie_a,2024,understat_5992,Marcus Thuram,Inter,F S,2316.0,32,2.5259,0.4711,0.1766,0.544,0.1554,1.5155,0.8042,False,understat
serie_a,2024,understat_5560,Scott McTominay,Napoli,M S,2938.0,34,2.3281,0.2713,0.0869,0.3676,0.1225,0.7965,0.9601,False,understat
serie_a,2024,understat_7006,Lautaro Martínez,Inter,F,2605.0,31,3.524,0.5173,0.18,0.4146,0.1036,1.2783,0.9337,False,understat
serie_a,2024,understat_11736,Artem Dovbyk,Roma,F S,2454.0,32,2.3105,0.5265,0.1071,0.4401,0.0733,0.9169,0.8521,False,understat
serie_a,2024,understat_11936,Lorenzo Lucca,Udinese,F S,2369.0,33,2.5074,0.3515,0.0538,0.4559,0.038,0.5319,0.7976,False,understat
serie_a,2024,understat_2662,Christian Pulisic,AC Milan,F M S,2518.0,34,2.0373,0.4173,0.2579,0.3932,0.3217,2.4662,0.8229,False,understat
serie_a,2024,understat_12008,Nikola Krstovic,Lecce,F,3096.0,37,3.9826,0.3544,0.1038,0.3198,0.1453,0.8721,0.9297,False,understat
serie_a,2024,understat_687,Pedro,Lazio,F M S,1057.0,30,3.3207,0.5444,0.1228,0.8515,0.0851,1.8732,0.3915,False,understat
serie_a,2024,understat_4895,Andrea Pinamonti,Genoa,F S,2886.0,36,2.4636,0.2474,0.0574,0.3119,0.0312,0.4678,0.8907,False,understat
serie_a,2024,understat_7084,Dusan Vlahovic,Juventus,F S,1793.0,29,3.865,0.7577,0.0876,0.502,0.2008,0.8031,0.687,False,understat
serie_a,2024,understat_7375,Roberto Piccoli,Cagliari,F,3180.0,37,2.7453,0.507,0.0324,0.283,0.0283,0.3113,0.955,False,understat
serie_a,2024,understat_10948,Valentín Castellanos,Lazio,F S,2407.0,29,4.0382,0.6032,0.1357,0.3739,0.1122,0.9722,0.9222,False,understat
serie_a,2024,understat_11965,Tijjani Reijnders,AC Milan,M S,3136.0,37,2.2098,0.2315,0.1431,0.287,0.1148,1.3202,0.9417,False,understat
serie_a,2024,understat_7224,Boulaye Dia,Lazio,F M S,2220.0,35,1.5811,0.2797,0.1869,0.3649,0.1216,1.0541,0.7048,False,understat
serie_a,2024,understat_7700,Che Adams,Torino,F S,2650.0,36,2.1736,0.3231,0.0741,0.3057,0.1019,0.883,0.8179,False,understat
serie_a,2024,understat_942,Florian Thauvin,Udinese,F M S,2010.0,25,2.4179,0.4181,0.2187,0.3582,0.1343,1.7015,0.8933,False,understat
serie_a,2024,understat_1958,Mattia Zaccagni,Lazio,F M S,2750.0,34,1.5709,0.225,0.1707,0.2618,0.1964,1.8,0.8987,False,understat
serie_a,2024,understat_5743,Randal Kolo Muani,Juventus,F M S,1175.0,16,1.9915,0.3682,0.109,0.6128,0.0766,1.3021,0.816,False,understat
serie_a,2024,understat_7193,Rafael Leão,AC Milan,F M S,2329.0,34,2.5891,0.3351,0.2916,0.3091,0.3091,2.2413,0.7611,False,understat
serie_a,2024,understat_7969,Sebastiano Esposito,Empoli,F M S,2370.0,33,2.3165,0.2369,0.0896,0.3038,0.0,1.3291,0.798,False,understat
serie_a,2024,understat_8662,Dan Ndoye,Bologna,F M S,2166.0,30,2.1607,0.3555,0.1697,0.3324,0.1662,1.1634,0.8022,False,understat
serie_a,2024,understat_12081,Assane Diao,Como,F M S,1268.0,15,1.9874,0.2496,0.0554,0.5678,0.071,0.5678,0.9393,False,understat
serie_a,2024,understat_12528,Santiago Castro,Bologna,F S,2313.0,36,2.4514,0.3321,0.1219,0.3113,0.1556,1.1284,0.7139,False,understat
serie_a,2024,understat_4918,Patrick Cutrone,Como,F S,2058.0,33,3.0175,0.3851,0.1262,0.3061,0.1749,0.8309,0.6929,False,understat
serie_a,2024,understat_8297,Alexis Saelemaekers,"AC Milan,Roma",D F M S,1510.0,23,1.4901,0.1831,0.1788,0.4172,0.1788,1.5497,0.7295,False,understat
serie_a,2024,understat_9840,Denzel Dumfries,Inter,D M S,1929.0,29,1.7263,0.286,0.1724,0.3266,0.0933,0.9798,0.7391,False,understat
serie_a,2024,understat_10877,Charles De Ketelaere,Atalanta,F M S,2092.0,36,2.065,0.4068,0.2878,0.3011,0.3011,1.6778,0.6457,False,understat
serie_a,2024,understat_11942,Kenan Yildiz,Juventus,F M S,2414.0,35,2.2742,0.1832,0.2111,0.261,0.1491,2.0878,0.7663,False,understat
serie_a,2024,understat_1294,Paulo Dybala,Roma,F M S,1431.0,24,3.1447,0.4464,0.3916,0.3774,0.1887,2.5157,0.6625,False,understat
serie_a,2024,understat_5222,Joel Pohjanpalo,Venezia,F S,1635.0,20,2.0917,0.4097,0.0959,0.3303,0.0,0.7706,0.9083,False,understat
serie_a,2024,understat_6434,Franck Zambo,Napoli,M S,2862.0,35,1.3836,0.1592,0.0826,0.1887,0.1258,0.8176,0.9086,False,understat
serie_a,2024,understat_7005,Jens Odgaard,Bologna,F M S,1987.0,29,2.2194,0.2406,0.1166,0.2718,0.0453,0.77,0.7613,False,understat
serie_a,2024,understat_7500,Giacomo Raspadori,Napoli,F M S,1110.0,26,3.4054,0.4123,0.1776,0.4865,0.0811,2.3514,0.4744,False,understat
serie_a,2024,understat_7944,Gabriel Strefezza,Como,F M S,2648.0,37,1.9373,0.1356,0.147,0.2039,0.136,1.9373,0.7952,False,understat
serie_a,2024,understat_8163,Daniel Maldini,"Atalanta,Monza",F M S,1574.0,30,2.8018,0.3834,0.0971,0.3431,0.0,0.9149,0.583,False,understat
