team_id,team,player_id,player_name,jersey,position,position_abbreviation,age,height,weight,date_of_birth,headshot_url
172,AJ Auxerre,243748,Danny Namaso,,Midfielder,M,25.0,72.0,170.0,2000-08-28T07:00Z,
172,AJ Auxerre,255625,Thelonius Bair,,Forward,F,26.0,76.0,223.0,1999-08-27T07:00Z,https://a.espncdn.com/i/headshots/soccer/players/full/255625.png
172,AJ Auxerre,280466,Eros Maddy,,Forward,F,25.0,70.0,157.0,2001-02-05T08:00Z,
172,AJ Auxerre,379070,Rayan Mandengue,,Forward,F,20.0,,,2006-01-06T08:00Z,
172,AJ Auxerre,164165,Donovan Léon,16,Goalkeeper,G,33.0,74.0,205.0,1992-11-03T08:00Z,
172,AJ Auxerre,312151,Théo De Percin,40,Goalkeeper,G,25.0,73.0,179.0,2001-02-02T08:00Z,
172,AJ Auxerre,345926,Mamadou Diop,23,Goalkeeper,G,26.0,80.0,207.0,2000-01-03T08:00Z,
172,AJ Auxerre,409261,Louis Mezerette,37,Goalkeeper,G,19.0,,,2006-08-30T07:00Z,
172,AJ Auxerre,218620,Francisco Sierralta,4,Defender,D,29.0,75.0,183.0,1997-05-06T07:00Z,
172,AJ Auxerre,264484,Gideon Mensah,14,Defender,D,28.0,70.0,152.0,1998-07-18T07:00Z,
172,AJ Auxerre,299908,Saad Agouzoul,,Defender,D,28.0,75.0,163.0,1997-08-10T07:00Z,
172,AJ Auxerre,302862,Sinaly Diomande,20,Defender,D,25.0,72.0,161.0,2001-04-09T07:00Z,
172,AJ Auxerre,309638,Marvin Senaya,29,Defender,D,25.0,71.0,168.0,2001-01-28T08:00Z,
172,AJ Auxerre,310134,Fredrik Oppegard,22,Defender,D,23.0,69.0,148.0,2002-08-07T07:00Z,https://a.espncdn.com/i/headshots/soccer/players/full/310134.png
172,AJ Auxerre,321097,Bryan Okoh,24,Defender,D,23.0,74.0,192.0,2003-05-16T07:00Z,
