league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
belgian_pro_league,252523,Ortwin De Wolf,KV Mechelen,Goalkeeper,True,7,6,585.0,0.0,0.0,0.0,,0.1667,espn_true_per90
belgian_pro_league,328300,Redouane Halhal,KV Mechelen,Center Defender,False,32,31,2759.0,0.3914,0.0326,0.0652,0.3333,0.786,espn_true_per90
belgian_pro_league,297827,José Marsà,KV Mechelen,Center Left Defender,False,32,27,2503.0,0.5394,0.036,0.0719,0.2,0.7131,espn_true_per90
belgian_pro_league,157133,Rob Schoofs,Union St.-Gilloise,Center Left Midfielder,False,35,19,1907.0,1.935,0.1888,0.236,0.2683,0.5433,espn_true_per90
belgian_pro_league,273992,Fredrik Hammar,KV Mechelen,Center Right Midfielder,False,37,37,3276.0,0.7692,0.0275,0.0275,0.2143,0.9333,espn_true_per90
belgian_pro_league,357005,Bilal Bafdili,KV Mechelen,Attacking Midfielder,False,18,11,839.0,1.18,0.1073,0.3218,0.3636,0.239,espn_true_per90
belgian_pro_league,403413,Moncef Zekri,KV Mechelen,Left Midfielder,False,15,10,767.0,0.8214,0.0,0.0,0.5714,0.2185,espn_true_per90
belgian_pro_league,206569,Patrick Pflücke,Royal Charleroi SC,Right Midfielder,False,40,32,2559.0,2.1454,0.1407,0.2814,0.3443,0.7291,espn_true_per90
belgian_pro_league,226416,Kerim Mrabti,KV Mechelen,Center Left Forward,False,32,27,2227.0,1.1316,0.2021,0.0808,0.3571,0.6345,espn_true_per90
belgian_pro_league,259357,Lion Lauberbach,KV Mechelen,Center Right Forward,False,21,20,1811.0,2.3357,0.2485,0.0497,0.5106,0.516,espn_true_per90
belgian_pro_league,261209,Mory Konaté,KV Mechelen,Substitute,False,30,23,2002.0,0.5844,0.0899,0.045,0.3846,0.5704,espn_true_per90
belgian_pro_league,408133,Ian Struyf,KV Mechelen,Substitute,False,11,6,427.0,0.2108,0.0,0.0,0.0,0.1217,espn_true_per90
belgian_pro_league,387507,Halil Özdemir,KV Mechelen,Substitute,False,6,1,149.0,0.604,0.0,0.0,0.0,0.0425,espn_true_per90
belgian_pro_league,282238,Ryan Teague,KV Mechelen,Substitute,False,4,0,18.0,0.0,0.0,0.0,,0.0051,espn_true_per90
belgian_pro_league,202101,Nordin Jackers,Club Brugge,Goalkeeper,True,21,20,1801.0,0.0,0.0,0.0,,0.5131,espn_true_per90
belgian_pro_league,191222,Brandon Mechele,Club Brugge,Center Right Defender,False,38,38,3345.0,0.8341,0.1076,0.0538,0.3871,0.953,espn_true_per90
belgian_pro_league,363068,Joaquin Seys,Club Brugge,Left Back,False,38,34,2888.0,0.4986,0.0623,0.1558,0.25,0.8228,espn_true_per90
belgian_pro_league,351301,Jorne Spileers,Club Brugge,Right Back,False,22,12,1136.0,0.2377,0.0,0.0792,0.0,0.3236,espn_true_per90
belgian_pro_league,320882,Raphael Onyedika,Club Brugge,Center Midfielder,False,29,21,1908.0,1.3208,0.0472,0.0,0.3929,0.5436,espn_true_per90
belgian_pro_league,193849,Hans Vanaken,Club Brugge,Left Midfielder,False,38,37,3276.0,1.5659,0.1923,0.0824,0.3684,0.9333,espn_true_per90
belgian_pro_league,261363,Ludovit Reis,Club Brugge,Right Midfielder,False,6,2,220.0,1.6364,0.0,0.0,0.5,0.0627,espn_true_per90
belgian_pro_league,360422,Romeo Vermant,Club Brugge,Forward,False,34,12,1235.0,3.3522,0.583,0.0729,0.413,0.3519,espn_true_per90
belgian_pro_league,303793,Christos Tzolis,Club Brugge,Left Forward,False,35,33,2982.0,3.5614,0.5131,0.6942,0.3644,0.8496,espn_true_per90
belgian_pro_league,255261,Hugo Vetlesen,Club Brugge,Right Forward,False,24,14,1244.0,2.6045,0.3617,0.4341,0.3889,0.3544,espn_true_per90
belgian_pro_league,304618,Bjorn Meijer,Club Brugge,Substitute,False,26,9,991.0,1.1806,0.0908,0.0908,0.3077,0.2823,espn_true_per90
belgian_pro_league,288481,Michal Skoras,KAA Gent,Substitute,False,33,31,2654.0,1.3904,0.0678,0.2374,0.2439,0.7372,espn_true_per90
belgian_pro_league,240109,Aleksandar Stankovic,Club Brugge,Substitute,False,39,34,3076.0,2.1651,0.1756,0.0585,0.3378,0.8764,espn_true_per90
belgian_pro_league,78836,Carlos Forbs,Club Brugge,Substitute,False,36,34,2775.0,1.8486,0.2595,0.2595,0.3684,0.7906,espn_true_per90
belgian_pro_league,335201,Nicolo Tresoldi,Club Brugge,Substitute,False,39,29,2492.0,3.6477,0.6862,0.1806,0.3861,0.71,espn_true_per90
belgian_pro_league,306840,Andreas Jungdal,KVC Westerlo,Goalkeeper,True,39,39,3510.0,0.0,0.0,0.0,,1.0,espn_true_per90
belgian_pro_league,122282,Roman Neustädter,KVC Westerlo,Center Left Defender,False,17,16,1302.0,0.3456,0.0,0.0,0.2,0.3709,espn_true_per90
belgian_pro_league,299391,Emin Bayram,KVC Westerlo,Center Right Defender,False,37,37,3232.0,1.1139,0.1114,0.0278,0.3,0.9208,espn_true_per90
belgian_pro_league,323129,Tuur Rommens,KVC Westerlo,Left Back,False,14,13,1133.0,0.556,0.0,0.0794,0.2857,0.3228,espn_true_per90
belgian_pro_league,250758,Bryan Reynolds,KVC Westerlo,Right Back,False,38,38,3404.0,0.5552,0.0529,0.0793,0.381,0.9698,espn_true_per90
