team_id,abbreviation,location,display_name,primary_color,secondary_color,logo_url,source_snapshot_date
21607,AVF,Académico de Viseu,Académico de Viseu,#000000,#c60000,,2026-07-20
21613,ALV,Alverca,Alverca,#0047ab,#c60000,https://a.espncdn.com/i/teamlogos/soccer/500/21613.png,2026-07-20
15784,FCA,Arouca,Arouca,#ffea01,#293dc2,https://a.espncdn.com/i/teamlogos/soccer/500/15784.png,2026-07-20
1929,SLB,Benfica,Benfica,#ca281d,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/1929.png,2026-07-20
2994,SCB,Braga,Braga,#de1f26,#2b6a36,https://a.espncdn.com/i/teamlogos/soccer/500/2994.png,2026-07-20
3472,CDN,C.D. Nacional,C.D. Nacional,#000000,#000099,https://a.espncdn.com/i/teamlogos/soccer/500/3472.png,2026-07-20
21581,CPAC,Casa Pia,Casa Pia,#000000,#c60000,https://a.espncdn.com/i/teamlogos/soccer/500/21581.png,2026-07-20
12216,EPF,Estoril,Estoril,#ffea01,#293dc2,https://a.espncdn.com/i/teamlogos/soccer/500/12216.png,2026-07-20
21610,EST,Estrela,Estrela,#3b8132,#de0a26,https://a.espncdn.com/i/teamlogos/soccer/500/21610.png,2026-07-20
12698,FCF,FC Famalicao,FC Famalicao,#ffffff,#183760,https://a.espncdn.com/i/teamlogos/soccer/500/12698.png,2026-07-20
437,FCP,FC Porto,FC Porto,#0000dd,#ffa000,https://a.espncdn.com/i/teamlogos/soccer/500/437.png,2026-07-20
3699,GVFC,Gil Vicente,Gil Vicente,#de1f26,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/3699.png,2026-07-20
552,MAR,Maritimo,Maritimo,#008222,#01e5db,https://a.espncdn.com/i/teamlogos/soccer/500/552.png,2026-07-20
3696,MFC,Moreirense,Moreirense,#288a00,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/3696.png,2026-07-20
3822,RAFC,Rio Ave,Rio Ave,#3b8649,#ff621a,https://a.espncdn.com/i/teamlogos/soccer/500/3822.png,2026-07-20
12215,CDSC,Santa Clara,Santa Clara,#c60000,#ddbf64,https://a.espncdn.com/i/teamlogos/soccer/500/12215.png,2026-07-20
2250,SCP,Sporting CP,Sporting CP,#008127,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/2250.png,2026-07-20
5309,VSC,Vitória de Guimaraes,Vitória de Guimaraes,#ffffff,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/5309.png,2026-07-20
