event_key,segment,market,selection,line,price,snapshot_ts
Arizona Diamondbacks @ Miami Marlins,first7,spread_away,away,8.5,-310,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,first7,spread_home,home,-8.5,+210,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,first7,total,over,8.5,+100,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,first7,total,under,8.5,-130,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,full,spread_away,away,7.5,+125,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,full,spread_home,home,-7.5,-165,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,full,total,over,9.5,+125,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,full,total,under,9.5,-165,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,moneyline,away,,+143,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,moneyline,home,,-199,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,spread_away,away,0.5,-244,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,spread_home,home,-0.5,+172,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,total,over,0.5,-117,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,total,under,0.5,-117,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,moneyline,away,,+355,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,moneyline,home,,-604,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,spread_away,away,1.5,-103,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,spread_home,home,-1.5,-133,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,total,over,3.5,-133,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,total,under,3.5,-103,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,moneyline,away,,+230,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,moneyline,home,,-300,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,spread_away,away,1.5,-115,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,spread_home,home,-1.5,-115,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,total,over,5.5,-110,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,total,under,5.5,-120,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,moneyline,away,,+190,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,moneyline,home,,+310,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,spread_away,away,0.5,-575,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,spread_home,home,-0.5,+375,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,total,over,0.5,-155,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,total,under,0.5,+120,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,moneyline,away,,-166,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,moneyline,home,,+130,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,spread_away,away,-0.5,-110,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,spread_home,home,0.5,-120,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,total,over,3.5,-120,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,total,under,3.5,-110,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first5,moneyline,away,,-175,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first5,moneyline,home,,+135,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first5,spread_away,away,-0.5,-130,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first5,spread_home,home,0.5,+100,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first5,total,over,6.5,-110,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first5,total,under,6.5,-120,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first7,moneyline,away,,-188,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first7,moneyline,home,,+145,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first7,spread_away,away,-1.5,+100,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first7,spread_home,home,1.5,-130,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first7,total,over,9.5,-105,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first7,total,under,9.5,-125,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,full,moneyline,away,,-162,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,full,moneyline,home,,+124,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,full,spread_away,away,-1.5,-108,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,full,spread_home,home,1.5,-120,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,full,total,over,11.5,-101,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,full,total,under,11.5,-128,2026-06-11T00:51:28Z
Houston Astros @ Los Angeles Angels,first1,moneyline,away,,+275,2026-06-11T00:51:28Z
