event_key,segment,market,selection,current_line,current_price,open_line,open_price,line_move,price_move,latest_snapshot_ts
Arizona Diamondbacks @ San Diego Padres,first1,moneyline,away,,+275,,+275,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first1,moneyline,home,,+255,,+255,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first1,spread_away,away,0.5,-350,0.5,-350,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first1,spread_home,home,-0.5,+245,-0.5,+245,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first1,total,over,0.5,-130,0.5,-130,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first1,total,under,0.5,+100,0.5,+100,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first3,moneyline,away,,-105,,-105,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first3,moneyline,home,,-125,,-125,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first3,spread_away,away,0.5,-166,0.5,-166,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first3,spread_home,home,-0.5,+130,-0.5,+130,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first3,total,over,2.5,-140,2.5,-140,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first3,total,under,2.5,+110,2.5,+110,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first5,moneyline,away,,-110,,-110,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first5,moneyline,home,,-120,,-120,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first5,spread_away,away,0.5,-140,0.5,-140,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first5,spread_home,home,-0.5,+110,-0.5,+110,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first5,total,over,4.5,-140,4.5,-140,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first5,total,under,4.5,+110,4.5,+110,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first7,moneyline,away,,+105,,+105,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first7,moneyline,home,,-135,,-135,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first7,spread_away,away,0.5,-125,0.5,-125,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first7,spread_home,home,-0.5,-105,-0.5,-105,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first7,total,over,6.5,-135,6.5,-135,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,first7,total,under,6.5,+105,6.5,+105,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,full,moneyline,away,,+110,,+110,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,full,moneyline,home,,-132,,-132,,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,full,spread_away,away,1.5,-185,1.5,-185,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,full,spread_home,home,-1.5,+152,-1.5,+152,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,full,total,over,9.0,+101,9.0,+101,0.0,0,2026-07-09T21:12:54Z
Arizona Diamondbacks @ San Diego Padres,full,total,under,9.0,-122,9.0,-122,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first1,moneyline,away,,+280,,+280,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first1,moneyline,home,,+260,,+260,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first1,spread_away,away,0.5,-360,0.5,-360,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first1,spread_home,home,-0.5,+250,-0.5,+250,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first1,total,over,0.5,-120,0.5,-120,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first1,total,under,0.5,-105,0.5,-105,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first3,moneyline,away,,-105,,-105,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first3,moneyline,home,,-125,,-125,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first3,spread_away,away,0.5,-166,0.5,-166,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first3,spread_home,home,-0.5,+130,-0.5,+130,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first3,total,over,2.5,-140,2.5,-140,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first3,total,under,2.5,+110,2.5,+110,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first5,moneyline,away,,-105,,-105,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first5,moneyline,home,,-125,,-125,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first5,spread_away,away,0.5,-135,0.5,-135,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first5,spread_home,home,-0.5,+105,-0.5,+105,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first5,total,over,5.5,+110,5.5,+110,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first5,total,under,5.5,-140,5.5,-140,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first7,moneyline,away,,+100,,+100,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first7,moneyline,home,,-130,,-130,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first7,spread_away,away,0.5,-125,0.5,-125,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first7,spread_home,home,-0.5,-105,-0.5,-105,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first7,total,over,6.5,-140,6.5,-140,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,first7,total,under,6.5,+110,6.5,+110,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,full,moneyline,away,,+109,,+109,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,full,moneyline,home,,-132,,-132,,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,full,spread_away,away,1.5,-185,1.5,-185,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,full,spread_home,home,-1.5,+152,-1.5,+152,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,full,total,over,9.0,-110,9.0,-110,0.0,0,2026-07-09T21:12:54Z
Athletics @ Detroit Tigers,full,total,under,9.0,-110,9.0,-110,0.0,0,2026-07-09T21:12:54Z
Colorado Rockies @ San Francisco Giants,first1,moneyline,away,,+310,,+310,,0,2026-07-09T21:12:54Z
Colorado Rockies @ San Francisco Giants,first1,moneyline,home,,+270,,+270,,0,2026-07-09T21:12:54Z
Colorado Rockies @ San Francisco Giants,first1,total,over,0.5,-110,0.5,-110,0.0,0,2026-07-09T21:12:54Z
Colorado Rockies @ San Francisco Giants,first1,total,under,0.5,-115,0.5,-115,0.0,0,2026-07-09T21:12:54Z
Colorado Rockies @ San Francisco Giants,first3,moneyline,away,,+105,,+105,,0,2026-07-09T21:12:54Z
Colorado Rockies @ San Francisco Giants,first3,moneyline,home,,-140,,-140,,0,2026-07-09T21:12:54Z
Colorado Rockies @ San Francisco Giants,first3,spread_away,away,1.5,-325,1.5,-325,0.0,0,2026-07-09T21:12:54Z
Colorado Rockies @ San Francisco Giants,first3,spread_home,home,-1.5,+230,-1.5,+230,0.0,0,2026-07-09T21:12:54Z
